AnyMaze_#,Barnes_ID,Tail_Marking,Experiment,Cohort,Strain,Genotype,Sex,Date_Birth,Date_Received,Date_Start_SpatialWatermaze,Age_mo,Weight_g,Housing,Subsequent_Measures,AnyMaze_File,Notes
1,9887,1 Black,Cognitive Aptitude Study,2,F344,WT,M,2/1/2015,8/12/2015,8/24/2015,6.8,335,single,y,CAS2_August24-2015-Young.szd,N/A
2,9888,2 Black,Cognitive Aptitude Study,2,F344,WT,M,2/1/2015,8/12/2015,8/24/2015,6.8,277,single,y,CAS2_August24-2015-Young.szd,N/A
3,9889,3 Black,Cognitive Aptitude Study,2,F344,WT,M,2/1/2015,8/12/2015,8/24/2015,6.8,329,single,y,CAS2_August24-2015-Young.szd,N/A
4,9890,4 Black,Cognitive Aptitude Study,2,F344,WT,M,2/1/2015,8/12/2015,8/24/2015,6.8,348,single,y,CAS2_August24-2015-Young.szd,N/A
5,9891,5 Black,Cognitive Aptitude Study,2,F344,WT,M,2/1/2015,8/12/2015,8/24/2015,6.8,348,single,y,CAS2_August24-2015-Young.szd,N/A
6,9892,6 Black,Cognitive Aptitude Study,2,F344,WT,M,2/1/2015,8/12/2015,8/24/2015,6.8,334,single,y,CAS2_August24-2015-Young.szd,N/A
7,9893,7 Black,Cognitive Aptitude Study,2,F344,WT,M,2/1/2015,8/12/2015,8/24/2015,6.8,322,single,y,CAS2_August24-2015-Young.szd,N/A
8,9894,8 Black,Cognitive Aptitude Study,2,F344,WT,M,2/1/2015,8/12/2015,8/24/2015,6.8,335,single,y,CAS2_August24-2015-Young.szd,N/A
9,9895,9 Black,Cognitive Aptitude Study,2,F344,WT,M,2/1/2015,8/12/2015,8/24/2015,6.8,318,single,y,CAS2_August24-2015-Young.szd,N/A
10,9896,10 Black,Cognitive Aptitude Study,2,F344,WT,M,2/1/2015,8/12/2015,8/24/2015,6.8,278,single,y,CAS2_August24-2015-Young.szd,N/A
