Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D5: TTR to End of test; Duration (s),Base; Duration (s),V D5: TTR to End of test; Distance (m),Base; Distance (m),V D5: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D5: TTR to End of test; Path efficiency,Base; Path efficiency,V D5: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D5: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D5: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D5: TTR to End of test; Avg speed: V D5 (m/s),Base; Avg speed: V D5 (m/s)
301,9965,6,10/16/2015,13:45,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 301.szv,0.2,2.6,0.025,0.788,0.124,0.303,1.15,0.963,0,0.403,0,0.93,,0.949,0.09,nan,nan
302,9966,6,10/16/2015,13:45,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 302.szv,0.5,4.5,0.076,1.355,0.166,0.304,0.976,0.811,0.031,0.585,0,2.44,0.999,0.805,0.6,nan,nan
303,9967,6,10/16/2015,13:45,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 303.szv,1.3,3,0.309,0.712,0.238,0.237,0.813,0.824,0.077,0.254,0.09,0.74,0.656,0.705,0.22,nan,nan
304,9968,6,10/16/2015,13:46,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 304.szv,2.5,6.3,0.741,1.958,0.301,0.313,0.942,0.592,0.329,0.758,0.81,4.74,,,2.51,nan,nan
305,9969,6,10/16/2015,13:46,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 305.szv,2.1,5.5,0.641,1.748,0.31,0.32,0.985,0.646,0.281,0.662,0.56,3.58,0.987,0.608,1.8,nan,nan
306,9970,6,10/16/2015,13:47,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 306.szv,2.8,2.8,0.833,0.833,0.298,0.298,0.947,0.947,0.446,0.446,1.25,1.25,,,0.11,nan,nan
307,9971,6,10/16/2015,13:47,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 307.szv,2.4,4.2,0.622,0.906,0.259,0.216,0.961,0.5,0.338,0.421,0.81,1.77,,,1.22,nan,nan
308,9972,6,10/16/2015,13:47,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 308.szv,11,12.4,2.934,3.508,0.267,0.283,0.225,0.142,0.617,0.595,6.56,7.16,0.224,0.112,6.88,nan,nan
309,9973,6,10/16/2015,13:48,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 309.szv,3.6,6.3,1.315,2.482,0.365,0.394,0.692,0.411,0.509,0.648,1.82,4.07,0.665,0.348,3.08,nan,nan
310,9974,6,10/16/2015,13:48,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 310.szv,3,5.6,0.812,1.686,0.271,0.301,0.429,0.562,0.161,0.383,0.48,2.15,,,1.02,nan,nan
