Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,AQ D1: TTR to End of test; Duration (s),Base; Duration (s),AQ D1: TTR to End of test; Distance (m),Base; Distance (m),AQ D1: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),AQ D1: TTR to End of test; Path efficiency,Base; Path efficiency,AQ D1: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ D1: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ D1: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),AQ D1: TTR to End of test; Avg speed: AQ D1 (m/s),Base; Avg speed: AQ D1 (m/s)
1,10484,1,7/10/2017,10:42,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 1.szv,55.8,60.0,15.565,16.509,0.279,0.275,0.092,0.07,0.694,0.698,38.74,41.88,,,39.81,0.2453,0.251
2,10484,2,7/10/2017,10:44,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 2.szv,55.7,60.0,26.89,30.237,0.483,0.504,0.021,0.027,0.59,0.607,32.83,36.39,,,34.97,0.2453,0.251
3,10485,1,7/10/2017,10:47,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 3.szv,56.2,60.0,9.607,10.01,0.171,0.167,0.061,0.087,0.582,0.584,32.71,35.03,,,33.31,0.1815,0.1853
4,10485,2,7/10/2017,10:49,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 4.szv,17.9,20.9,2.853,3.515,0.159,0.168,0.352,0.187,0.849,0.821,14.92,16.89,0.305,0.157,16.01,0.1815,0.1853
5,10486,1,7/10/2017,10:51,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 5.szv,53.0,60.0,6.924,8.04,0.131,0.134,0.043,0.065,0.955,0.965,50.63,57.89,,,52.67,0.1658,0.1652
6,10486,2,7/10/2017,10:53,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 6.szv,53.9,60.0,7.577,8.294,0.141,0.138,0.071,0.116,0.714,0.756,38.49,45.35,,,42.44,0.1658,0.1652
7,10487,1,7/10/2017,10:56,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 7.szv,55.9,60.0,8.473,9.379,0.152,0.156,0.098,0.165,0.929,0.904,51.92,54.24,,,52.55,0.1837,0.1763
8,10487,2,7/10/2017,10:58,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 8.szv,57.7,60.0,10.094,10.197,0.175,0.17,0.064,0.062,0.769,0.755,44.37,45.31,,,44.8,0.1837,0.1763
9,10488,1,7/10/2017,11:01,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 9.szv,56.3,60.0,9.433,9.902,0.168,0.165,0.136,0.097,0.755,0.763,42.53,45.79,,,43.77,0.2238,0.2163
10,10488,2,7/10/2017,11:04,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 10.szv,14.4,19.4,2.554,3.243,0.177,0.167,0.516,0.386,0.855,0.934,12.21,18.0,0.459,0.336,14.41,0.2238,0.2163
