Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,AQ D1: TTR to End of test; Duration (s),Base; Duration (s),AQ D1: TTR to End of test; Distance (m),Base; Distance (m),AQ D1: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),AQ D1: TTR to End of test; Path efficiency,Base; Path efficiency,AQ D1: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ D1: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ D1: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),AQ D1: TTR to End of test; Avg speed: AQ D1 (m/s),Base; Avg speed: AQ D1 (m/s)
1,9897,1,8/24/2015,10:10,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 1.szv,56.8,60,10.426,10.549,0.184,0.176,0.015,0.009,0.825,0.819,46.85,49.12,,,47.56,0.2133,0.2287
2,9897,2,8/24/2015,10:12,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 2.szv,14.3,18.8,2.525,4.999,0.177,0.266,0.32,0.242,0.637,0.695,9.1,13.06,,,10.94,0.2133,0.2287
3,9898,1,8/24/2015,10:15,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 3.szv,39.2,44.2,6.816,8.322,0.174,0.188,0.102,0.139,0.536,0.581,21,25.68,,,22.5,0.2115,0.2145
4,9898,2,8/24/2015,10:16,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 4.szv,56.3,60,9.96,10.56,0.177,0.176,0.128,0.137,0.605,0.617,34.03,37,,,35.12,0.2115,0.2145
5,9899,1,8/24/2015,10:20,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 5.szv,56.4,60,9.725,9.947,0.172,0.166,0.128,0.128,0.692,0.696,39,41.75,,,39.94,0.2143,0.215
6,9899,2,8/24/2015,10:22,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 6.szv,42.5,47.6,7.945,9.246,0.187,0.194,0.156,0.136,0.672,0.723,28.56,34.41,,,31.27,0.2143,0.215
7,9900,1,8/24/2015,10:25,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 7.szv,24.1,26.2,5.176,5.265,0.215,0.201,0.128,0.128,0.799,0.777,19.17,20.29,0.102,0.103,19.53,0.2517,0.259
8,9900,2,8/24/2015,10:25,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 8.szv,58.3,60,12.488,12.929,0.214,0.216,0.078,0.105,0.708,0.697,41.27,41.83,,,41.42,0.2517,0.259
9,9901,1,8/24/2015,10:29,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 9.szv,55.5,60,12.605,13.257,0.227,0.221,0.093,0.101,0.711,0.729,39.44,43.73,,,41.42,0.2172,0.2205
10,9901,2,8/24/2015,10:31,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 10.szv,55.3,60,12.163,13.316,0.22,0.222,0.055,0.034,0.885,0.904,48.93,54.22,,,51.7,0.2172,0.2205
