Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D6: TTR to End of test; Duration (s),Base; Duration (s),V D6: TTR to End of test; Distance (m),Base; Distance (m),V D6: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D6: TTR to End of test; Path efficiency,Base; Path efficiency,V D6: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D6: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D6: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D6: TTR to End of test; Avg speed: V D6 (m/s),Base; Avg speed: V D6 (m/s)
311,10218,7,8/27/2016,9:19,am,"mzempare, ncarey",CAS8_Middle_08 22 16 videos\Test 311.szv,5.3,9.5,1.397,2.403,0.264,0.253,0.676,0.481,0.545,0.748,2.88,7.1,0.668,0.477,4.41,0.2717,0.2747
312,10219,7,8/27/2016,9:20,am,"mzempare, ncarey",CAS8_Middle_08 22 16 videos\Test 312.szv,0.2,3.4,0.034,1.1,0.203,0.327,1,0.932,0.029,0.572,0,1.93,,,0.2,0.3068,0.3287
313,10220,7,8/27/2016,9:20,am,"mzempare, ncarey",CAS8_Middle_08 22 16 videos\Test 313.szv,2.5,4.4,0.647,1.177,0.259,0.267,0.716,0.499,0.248,0.366,0.6,1.58,0.74,0.448,1.04,0.2715,0.27
314,10221,7,8/27/2016,9:20,am,"mzempare, ncarey",CAS8_Middle_08 22 16 videos\Test 314.szv,0.2,3.8,0.061,1.152,0.303,0.303,0.761,0.964,0.023,0.572,0,2.17,0.999,0.964,0.11,0.2758,0.3085
315,10222,7,8/27/2016,9:20,am,"mzempare, ncarey",CAS8_Middle_08 22 16 videos\Test 315.szv,4.3,7.3,1.154,2.082,0.269,0.286,0.836,0.446,0.464,0.689,1.94,4.95,0.848,0.438,3.5,0.303,0.2998
316,10223,7,8/27/2016,9:22,am,"mzempare, ncarey",CAS8_Middle_08 22 16 videos\Test 316.szv,8.8,10.7,2.03,2.446,0.231,0.229,0.384,0.254,0.609,0.604,5.24,6.34,0.347,0.207,5.77,0.2435,0.2615
317,10224,7,8/27/2016,9:22,am,"mzempare, ncarey",CAS8_Middle_08 22 16 videos\Test 317.szv,0.5,2.1,0.083,0.483,0.174,0.232,0.709,0.935,0.036,0.229,0.01,0.45,0.877,0.888,0.03,0.2272,0.2748
318,10225,7,8/27/2016,9:23,am,"mzempare, ncarey",CAS8_Middle_08 22 16 videos\Test 318.szv,3.3,5.1,0.958,1.488,0.292,0.293,0.873,0.376,0.444,0.529,1.39,2.61,0.895,0.37,2.09,0.302,0.2983
319,10226,7,8/27/2016,9:23,am,"mzempare, ncarey",CAS8_Middle_08 22 16 videos\Test 319.szv,6,9.1,1.973,3.017,0.329,0.332,0.623,0.348,0.735,0.832,4.29,7.44,0.603,0.307,6.12,0.2648,0.2983
320,10227,7,8/27/2016,9:24,am,"mzempare, ncarey",CAS8_Middle_08 22 16 videos\Test 320.szv,8.8,12.3,2.898,4.036,0.329,0.328,0.133,0.253,0.747,0.722,6.58,8.88,,,7.02,0.313,0.3093
