AnyMaze_#,Barnes_ID,Tail_Marking,Experiment,Cohort,Strain,Genotype,Sex,Date_Birth,Date_Received,Date_Start_SpatialWatermaze,Age_mo,Weight_g,Housing,Subsequent_Measures,AnyMaze_File,Notes
1,10218,1 Green,Cognitive Aptitude Study,8,F344,WT,M,5/1/2015,8/10/2016,8/22/2016,16.0,355,single,y,CAS8_Middle_08 22 16.szd,N/A
2,10219,2 Green,Cognitive Aptitude Study,8,F344,WT,M,5/1/2015,8/10/2016,8/22/2016,16.0,385,single,y,CAS8_Middle_08 22 16.szd,N/A
3,10220,3 Green,Cognitive Aptitude Study,8,F344,WT,M,5/1/2015,8/10/2016,8/22/2016,16.0,427,single,y,CAS8_Middle_08 22 16.szd,N/A
4,10221,4 Green,Cognitive Aptitude Study,8,F344,WT,M,5/1/2015,8/10/2016,8/22/2016,16.0,389,single,y,CAS8_Middle_08 22 16.szd,N/A
5,10222,5 Green,Cognitive Aptitude Study,8,F344,WT,M,5/1/2015,8/10/2016,8/22/2016,16.0,421,single,y,CAS8_Middle_08 22 16.szd,Long nails on hindfeet
6,10223,6 Green,Cognitive Aptitude Study,8,F344,WT,M,5/1/2015,8/10/2016,8/22/2016,16.0,437,single,y,CAS8_Middle_08 22 16.szd,N/A
7,10224,7 Green,Cognitive Aptitude Study,8,F344,WT,M,5/1/2015,8/10/2016,8/22/2016,16.0,370,single,y,CAS8_Middle_08 22 16.szd,N/A
8,10225,8 Green,Cognitive Aptitude Study,8,F344,WT,M,5/1/2015,8/10/2016,8/22/2016,16.0,419,single,y,CAS8_Middle_08 22 16.szd,N/A
9,10226,9 Green,Cognitive Aptitude Study,8,F344,WT,M,5/1/2015,8/10/2016,8/22/2016,16.0,409,single,y,CAS8_Middle_08 22 16.szd,N/A
10,10227,10 Green,Cognitive Aptitude Study,8,F344,WT,M,5/1/2015,8/10/2016,8/22/2016,16.0,400,single,y,CAS8_Middle_08 22 16.szd,N/A
