Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,AQ D2: TTR to End of test; Duration (s),Base; Duration (s),AQ D2: TTR to End of test; Distance (m),Base; Distance (m),AQ D2: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),AQ D2: TTR to End of test; Path efficiency,Base; Path efficiency,AQ D2: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ D2: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ D2: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),AQ D2: TTR to End of test; Avg speed: AQ D2 (m/s),Base; Avg speed: AQ D2 (m/s)
25,10328.0,7,1/31/2017,9:22,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 25.szv,58.1,60.0,15.625,16.269,0.269,0.271,0.039,0.074,0.792,0.786,46.0,47.13,,,46.48,0.2848,0.2902
26,10328.0,8,1/31/2017,9:24,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 26.szv,1.4,4.9,0.331,1.34,0.236,0.274,0.951,0.827,0.103,0.543,0.13,2.61,0.855,0.757,0.72,0.2848,0.2902
27,10329.0,7,1/31/2017,9:25,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 27.szv,56.0,60.0,12.856,13.684,0.23,0.228,0.095,0.073,0.836,0.855,46.79,51.27,,,48.53,0.2742,0.2723
28,10329.0,8,1/31/2017,9:27,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 28.szv,14.0,15.4,3.636,3.828,0.26,0.249,0.142,0.157,0.546,0.53,7.64,8.17,,,7.84,0.2742,0.2723
29,10330.0,7,1/31/2017,9:27,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 29.szv,55.8,60.0,14.623,15.84,0.262,0.264,0.071,0.098,0.788,0.806,43.98,48.34,,,46.57,0.2215,0.2265
30,10330.0,8,1/31/2017,9:30,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 30.szv,57.7,60.0,11.838,12.229,0.205,0.204,0.125,0.129,0.79,0.776,45.58,46.53,,,45.86,0.2215,0.2265
31,10331.0,7,1/31/2017,9:32,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 31.szv,55.4,60.0,15.392,16.498,0.278,0.275,0.08,0.097,0.723,0.733,40.05,43.95,,,41.34,0.2738,0.2577
32,10331.0,8,1/31/2017,9:34,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 32.szv,28.9,33.1,6.715,7.715,0.232,0.233,0.149,0.138,0.761,0.794,22.0,26.29,,,23.66,0.2738,0.2577
33,10328.0,9,1/31/2017,10:41,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 33.szv,19.9,20.3,7.215,7.215,0.363,0.356,0.033,0.033,0.603,0.592,11.86,11.91,0.015,0.015,11.89,0.2848,0.2902
34,10328.0,10,1/31/2017,10:42,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 34.szv,36.6,40.8,9.364,10.489,0.256,0.257,0.105,0.116,0.705,0.743,25.79,30.29,0.105,0.115,27.37,0.2848,0.2902
35,10329.0,9,1/31/2017,10:43,am,"mzempare, ncarey",CAS 10_ Young & Middle_01.30.17 videos\Test 35.szv,30.6,32.8,8.681,10.668,0.284,0.325,0.138,0.073,0.75,0.758,22.95,24.87,,,24.34,0.2742,0.2723
