Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D5: TTR to End of test; Duration (s),Base; Duration (s),V D5: TTR to End of test; Distance (m),Base; Distance (m),V D5: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D5: TTR to End of test; Path efficiency,Base; Path efficiency,V D5: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D5: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D5: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D5: TTR to End of test; Avg speed: V D5 (m/s),Base; Avg speed: V D5 (m/s)
291,9965,5,10/16/2015,13:17,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 291.szv,7.9,9.5,1.74,2.29,0.22,0.241,0.343,0.239,0.497,0.482,2.42,3.12,0.321,0.223,2.75,nan,nan
292,9966,5,10/16/2015,13:18,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 292.szv,0.8,4,0.134,1.03,0.174,0.26,0.963,0.846,0.049,0.507,0.02,1.85,0.984,0.838,0.52,nan,nan
293,9967,5,10/16/2015,13:19,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 293.szv,0.5,2,0.075,0.502,0.15,0.251,0.934,0.863,0.053,0.236,0.02,0.46,0.806,0.864,0.06,nan,nan
294,9968,5,10/16/2015,13:19,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 294.szv,0.1,3.2,0.019,1.057,0.19,0.33,1,0.91,0,0.482,0,1.44,,0.913,0.15,nan,nan
295,9969,5,10/16/2015,13:19,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 295.szv,1.7,4.3,0.356,1.226,0.212,0.286,0.868,0.754,0.082,0.423,0.13,1.75,0.705,0.671,0.58,nan,nan
296,9970,5,10/16/2015,13:20,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 296.szv,1.2,4.8,0.264,1.31,0.226,0.275,0.958,0.863,0.068,0.56,0.07,2.62,0.792,0.791,0.68,nan,nan
297,9971,5,10/16/2015,13:20,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 297.szv,0.4,2.2,0.091,0.523,0.255,0.242,0.933,0.941,0.035,0.249,0,0.48,0.999,0.962,0.03,nan,nan
298,9972,5,10/16/2015,13:21,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 298.szv,7.4,11.1,1.861,3.007,0.252,0.271,0.425,0.354,0.42,0.515,3.03,5.63,0.424,0.347,3.61,nan,nan
299,9973,5,10/16/2015,13:21,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 299.szv,3.4,6.7,0.966,2.014,0.284,0.301,0.745,0.56,0.421,0.56,1.34,3.63,0.74,0.526,1.82,nan,nan
300,9974,5,10/16/2015,13:22,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 300.szv,0.5,2.1,0.104,0.589,0.208,0.281,0.951,0.896,0.049,0.284,0.02,0.56,0.813,0.88,0.09,nan,nan
