Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,AQ D3: TTR to End of test; Duration (s),Base; Duration (s),AQ D3: TTR to End of test; Distance (m),Base; Distance (m),AQ D3: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),AQ D3: TTR to End of test; Path efficiency,Base; Path efficiency,AQ D3: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ D3: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ D3: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),AQ D3: TTR to End of test; Avg speed: AQ D3 (m/s),Base; Avg speed: AQ D3 (m/s)
121,10484,13,7/12/2017,9:57,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 121.szv,0.2,3.6,0.029,1.002,0.18,0.282,1.0,0.89,0.006,0.343,0.0,1.18,,0.795,0.07,0.2077,0.2267
122,10484,14,7/12/2017,9:57,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 122.szv,55.4,60.0,12.166,13.447,0.22,0.224,0.077,0.025,0.532,0.547,29.48,32.84,,,30.42,0.2077,0.2267
123,10485,13,7/12/2017,9:59,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 123.szv,3.0,3.0,0.77,0.77,0.26,0.26,0.984,0.984,0.428,0.428,1.22,1.22,0.956,0.956,0.19,0.2185,0.2215
124,10485,14,7/12/2017,10:00,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 124.szv,40.5,42.8,9.266,9.874,0.229,0.231,0.059,0.06,0.636,0.629,25.74,26.92,,,26.34,0.2185,0.2215
125,10486,13,7/12/2017,10:01,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 125.szv,53.1,60.0,9.947,11.594,0.187,0.193,0.079,0.063,0.986,0.988,52.35,59.26,,,55.83,0.1607,0.165
126,10486,14,7/12/2017,10:03,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 126.szv,53.3,60.0,8.96,10.401,0.168,0.173,0.031,0.096,0.856,0.857,45.62,51.41,,,47.88,0.1607,0.165
127,10487,13,7/12/2017,10:05,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 127.szv,55.6,60.0,13.983,15.366,0.252,0.256,0.065,0.011,0.859,0.865,47.77,51.88,,,48.34,0.2492,0.2488
128,10487,14,7/12/2017,10:07,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 128.szv,9.7,12.9,2.408,3.19,0.249,0.247,0.513,0.293,0.655,0.726,6.26,9.26,0.482,0.255,7.92,0.2492,0.2488
129,10488,13,7/12/2017,10:07,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 129.szv,41.3,43.4,10.337,11.363,0.25,0.262,0.11,0.047,0.632,0.645,26.08,28.0,,,27.36,0.2457,0.2478
130,10488,14,7/12/2017,10:08,am,"mzempare, ncarey",CAS13_Old_Purple_07.10.17 videos\Test 130.szv,1.0,2.3,0.168,0.497,0.168,0.216,0.737,0.89,0.046,0.148,0.05,0.34,,,0.08,0.2457,0.2478
