Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D5: TTR to End of test; Duration (s),Base; Duration (s),V D5: TTR to End of test; Distance (m),Base; Distance (m),V D5: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D5: TTR to End of test; Path efficiency,Base; Path efficiency,V D5: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D5: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D5: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D5: TTR to End of test; Avg speed: V D5 (m/s),Base; Avg speed: V D5 (m/s)
391,10332,4,2/3/2017,10:16,am,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 391.szv,8.6,14.3,2.159,3.351,0.251,0.234,0.542,0.43,0.368,0.676,2.83,9.05,0.574,0.413,5.79,0.1627,0.1968
392,10333,4,2/3/2017,10:17,am,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 392.szv,5.2,8.5,1.138,2.159,0.219,0.254,0.769,0.389,0.35,0.589,1.25,4.05,0.822,0.405,2.89,0.1567,0.2433
393,10334,4,2/3/2017,10:17,am,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 393.szv,7.2,12.3,1.519,2.622,0.212,0.214,0.729,0.424,0.647,0.799,3.79,8.75,0.743,0.408,6.44,0.151,0.1992
394,10335,4,2/3/2017,10:18,am,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 394.szv,2.1,7.8,0.075,1.497,0.036,0.192,0.343,0.779,0.038,0.502,0.08,3.92,,,0.64,0.1348,0.1957
395,10336,4,2/3/2017,10:18,am,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 395.szv,2.8,5,0.211,0.672,0.076,0.136,0.703,0.7,0.054,0.156,0.07,0.56,0.768,0.69,0.04,0.1252,0.18
396,10337,4,2/3/2017,10:19,am,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 396.szv,6,11.5,0.975,2.664,0.164,0.232,0.333,0.454,0.093,0.422,0.41,4.17,0.373,0.433,1.82,0.1657,0.1952
397,10338,4,2/3/2017,10:19,am,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 397.szv,3.1,6.9,0.379,1.453,0.122,0.211,0.729,0.652,0.053,0.438,0.08,2.28,0.434,0.637,0.84,0.2057,0.2255
398,10340,4,2/3/2017,10:20,am,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 398.szv,6,10.6,1.395,2.821,0.233,0.266,0.637,0.428,0.489,0.759,2.07,6.7,0.636,0.411,4.64,0.2153,0.24
399,10342,4,2/3/2017,10:20,am,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 399.szv,10.4,14.5,2.339,3.478,0.226,0.24,0.432,0.335,0.446,0.569,4.24,7.75,0.395,0.306,5.51,0.2362,0.2553
400,10343,4,2/3/2017,10:21,am,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 400.szv,0.8,4,0.035,0.882,0.043,0.221,1.015,0.958,0,0.405,0,1.08,,0.974,0.05,0.1595,0.24
401,10344,4,2/3/2017,10:21,am,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 401.szv,3.4,6,0.312,0.863,0.092,0.144,0.47,0.632,0.056,0.168,0.12,0.79,0.416,0.606,0.09,0.1627,0.18
402,10345,4,2/3/2017,10:22,am,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 402.szv,18.8,23.3,5.259,6.67,0.28,0.286,0.116,0.196,0.579,0.65,10.1,14.28,0.091,0.179,11.94,0.2265,0.2593
403,10347,4,2/3/2017,10:22,am,"mzempare, ncarey",CAS 10_Old_01 30 17 videos\Test 403.szv,13.3,14.6,3.351,3.664,0.252,0.251,0.085,0.114,0.677,0.631,7.87,8.15,0.055,0.082,7.99,0.2052,0.2117
