Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D5: TTR to End of test; Duration (s),Base; Duration (s),V D5: TTR to End of test; Distance (m),Base; Distance (m),V D5: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D5: TTR to End of test; Path efficiency,Base; Path efficiency,V D5: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D5: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D5: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D5: TTR to End of test; Avg speed: V D5 (m/s),Base; Avg speed: V D5 (m/s)
271,9908,6,8/28/2015,14:07,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 271.szv,1,2.9,0.144,0.652,0.151,0.228,0.925,0.838,0.02,0.243,0,0.52,0.999,0.758,0.13,0.2012,0.217
272,9909,6,8/28/2015,14:07,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 272.szv,3.9,7.8,0.803,3.967,0.207,0.511,0.507,0.296,0.253,0.47,0.89,3.49,0.382,0.267,2.3,0.2153,0.2768
273,9910,6,8/28/2015,14:08,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 273.szv,25.2,28.5,5.694,6.227,0.226,0.219,0.165,0.138,0.633,0.666,15.67,18.68,0.155,0.132,17.1,0.2148,0.2447
274,9911,6,8/28/2015,14:09,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 274.szv,2.3,6.5,0.431,1.688,0.188,0.26,0.977,0.676,0.115,0.583,0.13,3.1,0.972,0.675,1.2,0.2242,0.2483
275,9912,6,8/28/2015,14:09,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 275.szv,1.1,4.9,0.169,1.102,0.16,0.227,0.866,0.824,0.044,0.422,0.04,1.97,0.794,0.783,0.44,0.1943,0.2178
276,9913,6,8/28/2015,14:10,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 276.szv,4.3,4.3,1.047,1.047,0.244,0.244,0.981,0.981,0.513,0.513,2.2,2.2,0.98,0.98,-0.03,0.2055,0.2415
277,9914,6,8/28/2015,14:10,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 277.szv,0.2,4.4,0.045,1.161,0.228,0.264,0.734,0.92,0.024,0.528,0,2.3,0.954,0.908,0.14,0.2285,0.2528
278,9915,6,8/28/2015,14:10,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 278.szv,1.2,3.6,0.149,0.81,0.124,0.225,0.739,0.737,0.061,0.22,0.07,0.79,,,0.23,0.163,0.2063
279,9916,6,8/28/2015,14:11,pm,"mzempare, ncarey",CAS2_August24-2015_Old videos\Test 279.szv,0.9,2.6,0.104,0.434,0.115,0.167,1.149,0.975,0.032,0.241,0.01,0.5,0.999,0.946,0.08,0.2083,0.2308
