Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,AQ D3: TTR to End of test; Duration (s),Base; Duration (s),AQ D3: TTR to End of test; Distance (m),Base; Distance (m),AQ D3: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),AQ D3: TTR to End of test; Path efficiency,Base; Path efficiency,AQ D3: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ D3: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ D3: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),AQ D3: TTR to End of test; Avg speed: AQ D3 (m/s),Base; Avg speed: AQ D3 (m/s)
121,9897,13,8/26/2015,10:07,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 121.szv,41.4,44.1,11.404,11.817,0.275,0.268,0.096,0.076,0.656,0.669,27.17,29.49,,,28.47,0.2653,0.2703
122,9897,14,8/26/2015,10:08,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 122.szv,19.2,23.1,4.627,5.597,0.241,0.242,0.16,0.211,0.296,0.391,5.66,9,0.126,0.189,6.64,0.2653,0.2703
123,9898,13,8/26/2015,10:09,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 123.szv,10.1,12.1,3.14,3.829,0.311,0.316,0.357,0.168,0.807,0.784,8.15,9.49,,,9.04,0.257,0.2597
124,9898,14,8/26/2015,10:10,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 124.szv,58.2,60,14.884,15.392,0.256,0.257,0.07,0.043,0.711,0.701,41.36,42.07,,,41.6,0.257,0.2597
125,9899,13,8/26/2015,10:12,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 125.szv,3.8,7.8,1.153,2.047,0.304,0.263,0.914,0.534,0.505,0.819,1.86,6.29,0.905,0.524,4.14,0.267,0.262
126,9899,14,8/26/2015,10:12,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 126.szv,56.4,60,13.818,14.799,0.245,0.247,0.052,0.096,0.611,0.618,34.46,37.08,,,35.2,0.267,0.262
127,9900,13,8/26/2015,10:15,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 127.szv,57,60,17.555,18.519,0.308,0.309,0.053,0.077,0.64,0.65,36.46,39,,,37.8,0.2838,0.28
128,9900,14,8/26/2015,10:16,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 128.szv,2.8,6.4,0.864,1.918,0.313,0.302,0.953,0.552,0.394,0.764,1.04,4.77,0.965,0.532,3.05,0.2838,0.28
129,9901,13,8/26/2015,10:22,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 129.szv,58.3,60,14.505,14.98,0.249,0.25,0.096,0.076,0.79,0.783,46.03,46.99,,,46.57,0.2568,0.2597
130,9901,14,8/26/2015,10:24,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 130.szv,13.5,16.1,3.507,4.172,0.26,0.259,0.046,0.185,0.532,0.513,7.12,8.2,0.02,0.162,7.3,0.2568,0.2597
131,9902,13,8/26/2015,10:24,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 131.szv,26.7,28.2,8.33,8.898,0.312,0.316,0.085,0.064,0.717,0.706,19.1,19.86,0.086,0.051,19.51,0.2838,0.2977
132,9902,14,8/26/2015,10:25,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 132.szv,15.2,17.5,4.503,5.149,0.296,0.294,0.089,0.149,0.623,0.609,9.46,10.66,0.054,0.133,9.83,0.2838,0.2977
133,9903,13,8/26/2015,10:26,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 133.szv,56,60,16.505,17.451,0.295,0.291,0.042,0.077,0.768,0.794,42.81,47.44,0.481,0.339,45.15,0.2783,0.2823
134,9903,14,8/26/2015,10:28,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 134.szv,41.4,43.1,10.696,11.125,0.258,0.258,0.082,0.057,0.636,0.634,26.31,27.3,0.072,0.043,26.82,0.2783,0.2823
135,9904,13,8/26/2015,10:29,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 135.szv,48.3,50.9,13.402,14.2,0.278,0.279,0.097,0.062,0.802,0.804,38.69,40.89,,,39.99,0.2638,0.2688
136,9904,14,8/26/2015,10:30,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 136.szv,10.4,14,2.631,3.427,0.254,0.246,0.252,0.3,0.731,0.757,7.48,10.48,0.239,0.287,8.5,0.2638,0.2688
137,9905,13,8/26/2015,10:31,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 137.szv,15.5,17.2,3.82,4.163,0.246,0.242,0.172,0.117,0.487,0.495,7.5,8.47,0.165,0.111,8.01,0.2623,0.2678
138,9905,14,8/26/2015,10:32,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 138.szv,36.6,38.1,9.533,9.886,0.261,0.26,0.033,0.055,0.424,0.421,15.51,16.02,,,15.69,0.2623,0.2678
139,9906,13,8/26/2015,10:33,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 139.szv,57.1,60,13.348,13.905,0.234,0.232,0.055,0.079,0.805,0.807,45.97,48.39,,,47.11,0.262,0.2602
140,9906,14,8/26/2015,10:35,am,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 140.szv,7.7,11.9,1.515,2.236,0.197,0.188,0.649,0.558,0.597,0.734,4.59,8.74,,,5.47,0.262,0.2602
141,9897,15,8/26/2015,13:24,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 141.szv,5.2,8.1,1.499,2.517,0.288,0.311,0.731,0.355,0.71,0.725,3.56,5.74,0.748,0.311,4.73,0.2653,0.2703
142,9897,16,8/26/2015,13:25,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 142.szv,8,11.8,2.327,3.454,0.291,0.293,0.087,0.306,0.395,0.5,3.09,5.8,0.063,0.299,3.96,0.2653,0.2703
143,9898,15,8/26/2015,13:26,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 143.szv,57,60,13.126,13.874,0.23,0.231,0.121,0.1,0.804,0.81,45.85,48.61,,,47.3,0.257,0.2597
144,9898,16,8/26/2015,13:28,pm,"mzempare, ncarey",CAS2_August24-2015_Middle videos\Test 144.szv,28.7,33.1,6.379,7.859,0.222,0.237,0.05,0.17,0.731,0.716,20.98,23.69,,,20.93,0.257,0.2597
