Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,AQ D2: TTR to End of test; Duration (s),Base; Duration (s),AQ D2: TTR to End of test; Distance (m),Base; Distance (m),AQ D2: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),AQ D2: TTR to End of test; Path efficiency,Base; Path efficiency,AQ D2: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ D2: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ D2: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),AQ D2: TTR to End of test; Avg speed: AQ D2 (m/s),Base; Avg speed: AQ D2 (m/s)
97,10434.0,7,5/16/2017,9:27,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 97.szv,6.1,7.9,1.696,2.025,0.278,0.256,0.433,0.272,0.579,0.596,3.53,4.71,,,4.05,0.2847,0.3053
98,10434.0,8,5/16/2017,9:28,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 98.szv,24.9,28.1,7.69,8.906,0.309,0.317,0.046,0.111,0.502,0.526,12.5,14.79,,,13.22,0.2847,0.3053
99,10435.0,7,5/16/2017,9:28,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 99.szv,56.3,60.0,10.824,12.035,0.192,0.201,0.019,0.113,0.767,0.746,43.18,44.77,,,43.06,0.2217,0.219
100,10435.0,8,5/16/2017,9:30,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 100.szv,58.2,60.0,10.004,10.53,0.172,0.176,0.149,0.132,0.758,0.744,44.12,44.65,,,44.16,0.2217,0.219
101,10436.0,7,5/16/2017,9:32,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 101.szv,57.2,60.0,17.675,18.561,0.309,0.309,0.041,0.008,0.76,0.765,43.47,45.9,,,44.74,0.298,0.2988
102,10436.0,8,5/16/2017,9:34,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 102.szv,0.2,1.3,0.062,0.344,0.312,0.264,0.948,0.979,0.034,0.188,0.01,0.24,,,0.02,0.298,0.2988
103,10437.0,7,5/16/2017,9:34,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 103.szv,51.4,55.6,14.895,15.724,0.29,0.283,0.08,0.084,0.69,0.721,35.37,39.98,0.069,0.075,37.47,0.2805,0.2765
104,10437.0,8,5/16/2017,9:35,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 104.szv,24.3,27.7,7.029,8.032,0.289,0.29,0.031,0.117,0.543,0.545,13.19,15.1,,,13.53,0.2805,0.2765
105,10438.0,7,5/16/2017,9:36,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 105.szv,0.7,1.9,0.081,0.389,0.116,0.205,0.989,0.828,0.044,0.154,0.03,0.29,,,0.01,0.2517,0.2795
106,10438.0,8,5/16/2017,9:36,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 106.szv,56.3,60.0,17.343,18.344,0.308,0.306,0.036,0.058,0.638,0.651,35.94,39.07,,,37.23,0.2517,0.2795
107,10439.0,7,5/16/2017,9:38,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 107.szv,8.6,10.5,2.837,3.639,0.33,0.347,0.244,0.198,0.664,0.64,5.64,6.65,0.214,0.186,5.96,0.3577,0.3577
108,10439.0,8,5/16/2017,9:38,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 108.szv,14.4,16.4,5.096,5.887,0.354,0.359,0.052,0.12,0.759,0.72,10.93,11.81,,,11.03,0.3577,0.3577
109,10440.0,7,5/16/2017,9:39,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 109.szv,56.1,60.0,15.278,16.075,0.272,0.268,0.048,0.07,0.657,0.665,36.85,39.86,,,37.61,0.2813,0.2788
110,10440.0,8,5/16/2017,9:41,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 110.szv,56.1,60.0,13.653,14.944,0.243,0.249,0.009,0.08,0.679,0.7,38.1,42.02,,,39.57,0.2813,0.2788
111,10441.0,7,5/16/2017,9:43,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 111.szv,1.1,2.6,0.497,0.688,0.469,0.269,0.881,0.827,0.048,0.247,0.05,0.63,,,0.19,0.3078,0.2835
112,10441.0,8,5/16/2017,9:43,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 112.szv,10.6,12.9,3.209,4.07,0.303,0.315,0.059,0.169,0.454,0.433,4.81,5.59,,,4.82,0.3078,0.2835
113,10442.0,7,5/16/2017,9:44,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 113.szv,29.2,32.9,8.229,9.23,0.282,0.281,0.072,0.131,0.639,0.655,18.67,21.55,,,19.6,0.2807,0.2822
114,10442.0,8,5/16/2017,9:45,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 114.szv,22.0,25.3,5.908,6.866,0.269,0.271,0.156,0.134,0.703,0.719,15.47,18.18,,,16.54,0.2807,0.2822
115,10443.0,7,5/16/2017,9:47,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 115.szv,19.2,23.1,5.411,6.475,0.282,0.28,0.208,0.172,0.629,0.657,12.07,15.17,,,13.17,0.26,0.2652
116,10443.0,8,5/16/2017,9:48,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 116.szv,58.4,60.0,14.035,14.413,0.24,0.24,0.044,0.057,0.556,0.551,32.45,33.08,,,32.8,0.26,0.2652
