AnyMaze_#,Barnes_ID,Tail_Marking,Experiment,Cohort,Strain,Genotype,Sex,Date_Birth,Date_Received,Date_Start_SpatialWatermaze,Age_mo,Weight_g,Housing,Subsequent_Measures,AnyMaze_File,Notes
1,10382,1 Black,Cognitive Aptitude Study,11,F344,WT,M,9/1/2016,3/15/2017,3/27/2017,6.9,343,single,y,CAS_11_Young_03.27.17.szd,N/A
2,10383,2 Black,Cognitive Aptitude Study,11,F344,WT,M,9/1/2016,3/15/2017,3/27/2017,6.9,332,single,y,CAS_11_Young_03.27.17.szd,N/A
3,10384,3 Black,Cognitive Aptitude Study,11,F344,WT,M,9/1/2016,3/15/2017,3/27/2017,6.9,346,single,y,CAS_11_Young_03.27.17.szd,N/A
4,10385,4 Black,Cognitive Aptitude Study,11,F344,WT,M,9/1/2016,3/15/2017,3/27/2017,6.9,355,single,y,CAS_11_Young_03.27.17.szd,N/A
5,10386,5 Black,Cognitive Aptitude Study,11,F344,WT,M,9/1/2016,3/15/2017,3/27/2017,6.9,289,single,y,CAS_11_Young_03.27.17.szd,Eyes dull and red-rimmed
6,10387,6 Black,Cognitive Aptitude Study,11,F344,WT,M,9/1/2016,3/15/2017,3/27/2017,6.9,321,single,y,CAS_11_Young_03.27.17.szd,N/A
7,10388,7 Black,Cognitive Aptitude Study,11,F344,WT,M,9/1/2016,3/15/2017,3/27/2017,6.9,337,single,y,CAS_11_Young_03.27.17.szd,N/A
8,10389,8 Black,Cognitive Aptitude Study,11,F344,WT,M,9/1/2016,3/15/2017,3/27/2017,6.9,329,single,y,CAS_11_Young_03.27.17.szd,N/A
9,10390,9 Black,Cognitive Aptitude Study,11,F344,WT,M,9/1/2016,3/15/2017,3/27/2017,6.9,320,single,y,CAS_11_Young_03.27.17.szd,N/A
10,10391,10 Black,Cognitive Aptitude Study,11,F344,WT,M,9/1/2016,3/15/2017,3/27/2017,6.9,358,single,y,CAS_11_Young_03.27.17.szd,N/A
