AnyMaze_#,Barnes_ID,Tail_Marking,Experiment,Cohort,Strain,Genotype,Sex,Date_Birth,Date_Received,Date_Start_SpatialWatermaze,Age_mo,Weight_g,Housing,Subsequent_Measures,AnyMaze_File,Notes
1,10464,1 Black,Cognitive Aptitude Study,13,F344,WT,M,12/1/2016,6/28/2017,7/10/2017,7.4,338,single,y,CAS13_Young_and_Middle_07.10.17.szd,N/A
2,10465,2 Black,Cognitive Aptitude Study,13,F344,WT,M,12/1/2016,6/28/2017,7/10/2017,7.4,380,single,y,CAS13_Young_and_Middle_07.10.17.szd,N/A
3,10466,3 Black,Cognitive Aptitude Study,13,F344,WT,M,12/1/2016,6/28/2017,7/10/2017,7.4,355,single,y,CAS13_Young_and_Middle_07.10.17.szd,N/A
4,10467,4 Black,Cognitive Aptitude Study,13,F344,WT,M,12/1/2016,6/28/2017,7/10/2017,7.4,333,single,y,CAS13_Young_and_Middle_07.10.17.szd,N/A
5,10468,5 Black,Cognitive Aptitude Study,13,F344,WT,M,12/1/2016,6/28/2017,7/10/2017,7.4,311,single,y,CAS13_Young_and_Middle_07.10.17.szd,N/A
6,10469,1 Green,Cognitive Aptitude Study,13,F344,WT,M,3/1/2016,6/28/2017,7/10/2017,16.5,403,single,y,CAS13_Young_and_Middle_07.10.17.szd,N/A
7,10470,2 Green,Cognitive Aptitude Study,13,F344,WT,M,3/1/2016,6/28/2017,7/10/2017,16.5,386,single,y,CAS13_Young_and_Middle_07.10.17.szd,N/A
8,10471,3 Green,Cognitive Aptitude Study,13,F344,WT,M,3/1/2016,6/28/2017,7/10/2017,16.5,389,single,y,CAS13_Young_and_Middle_07.10.17.szd,N/A
9,10472,4 Green,Cognitive Aptitude Study,13,F344,WT,M,3/1/2016,6/28/2017,7/10/2017,16.5,410,single,y,CAS13_Young_and_Middle_07.10.17.szd,Enlarged left testicle
10,10473,5 Green,Cognitive Aptitude Study,13,F344,WT,M,3/1/2016,6/28/2017,7/10/2017,16.5,391,single,y,CAS13_Young_and_Middle_07.10.17.szd,N/A
