AnyMaze_#,Barnes_ID,Tail_Marking,Experiment,Cohort,Strain,Genotype,Sex,Date_Birth,Date_Received,Date_Start_SpatialWatermaze,Age_mo,Weight_g,Housing,Subsequent_Measures,AnyMaze_File,Notes
1,9897,1 Green,Cognitive Aptitude Study,2,F344,WT,M,5/1/2014,8/12/2015,8/24/2015,16.0,410,single,y,CAS2_August24-2015_Middle.szd,N/A
2,9898,2 Green,Cognitive Aptitude Study,2,F344,WT,M,5/1/2014,8/12/2015,8/24/2015,16.0,420,single,y,CAS2_August24-2015_Middle.szd,N/A
3,9899,3 Green,Cognitive Aptitude Study,2,F344,WT,M,5/1/2014,8/12/2015,8/24/2015,16.0,410,single,y,CAS2_August24-2015_Middle.szd,N/A
4,9900,4 Green,Cognitive Aptitude Study,2,F344,WT,M,5/1/2014,8/12/2015,8/24/2015,16.0,436,single,y,CAS2_August24-2015_Middle.szd,N/A
5,9901,5 Green,Cognitive Aptitude Study,2,F344,WT,M,5/1/2014,8/12/2015,8/24/2015,16.0,446,single,y,CAS2_August24-2015_Middle.szd,N/A
6,9902,6 Green,Cognitive Aptitude Study,2,F344,WT,M,5/1/2014,8/12/2015,8/24/2015,16.0,374,single,y,CAS2_August24-2015_Middle.szd,N/A
7,9903,7 Green,Cognitive Aptitude Study,2,F344,WT,M,5/1/2014,8/12/2015,8/24/2015,16.0,403,single,y,CAS2_August24-2015_Middle.szd,N/A
8,9904,8 Green,Cognitive Aptitude Study,2,F344,WT,M,5/1/2014,8/12/2015,8/24/2015,16.0,462,single,y,CAS2_August24-2015_Middle.szd,Medium sized mass on each side of hips
9,9905,9 Green,Cognitive Aptitude Study,2,F344,WT,M,5/1/2014,8/12/2015,8/24/2015,16.0,394,single,y,CAS2_August24-2015_Middle.szd,N/A
10,9906,10 Green,Cognitive Aptitude Study,2,F344,WT,M,5/1/2014,8/12/2015,8/24/2015,16.0,442,single,y,CAS2_August24-2015_Middle.szd,N/A
