Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,Probe: TTR to 30s; Duration (s),Base; Duration (s),Probe: TTR to 30s; Distance (m),Base; Distance (m),Probe: TTR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe: TTR to 30s; Path efficiency,Base; Path efficiency,Probe: TTR to 30s; Q1 : time (s),Base; Q1 : time (s),Probe: TTR to 30s; Q2 : time (s),Base; Q2 : time (s),Probe: TTR to 30s; Q3 : time (s),Base; Q3 : time (s),Probe: TTR to 30s; Q4 : time (s),Base; Q4 : time (s),Probe: TTR to 30s; Platform : entries,Base; Platform : entries,Probe: TTR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe: TTR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe: TTR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),Probe: TTR to 30s; % time in Goal Quadrant 30s,Base; % time in Goal Quadrant 30s,Probe: TTR to 30s; % time in Goal Quadrant 60s,Base; % time in Goal Quadrant 60s
315,10450.0,1,5/18/2017,11:59,am,"mzempare, ncarey",CAS12_Water Maze_Old_05 15 17 videos\Test 315.szv,25.2,60,6.306,14.501,0.25,0.242,0.118,0.105,2.6,8.4,6.2,14.7,8.8,18.6,7.5,18.2,0,0,0.823,0.786,20.75,47.16,,,44.3,9,28,10,25
316,10451.0,1,5/18/2017,12:00,pm,"mzempare, ncarey",CAS12_Water Maze_Old_05 15 17 videos\Test 316.szv,25.2,60,6.22,13.858,0.247,0.231,0.17,0.077,6.9,24.2,6.6,12.4,3.4,9.7,7.8,12.7,1,2,0.555,0.5,13.66,29.51,0.49,0.345,26.79,23,81,11,21
317,10452.0,1,5/18/2017,12:01,pm,"mzempare, ncarey",CAS12_Water Maze_Old_05 15 17 videos\Test 317.szv,25.4,60,6.862,14.863,0.27,0.248,0.042,0.042,6.6,12.3,4.8,10.7,6.4,21.5,7.0,14.9,2,2,0.61,0.685,15.15,40.67,0.7,0.583,37.94,22,41,8,18
318,10453.0,1,5/18/2017,12:03,pm,"mzempare, ncarey",CAS12_Water Maze_Old_05 15 17 videos\Test 318.szv,24.9,60,6.145,13.491,0.247,0.225,0.172,0.073,7.9,28.8,6.2,6.2,3.6,7.1,7.0,17.3,1,2,0.61,0.492,15.05,29.24,0.658,0.764,26.22,26,96,10,10
319,10454.0,1,5/18/2017,12:04,pm,"mzempare, ncarey",CAS12_Water Maze_Old_05 15 17 videos\Test 319.szv,24.7,60,5.444,12.608,0.22,0.21,0.243,0.046,9.2,20.7,1.4,9.0,5.2,15.6,8.3,13.9,1,1,0.539,0.611,12.95,36.23,0.064,0.195,33.28,31,69,2,15
320,10455.0,1,5/18/2017,12:05,pm,"mzempare, ncarey",CAS12_Water Maze_Old_05 15 17 videos\Test 320.szv,24.3,60,6.104,12.711,0.251,0.212,0.089,0.03,7.0,25.6,0.0,9.7,8.4,15.2,9.0,9.1,0,1,0.598,0.593,14.54,35.29,,0.119,31.31,23,85,0,16
321,10457.0,1,5/18/2017,12:06,pm,"mzempare, ncarey",CAS12_Water Maze_Old_05 15 17 videos\Test 321.szv,25.5,60,7.17,15.036,0.281,0.251,0.119,0.05,7.5,8.4,4.3,17.5,7.5,16.6,5.7,17.0,1,1,0.692,0.756,17.27,44.94,0.801,0.517,42.38,25,28,7,29
322,10458.0,1,5/18/2017,12:08,pm,"mzempare, ncarey",CAS12_Water Maze_Old_05 15 17 videos\Test 322.szv,24.8,60,5.709,13.288,0.23,0.222,0.18,0.103,15.8,25.9,2.8,7.0,0.0,9.2,6.3,17.9,0,0,0.389,0.539,9.65,32.34,,,29.24,53,86,5,12
323,10459.0,1,5/18/2017,12:09,pm,"mzempare, ncarey",CAS12_Water Maze_Old_05 15 17 videos\Test 323.szv,25.4,60,7.006,15.802,0.276,0.263,0.098,0.031,6.5,15.7,9.6,13.8,4.3,17.1,5.0,13.4,0,0,0.708,0.702,17.99,42.13,,,39.26,22,52,16,23
324,10460.0,1,5/18/2017,12:10,pm,"mzempare, ncarey",CAS12_Water Maze_Old_05 15 17 videos\Test 324.szv,25.1,60,6.252,14.591,0.249,0.243,0.093,0.101,4.0,11.5,7.9,17.3,8.5,21.3,4.2,9.3,1,1,0.706,0.762,17.31,45.28,0.317,0.372,42.27,13,38,13,29
325,10461.0,1,5/18/2017,12:11,pm,"mzempare, ncarey",CAS12_Water Maze_Old_05 15 17 videos\Test 325.szv,25.1,60,6.143,14.277,0.245,0.238,0.164,0.108,13.5,26.5,5.1,13.6,0.2,6.4,6.4,12.8,0,2,0.446,0.524,11.19,31.07,,0.091,28.14,45,88,9,23
326,10462.0,1,5/18/2017,12:13,pm,"mzempare, ncarey",CAS12_Water Maze_Old_05 15 17 videos\Test 326.szv,24.6,60,5.98,13.017,0.243,0.217,0.145,0.112,3.7,15.9,3.9,14.4,11.1,18.3,5.8,10.6,0,1,0.746,0.707,18.35,41.94,,0.139,38.7,12,53,7,24
327,10463.0,1,5/18/2017,12:14,pm,"mzempare, ncarey",CAS12_Water Maze_Old_05 15 17 videos\Test 327.szv,25.0,60,5.892,14.101,0.236,0.235,0.066,0.034,2.3,18.0,10.1,13.7,8.3,17.0,4.1,10.0,0,2,0.67,0.577,16.6,33.96,,0.964,30.93,8,60,17,23
