Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,Probe: TTR to 30s; Duration (s),Base; Duration (s),Probe: TTR to 30s; Distance (m),Base; Distance (m),Probe: TTR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe: TTR to 30s; Path efficiency,Base; Path efficiency,Probe: TTR to 30s; Q1 : time (s),Base; Q1 : time (s),Probe: TTR to 30s; Q2 : time (s),Base; Q2 : time (s),Probe: TTR to 30s; Q3 : time (s),Base; Q3 : time (s),Probe: TTR to 30s; Q4 : time (s),Base; Q4 : time (s),Probe: TTR to 30s; Platform : entries,Base; Platform : entries,Probe: TTR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe: TTR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe: TTR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),Probe: TTR to 30s; % time in Goal Quadrant 30s,Base; % time in Goal Quadrant 30s,Probe: TTR to 30s; % time in Goal Quadrant 60s,Base; % time in Goal Quadrant 60s
241,10494.0,1,9/14/2017,11:15,am,"mzempare, ncarey",CAS14_WaterMaze_Black&Red_09 11 17 videos\Test 241.szv,25.6,60,6.523,15.14,0.255,0.252,0.004,0.04,18.0,33.5,2.4,13.5,2.4,5.4,1.8,4.7,2,5,0.291,0.373,7.16,21.27,0.369,0.918,18.74,60,112,4,23
242,10495.0,1,9/14/2017,11:16,am,"mzempare, ncarey",CAS14_WaterMaze_Black&Red_09 11 17 videos\Test 242.szv,26.0,60,6.259,14.93,0.241,0.249,0.112,0.072,16.2,32.1,5.2,13.8,1.9,5.8,0.9,6.1,3,5,0.295,0.363,7.15,20.97,0.021,0.876,18.92,54,107,9,23
243,10496.0,1,9/14/2017,11:18,am,"mzempare, ncarey",CAS14_WaterMaze_Black&Red_09 11 17 videos\Test 243.szv,25.6,60,6.392,15.423,0.25,0.257,0.054,0.072,14.0,23.9,6.5,17.9,2.7,9.7,1.1,6.7,2,3,0.32,0.463,7.77,26.93,0.554,0.524,24.41,47,80,11,30
244,10497.0,1,9/14/2017,11:19,am,"mzempare, ncarey",CAS14_WaterMaze_Black&Red_09 11 17 videos\Test 244.szv,26.2,60,8.821,18.69,0.337,0.312,0.112,0.081,9.2,18.3,5.4,8.9,7.0,17.3,4.1,14.3,1,2,0.575,0.697,14.73,41.0,0.097,0.217,38.64,31,61,9,15
245,10498.0,1,9/14/2017,11:20,am,"mzempare, ncarey",CAS14_WaterMaze_Black&Red_09 11 17 videos\Test 245.szv,26.0,60,7.382,16.861,0.284,0.281,0.066,0.079,10.5,28.0,6.4,14.9,5.4,11.0,2.5,4.8,2,2,0.439,0.442,10.89,25.97,0.055,0.22,23.67,35,93,11,25
246,10499.0,1,9/14/2017,11:22,am,"mzempare, ncarey",CAS14_WaterMaze_Black&Red_09 11 17 videos\Test 246.szv,25.4,60,6.345,14.469,0.25,0.241,0.147,0.061,11.3,25.3,3.8,19.6,3.9,7.3,5.1,5.7,3,5,0.371,0.41,8.95,23.75,0.161,0.583,21.15,38,84,6,33
247,10500.0,1,9/14/2017,11:23,am,"mzempare, ncarey",CAS14_WaterMaze_Black&Red_09 11 17 videos\Test 247.szv,25.7,60,5.925,14.837,0.231,0.247,0.045,0.034,20.1,38.9,2.8,6.5,0.0,7.9,1.3,4.3,2,4,0.213,0.306,5.15,17.64,,0.931,15.32,67,130,5,11
248,10501.0,1,9/14/2017,11:24,am,"mzempare, ncarey",CAS14_WaterMaze_Black&Red_09 11 17 videos\Test 248.szv,26.2,60,7.466,15.648,0.285,0.261,0.063,0.063,7.0,18.0,4.3,19.2,9.3,16.1,4.2,4.2,2,3,0.527,0.539,13.03,30.95,0.075,0.184,29.01,23,60,7,32
249,10502.0,1,9/14/2017,11:26,am,"mzempare, ncarey",CAS14_WaterMaze_Black&Red_09 11 17 videos\Test 249.szv,24.7,60,5.939,13.63,0.24,0.227,0.147,0.099,10.6,26.0,0.5,9.6,0.0,7.9,12.5,14.4,2,5,0.44,0.533,10.4,30.84,0.871,0.667,27.62,35,87,1,16
250,10503.0,1,9/14/2017,11:27,am,"mzempare, ncarey",CAS14_WaterMaze_Black&Red_09 11 17 videos\Test 250.szv,25.0,60,5.447,13.57,0.218,0.226,0.102,0.038,7.6,23.4,11.3,17.2,0.8,8.6,4.9,9.2,1,3,0.385,0.42,9.49,24.5,0.05,0.186,21.59,25,78,19,29
