Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,AQ D3: TTR to End of test; Duration (s),Base; Duration (s),AQ D3: TTR to End of test; Distance (m),Base; Distance (m),AQ D3: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),AQ D3: TTR to End of test; Path efficiency,Base; Path efficiency,AQ D3: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ D3: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ D3: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),AQ D3: TTR to End of test; Avg speed: AQ D3 (m/s),Base; Avg speed: AQ D3 (m/s)
175,10264.0,13,10/12/2016,9:56,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 175.szv,1.3,4.1,0.337,1.084,0.259,0.264,0.968,0.822,0.145,0.474,0.14,1.8,0.992,0.802,0.51,0.2862,0.2942
176,10264.0,14,10/12/2016,9:56,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 176.szv,56.8,60.0,12.816,13.76,0.226,0.229,0.081,0.06,0.762,0.757,43.25,45.39,,,43.45,0.2862,0.2942
177,10265.0,13,10/12/2016,9:58,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 177.szv,5.5,7.6,1.712,2.238,0.311,0.295,0.452,0.32,0.618,0.612,3.4,4.65,,,4.13,0.2523,0.253
178,10265.0,14,10/12/2016,9:58,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 178.szv,58.1,60.0,13.211,13.644,0.227,0.227,0.087,0.1,0.769,0.762,44.21,45.28,0.159,0.097,44.79,0.2523,0.253
179,10266.0,13,10/12/2016,10:00,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 179.szv,44.6,48.0,11.061,11.858,0.248,0.247,0.099,0.079,0.624,0.644,27.63,30.69,0.093,0.068,29.34,0.2292,0.2338
180,10266.0,14,10/12/2016,10:01,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 180.szv,33.5,38.1,6.679,7.704,0.2,0.202,0.022,0.132,0.518,0.538,17.34,20.46,,,17.57,0.2292,0.2338
181,10267.0,13,10/12/2016,10:02,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 181.szv,32.7,34.8,8.481,9.125,0.259,0.262,0.093,0.061,0.811,0.797,25.94,27.16,0.09,0.056,26.66,0.2367,0.2432
182,10267.0,14,10/12/2016,10:03,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 182.szv,3.5,8.5,0.715,2.042,0.206,0.241,0.68,0.624,0.175,0.677,0.42,5.03,0.666,0.635,2.14,0.2367,0.2432
183,10268.0,13,10/12/2016,10:03,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 183.szv,0.9,4.2,0.102,0.938,0.113,0.223,0.929,0.944,0.024,0.476,0.01,1.78,0.884,0.931,0.27,0.199,0.2537
184,10268.0,14,10/12/2016,10:04,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 184.szv,0.4,4.5,0.059,1.229,0.147,0.273,0.941,0.874,0.036,0.534,0.01,2.36,0.743,0.853,0.35,0.199,0.2537
185,10269.0,13,10/12/2016,10:04,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 185.szv,56.8,60.0,14.363,15.261,0.253,0.254,0.093,0.04,0.593,0.591,33.66,35.45,,,34.12,0.2248,0.2445
186,10269.0,14,10/12/2016,10:06,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 186.szv,0.4,2.1,0.058,0.459,0.145,0.219,0.989,0.983,0.014,0.245,0.0,0.46,0.999,0.977,0.04,0.2248,0.2445
187,10270.0,13,10/12/2016,10:06,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 187.szv,35.7,40.8,9.442,10.926,0.264,0.268,0.139,0.116,0.81,0.837,28.51,33.75,0.129,0.108,31.12,0.2242,0.2292
188,10270.0,14,10/12/2016,10:07,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 188.szv,55.0,60.0,11.108,12.42,0.202,0.207,0.029,0.073,0.736,0.774,40.48,46.44,,,43.25,0.2242,0.2292
189,10271.0,13,10/12/2016,10:09,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 189.szv,49.8,54.8,9.797,10.968,0.197,0.2,0.125,0.104,0.812,0.83,39.97,45.03,0.117,0.098,42.14,0.2138,0.2148
190,10271.0,14,10/12/2016,10:10,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 190.szv,32.6,37.6,5.581,6.41,0.171,0.171,0.215,0.16,0.742,0.797,24.18,29.96,,,26.5,0.2138,0.2148
191,10272.0,13,10/12/2016,10:12,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 191.szv,39.8,42.6,9.008,9.604,0.226,0.225,0.116,0.081,0.721,0.728,28.69,31.02,,,30.06,0.2298,0.231
192,10272.0,14,10/12/2016,10:13,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 192.szv,37.2,38.9,7.942,8.099,0.214,0.208,0.066,0.065,0.673,0.661,24.4,25.07,0.052,0.049,24.69,0.2298,0.231
193,10273.0,13,10/12/2016,10:14,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 193.szv,21.2,25.1,5.47,6.555,0.258,0.261,0.015,0.138,0.648,0.651,13.37,15.96,0.016,0.147,14.27,0.2352,0.2365
194,10273.0,14,10/12/2016,10:14,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 194.szv,47.4,50.7,10.626,11.502,0.224,0.227,0.094,0.076,0.68,0.691,32.23,35.04,,,33.67,0.2352,0.2365
195,10274.0,13,10/12/2016,10:16,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 195.szv,55.4,60.0,11.536,13.111,0.208,0.219,0.009,0.104,0.564,0.561,31.23,33.65,,,31.32,0.2115,0.2177
196,10274.0,14,10/12/2016,10:17,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 196.szv,54.7,60.0,11.381,12.829,0.208,0.214,0.079,0.116,0.724,0.745,39.57,44.71,,,41.51,0.2115,0.2177
197,10275.0,13,10/12/2016,10:20,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 197.szv,45.2,49.1,11.878,13.137,0.263,0.268,0.02,0.079,0.482,0.501,21.8,24.59,,,22.36,0.275,0.2738
198,10275.0,14,10/12/2016,10:21,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 198.szv,50.6,52.8,10.934,11.361,0.216,0.215,0.075,0.064,0.628,0.631,31.69,33.24,0.1,0.074,32.4,0.275,0.2738
199,10276.0,13,10/12/2016,10:22,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 199.szv,43.8,48.8,9.815,10.709,0.224,0.219,0.09,0.117,0.704,0.751,30.84,36.66,,,33.0,0.2545,0.25
