Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D6: TTR to End of test; Duration (s),Base; Duration (s),V D6: TTR to End of test; Distance (m),Base; Distance (m),V D6: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D6: TTR to End of test; Path efficiency,Base; Path efficiency,V D6: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D6: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D6: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D6: TTR to End of test; Avg speed: V D6 (m/s),Base; Avg speed: V D6 (m/s)
311,9975,7,10/17/2015,9:03,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 311.szv,1.7,6.5,0.144,1.599,0.085,0.246,0.681,0.677,0.08,0.635,0.14,4.13,,,1.38,0.2147,0.237
312,9976,7,10/17/2015,9:03,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 312.szv,0.8,4.2,0.105,1.127,0.131,0.268,0.791,0.926,0.027,0.424,0.01,1.64,0.738,0.891,-0.07,0.2305,0.2877
313,9977,7,10/17/2015,9:04,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 313.szv,1,2.7,0.108,0.526,0.112,0.198,0.911,0.931,0.065,0.249,0.06,0.66,,,0.02,0.2257,0.2915
314,9978,7,10/17/2015,9:04,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 314.szv,3.4,7.6,0.792,2.017,0.233,0.265,0.859,0.641,0.208,0.612,0.71,4.65,,,2.25,0.2518,0.2625
315,9979,7,10/17/2015,9:05,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 315.szv,0.5,4.3,0.104,1.211,0.209,0.282,0.784,0.888,0.027,0.526,0.01,2.16,0.999,0.891,0.21,0.253,0.274
316,9980,7,10/17/2015,9:05,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 316.szv,7.5,10,2.39,3.111,0.32,0.312,0.063,0.248,0.6,0.544,4.37,5.32,0.056,0.228,4.51,0.2837,0.2847
317,9981,7,10/17/2015,9:06,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 317.szv,3.9,6.8,1.026,1.641,0.263,0.241,0.989,0.449,0.458,0.624,1.76,4.2,0.962,0.447,3.07,0.255,0.2537
318,9982,7,10/17/2015,9:06,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 318.szv,1.5,3.3,0.373,0.858,0.249,0.26,0.996,0.653,0.106,0.3,0.13,0.92,0.921,0.615,0.44,0.2488,0.2697
319,9983,7,10/17/2015,9:07,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 319.szv,1.4,2.2,0.15,0.258,0.108,0.118,0.928,0.913,0.069,0.107,0.05,0.16,0.999,0.989,0.02,0.2402,0.2397
320,9984,7,10/17/2015,9:07,am,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 320.szv,5.6,8.8,1.576,2.501,0.282,0.284,0.641,0.377,0.619,0.739,3.47,6.5,,,5.18,0.2458,0.2683
