AnyMaze_#,Barnes_ID,Tail_Marking,Experiment,Cohort,Strain,Genotype,Sex,Date_Birth,Date_Received,Date_Start_SpatialWatermaze,Age_mo,Weight_g,Housing,Subsequent_Measures,AnyMaze_File,Notes
1,10228,1 Red,Cognitive Aptitude Study,8,F344,WT,M,9/1/2014,8/10/2016,8/22/2016,24.0,394,single,y,CAS8_Old_08 22 16.szd,N/A
2,10229,2 Red,Cognitive Aptitude Study,8,F344,WT,M,9/1/2014,8/10/2016,8/22/2016,24.0,402,single,y,CAS8_Old_08 22 16.szd,N/A
3,10230,3 Red,Cognitive Aptitude Study,8,F344,WT,M,9/1/2014,8/10/2016,8/22/2016,24.0,388,single,y,CAS8_Old_08 22 16.szd,N/A
4,10231,4 Red,Cognitive Aptitude Study,8,F344,WT,M,9/1/2014,8/10/2016,8/22/2016,24.0,396,single,y,CAS8_Old_08 22 16.szd,N/A
5,10232,5 Red,Cognitive Aptitude Study,8,F344,WT,M,9/1/2014,8/10/2016,8/22/2016,24.0,472,single,y,CAS8_Old_08 22 16.szd,Right eye dull and red rimmed
6,10233,6 Red,Cognitive Aptitude Study,8,F344,WT,M,9/1/2014,8/10/2016,8/22/2016,24.0,421,single,y,CAS8_Old_08 22 16.szd,Long nails on right hindfoot
7,10234,7 Red,Cognitive Aptitude Study,8,F344,WT,M,9/1/2014,8/10/2016,8/22/2016,24.0,426,single,y,CAS8_Old_08 22 16.szd,Bottom incisors overgrown
8,10235,8 Red,Cognitive Aptitude Study,8,F344,WT,M,9/1/2014,8/10/2016,8/22/2016,24.0,418,single,y,CAS8_Old_08 22 16.szd,"Required rescuing from water during most trials, excluded from testing on Day 2; ~2cm cyst near base of testes"
9,10236,9 Red,Cognitive Aptitude Study,8,F344,WT,M,9/1/2014,8/10/2016,8/22/2016,24.0,455,single,y,CAS8_Old_08 22 16.szd,N/A
10,10237,10 Red,Cognitive Aptitude Study,8,F344,WT,M,9/1/2014,8/10/2016,8/22/2016,24.0,429,single,y,CAS8_Old_08 22 16.szd,Both testes hard
