AnyMaze_#,Barnes_ID,Tail_Marking,Experiment,Cohort,Strain,Genotype,Sex,Date_Birth,Date_Received,Date_Start_SpatialWatermaze,Age_mo,Weight_g,Housing,Subsequent_Measures,AnyMaze_File,Notes
1,10474,1 Red,Cognitive Aptitude Study,13,F344,WT,M,7/1/2015,6/28/2017,7/10/2017,24.7,425,single,y,CAS13_Old_Red_07.10.17.szd,Enlarged right testicle
2,10475,2 Red,Cognitive Aptitude Study,13,F344,WT,M,7/1/2015,6/28/2017,7/10/2017,24.7,422,single,y,CAS13_Old_Red_07.10.17.szd,N/A
3,10476,3 Red,Cognitive Aptitude Study,13,F344,WT,M,7/1/2015,6/28/2017,7/10/2017,24.7,368,single,y,CAS13_Old_Red_07.10.17.szd,Slightly loud breathing
4,10477,4 Red,Cognitive Aptitude Study,13,F344,WT,M,7/1/2015,6/28/2017,7/10/2017,24.7,388,single,y,CAS13_Old_Red_07.10.17.szd,N/A
5,10478,5 Red,Cognitive Aptitude Study,13,F344,WT,M,7/1/2015,6/28/2017,7/10/2017,24.7,373,single,y,CAS13_Old_Red_07.10.17.szd,N/A
6,10479,6 Red,Cognitive Aptitude Study,13,F344,WT,M,7/1/2015,6/28/2017,7/10/2017,24.7,363,single,y,CAS13_Old_Red_07.10.17.szd,Enlarged right testicle
7,10480,7 Red,Cognitive Aptitude Study,13,F344,WT,M,7/1/2015,6/28/2017,7/10/2017,24.7,387,single,y,CAS13_Old_Red_07.10.17.szd,N/A
8,10481,8 Red,Cognitive Aptitude Study,13,F344,WT,M,7/1/2015,6/28/2017,7/10/2017,24.7,412,single,y,CAS13_Old_Red_07.10.17.szd,N/A
9,10482,9 Red,Cognitive Aptitude Study,13,F344,WT,M,7/1/2015,6/28/2017,7/10/2017,24.7,409,single,y,CAS13_Old_Red_07.10.17.szd,N/A
10,10483,10 Red,Cognitive Aptitude Study,13,F344,WT,M,7/1/2015,6/28/2017,7/10/2017,24.7,456,single,y,CAS13_Old_Red_07.10.17.szd,N/A
