Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,Probe: TTR to 30s; Duration (s),Base; Duration (s),Probe: TTR to 30s; Distance (m),Base; Distance (m),Probe: TTR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe: TTR to 30s; Path efficiency,Base; Path efficiency,Probe: TTR to 30s; Q1 : time (s),Base; Q1 : time (s),Probe: TTR to 30s; Q2 : time (s),Base; Q2 : time (s),Probe: TTR to 30s; Q3 : time (s),Base; Q3 : time (s),Probe: TTR to 30s; Q4 : time (s),Base; Q4 : time (s),Probe: TTR to 30s; Platform : entries,Base; Platform : entries,Probe: TTR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe: TTR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe: TTR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),Probe: TTR to 30s; % time in Goal Quadrant 30s,Base; % time in Goal Quadrant 30s,Probe: TTR to 30s; % time in Goal Quadrant 60s,Base; % time in Goal Quadrant 60s
241,9887,1,8/27/2015,15:30,pm,"mzempare, ncarey",CAS2_August24-2015-Young videos\Test 241.szv,26.5,60,7.721,17.39,0.291,0.29,0.092,0.067,14.2,20.5,4,10.5,3.5,13.1,3,13.6,4,5,0.395,0.546,9.76,31.5,0.084,0.205,29.67,47,68,24,34
242,9888,1,8/27/2015,15:31,pm,"mzempare, ncarey",CAS2_August24-2015-Young videos\Test 242.szv,26.2,60,7.322,17.406,0.279,0.29,0.032,0.061,15.6,26.7,8.2,18.5,0,7.2,1,5.8,2,4,0.3,0.447,7.47,25.94,,0.825,23.79,52,89,26,45
243,9889,1,8/27/2015,15:33,pm,"mzempare, ncarey",CAS2_August24-2015-Young videos\Test 243.szv,26.4,60,7.479,16.654,0.283,0.278,0.049,0.043,9.9,24.7,11.6,26.1,2.7,5.6,0.9,1.7,2,3,0.464,0.429,11.66,24.9,0.19,0.256,23.06,33,82,17,41
244,9890,1,8/27/2015,15:37,pm,"mzempare, ncarey",CAS2_August24-2015-Young videos\Test 244.szv,25.9,60,5.834,14.848,0.225,0.248,0.068,0.075,18.9,33.9,1.7,7.3,0,5.8,3.4,9.9,4,7,0.213,0.327,5.11,18.58,0.043,0.232,16.39,63,113,32,56
245,9891,1,8/27/2015,15:38,pm,"mzempare, ncarey",CAS2_August24-2015-Young videos\Test 245.szv,25.7,60,6.194,14.93,0.241,0.249,0.18,0.09,18.2,33.5,6.7,14.2,0,2.4,0,8.8,1,2,0.313,0.394,7.81,23.2,0.148,0.327,20.81,61,112,30,56
246,9892,1,8/27/2015,15:40,pm,"mzempare, ncarey",CAS2_August24-2015-Young videos\Test 246.szv,25.9,60,7.057,15.976,0.272,0.266,0.015,0.058,15,35.7,3.4,9.6,0.8,2.5,4.5,7.6,4,9,0.233,0.261,5.53,14.42,0.154,0.956,12.07,50,119,25,60
247,9893,1,8/27/2015,15:41,pm,"mzempare, ncarey",CAS2_August24-2015-Young videos\Test 247.szv,26.8,60,8.063,17.839,0.301,0.297,0.09,0.057,8.7,21.8,9.4,18.3,2.5,8.3,5.6,10.1,2,4,0.411,0.43,10.72,25.18,0.609,0.449,23.65,29,73,14,36
248,9894,1,8/27/2015,15:43,pm,"mzempare, ncarey",CAS2_August24-2015-Young videos\Test 248.szv,26.3,60,6.708,14.342,0.255,0.239,0.039,0.09,14,37.3,3.4,8.6,2,3.4,4.9,8.3,4,5,0.32,0.285,7.76,16.38,0.586,0.662,14.71,47,124,23,62
249,9895,1,8/27/2015,15:44,pm,"mzempare, ncarey",CAS2_August24-2015-Young videos\Test 249.szv,26.6,60,8.441,19.146,0.317,0.319,0.103,0.069,5.3,18.6,5.1,6.6,7.2,14,8.8,20.4,1,2,0.645,0.594,17,35.44,0.023,0.218,33.57,18,62,9,31
250,9896,1,8/27/2015,15:45,pm,"mzempare, ncarey",CAS2_August24-2015-Young videos\Test 250.szv,27,60,8.871,18.996,0.329,0.317,0.075,0.034,15.7,32.1,6.1,11.8,1.8,5.3,2.9,10.3,1,1,0.363,0.401,9.63,23.84,0.076,0.187,22.35,52,107,26,54
