Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,AQ D1: TTR to End of test; Duration (s),Base; Duration (s),AQ D1: TTR to End of test; Distance (m),Base; Distance (m),AQ D1: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),AQ D1: TTR to End of test; Path efficiency,Base; Path efficiency,AQ D1: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ D1: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ D1: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),AQ D1: TTR to End of test; Avg speed: AQ D1 (m/s),Base; Avg speed: AQ D1 (m/s)
1,10434.0,1,5/15/2017,9:33,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 1.szv,20.6,25.7,3.694,4.08,0.179,0.159,0.324,0.294,0.933,0.96,19.14,24.59,0.292,0.265,20.85,0.2348,0.2123
2,10434.0,2,5/15/2017,9:33,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 2.szv,34.9,39.5,6.155,6.99,0.176,0.177,0.179,0.161,0.918,0.922,32.06,36.42,,,33.72,0.2348,0.2123
3,10435.0,1,5/15/2017,9:35,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 3.szv,57.0,60.0,22.083,22.295,0.387,0.372,0.024,0.022,0.778,0.78,44.36,46.8,,,45.8,0.2577,0.2618
4,10435.0,2,5/15/2017,9:37,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 4.szv,0.2,3.8,0.049,1.03,0.272,0.273,0.998,0.912,0.028,0.472,0.0,1.78,0.999,0.915,0.13,0.2577,0.2618
5,10436.0,1,5/15/2017,9:38,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 5.szv,58.4,60.0,13.469,13.527,0.231,0.225,0.003,0.001,0.741,0.735,43.29,44.07,,,43.42,0.26,0.3015
6,10436.0,2,5/15/2017,9:40,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 6.szv,0.3,2.8,0.03,0.789,0.101,0.282,0.996,0.952,0.023,0.399,0.0,1.07,0.999,0.957,0.07,0.26,0.3015
7,10437.0,1,5/15/2017,9:41,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 7.szv,55.8,60.0,14.344,14.624,0.257,0.244,0.036,0.047,0.794,0.817,44.28,49.01,,,46.53,0.2592,0.2575
8,10437.0,2,5/15/2017,9:43,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 8.szv,55.2,60.0,11.329,13.728,0.205,0.229,0.059,0.025,0.857,0.83,47.3,49.78,,,46.42,0.2592,0.2575
9,10438.0,1,5/15/2017,9:45,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 9.szv,56.6,60.0,12.009,12.462,0.212,0.208,0.095,0.083,0.798,0.799,45.14,47.95,,,46.07,0.2577,0.2533
10,10438.0,2,5/15/2017,9:47,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 10.szv,14.1,17.8,4.084,4.797,0.29,0.269,0.132,0.207,0.65,0.657,9.11,11.64,0.12,0.196,9.9,0.2577,0.2533
11,10439.0,1,5/15/2017,9:48,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 11.szv,58.1,60.0,13.684,13.702,0.236,0.228,0.109,0.11,0.694,0.687,40.34,41.19,,,41.73,0.2427,0.242
12,10439.0,2,5/15/2017,9:50,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 12.szv,56.4,60.0,10.878,12.02,0.193,0.2,0.056,0.122,0.78,0.789,43.96,47.36,,,45.42,0.2427,0.242
13,10440.0,1,5/15/2017,9:53,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 13.szv,56.6,60.0,16.314,16.521,0.288,0.275,0.055,0.053,0.672,0.695,38.03,41.69,,,39.78,0.3112,0.3178
14,10440.0,2,5/15/2017,9:55,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 14.szv,56.6,60.0,41.674,42.712,0.736,0.712,0.021,0.009,0.706,0.712,39.93,42.69,,,41.22,0.3112,0.3178
15,10441.0,1,5/15/2017,9:57,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 15.szv,55.0,60.0,11.061,11.305,0.201,0.188,0.079,0.075,0.726,0.761,39.93,45.64,,,42.11,0.2222,0.2288
16,10441.0,2,5/15/2017,10:00,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 16.szv,3.3,6.7,0.603,1.5,0.184,0.225,0.677,0.527,0.269,0.468,0.88,3.12,,,1.74,0.2222,0.2288
17,10442.0,1,5/15/2017,10:01,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 17.szv,8.1,12.2,1.309,1.722,0.162,0.141,0.661,0.614,0.386,0.536,3.13,6.55,,,3.72,0.2432,0.2185
18,10442.0,2,5/15/2017,10:01,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 18.szv,20.3,25.2,3.414,3.634,0.168,0.144,0.361,0.328,0.842,0.885,16.97,22.18,0.338,0.298,18.13,0.2432,0.2185
19,10443.0,1,5/15/2017,10:02,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 19.szv,57.5,60.0,11.344,12.021,0.197,0.2,0.028,0.059,0.834,0.816,47.92,48.96,,,48.2,0.2125,0.2188
20,10443.0,2,5/15/2017,10:04,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 20.szv,55.4,57.6,10.25,11.017,0.185,0.191,0.044,0.044,0.631,0.623,34.89,35.81,0.033,0.043,35.21,0.2125,0.2188
21,10444.0,1,5/15/2017,10:06,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 21.szv,56.8,60.0,12.682,12.795,0.223,0.213,0.008,0.013,0.749,0.748,42.54,44.86,,,43.65,0.2207,0.2218
22,10444.0,2,5/15/2017,10:08,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 22.szv,25.4,30.2,5.522,6.89,0.218,0.228,0.084,0.159,0.718,0.73,18.14,21.95,0.073,0.155,19.41,0.2207,0.2218
23,10445.0,1,5/15/2017,10:09,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 23.szv,55.0,60.0,11.108,11.427,0.202,0.19,0.065,0.055,0.872,0.897,47.95,53.83,,,50.14,0.1932,0.2362
24,10445.0,2,5/15/2017,10:11,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 24.szv,32.3,35.8,5.985,6.439,0.185,0.18,0.157,0.126,0.656,0.686,21.18,24.54,,,22.53,0.1932,0.2362
25,10446.0,1,5/15/2017,10:12,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 25.szv,55.4,60.0,15.031,17.684,0.271,0.295,0.058,0.058,0.663,0.678,36.75,40.65,,,38.34,0.2488,0.2523
26,10446.0,2,5/15/2017,10:15,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 26.szv,24.6,28.8,5.671,6.847,0.231,0.238,0.087,0.152,0.69,0.704,16.98,20.28,,,17.86,0.2488,0.2523
27,10447.0,1,5/15/2017,10:16,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 27.szv,52.5,54.9,11.575,11.967,0.22,0.218,0.064,0.041,0.634,0.633,33.3,34.73,,,34.14,0.2025,0.2067
28,10447.0,2,5/15/2017,10:17,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 28.szv,58.3,60.0,10.874,11.003,0.187,0.183,0.017,0.029,0.668,0.659,38.95,39.5,,,39.16,0.2025,0.2067
29,10448.0,1,5/15/2017,10:20,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 29.szv,13.1,15.7,1.474,1.674,0.113,0.107,0.339,0.307,0.206,0.259,2.48,3.78,0.346,0.327,2.64,0.1852,0.1843
30,10448.0,2,5/15/2017,10:20,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 30.szv,55.5,60.0,7.994,8.374,0.144,0.14,0.095,0.06,0.698,0.712,38.71,42.74,,,40.17,0.1852,0.1843
31,10449.0,1,5/15/2017,10:22,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 31.szv,55.4,60.0,10.333,10.929,0.187,0.182,0.071,0.105,0.768,0.797,42.56,47.79,,,44.79,0.2272,0.2273
32,10449.0,2,5/15/2017,10:24,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 32.szv,17.3,22.2,3.563,4.585,0.206,0.207,0.35,0.272,0.656,0.773,11.33,17.13,0.317,0.243,14.09,0.2272,0.2273
33,10434.0,3,5/15/2017,11:49,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 33.szv,1.3,3.0,0.398,0.598,0.311,0.201,0.962,0.753,0.126,0.261,0.15,0.74,0.86,0.639,0.41,0.2348,0.2123
34,10434.0,4,5/15/2017,11:49,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 34.szv,56.0,60.0,14.003,15.15,0.25,0.253,0.029,0.082,0.853,0.869,47.74,52.11,,,50.6,0.2348,0.2123
35,10435.0,3,5/15/2017,11:51,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 35.szv,58.3,60.0,14.161,16.476,0.243,0.275,0.005,0.018,0.547,0.545,31.9,32.71,,,32.31,0.2577,0.2618
36,10435.0,4,5/15/2017,11:53,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 36.szv,55.5,60.0,11.399,12.355,0.205,0.206,0.062,0.119,0.66,0.681,36.61,40.83,,,37.46,0.2577,0.2618
37,10436.0,3,5/15/2017,11:55,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 37.szv,27.7,31.3,13.822,14.791,0.499,0.473,0.084,0.084,0.63,0.686,17.44,21.48,,,20.06,0.26,0.3015
38,10436.0,4,5/15/2017,11:56,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 38.szv,56.0,60.0,13.591,14.849,0.243,0.248,0.066,0.109,0.57,0.594,31.94,35.62,,,32.59,0.26,0.3015
39,10437.0,3,5/15/2017,11:58,am,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 39.szv,56.0,60.0,17.584,18.284,0.314,0.305,0.044,0.061,0.876,0.882,49.02,52.94,,,51.21,0.2592,0.2575
40,10437.0,4,5/15/2017,12:00,pm,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 40.szv,57.1,60.0,13.282,13.822,0.233,0.23,0.026,0.055,0.789,0.779,45.06,46.76,,,45.52,0.2592,0.2575
41,10438.0,3,5/15/2017,12:02,pm,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 41.szv,57.8,60.0,14.662,15.232,0.254,0.254,0.019,0.018,0.485,0.494,28.05,29.64,,,28.98,0.2577,0.2533
42,10438.0,4,5/15/2017,12:04,pm,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 42.szv,14.5,16.5,2.985,3.417,0.206,0.207,0.138,0.161,0.312,0.337,4.51,5.54,0.128,0.152,4.87,0.2577,0.2533
43,10439.0,3,5/15/2017,12:04,pm,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 43.szv,56.7,60.0,13.748,14.535,0.243,0.242,0.072,0.104,0.771,0.754,43.71,45.24,,,43.89,0.2427,0.242
44,10439.0,4,5/15/2017,12:06,pm,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 44.szv,33.8,38.5,7.282,8.57,0.215,0.223,0.129,0.131,0.819,0.85,27.68,32.71,,,29.75,0.2427,0.242
45,10440.0,3,5/15/2017,12:07,pm,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 45.szv,58.8,60.0,13.085,13.198,0.223,0.22,0.049,0.057,0.602,0.597,35.39,35.81,,,35.47,0.3112,0.3178
46,10440.0,4,5/15/2017,12:09,pm,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 46.szv,56.2,60.0,9.453,10.301,0.168,0.172,0.089,0.059,0.721,0.745,40.52,44.67,,,40.44,0.3112,0.3178
47,10441.0,3,5/15/2017,12:11,pm,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 47.szv,58.2,60.0,12.502,12.725,0.215,0.212,0.045,0.029,0.626,0.621,36.43,37.28,,,36.86,0.2222,0.2288
48,10441.0,4,5/15/2017,12:13,pm,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 48.szv,20.3,23.8,4.956,5.955,0.244,0.25,0.083,0.16,0.433,0.454,8.79,10.79,0.067,0.136,9.44,0.2222,0.2288
49,10442.0,3,5/15/2017,12:14,pm,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 49.szv,6.3,9.0,2.267,2.73,0.36,0.303,0.283,0.253,0.696,0.664,4.38,5.98,,,5.38,0.2432,0.2185
50,10442.0,4,5/15/2017,12:14,pm,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 50.szv,54.9,60.0,13.821,15.617,0.252,0.26,0.091,0.014,0.764,0.77,41.94,46.19,,,43.73,0.2432,0.2185
51,10443.0,3,5/15/2017,12:16,pm,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 51.szv,56.4,60.0,12.438,13.598,0.221,0.227,0.118,0.109,0.661,0.682,37.26,40.93,,,39.53,0.2125,0.2188
52,10443.0,4,5/15/2017,12:18,pm,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 52.szv,22.1,26.0,5.29,6.485,0.239,0.249,0.075,0.148,0.423,0.44,9.34,11.45,0.048,0.131,9.96,0.2125,0.2188
53,10444.0,3,5/15/2017,12:19,pm,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 53.szv,55.4,60.0,13.364,14.112,0.241,0.235,0.072,0.089,0.77,0.787,42.67,47.21,,,44.95,0.2207,0.2218
54,10444.0,4,5/15/2017,12:21,pm,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 54.szv,48.8,53.8,11.206,12.656,0.23,0.235,0.059,0.097,0.566,0.6,27.6,32.28,0.047,0.087,29.63,0.2207,0.2218
55,10445.0,3,5/15/2017,12:22,pm,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 55.szv,1.0,3.2,0.235,0.785,0.235,0.245,0.918,0.798,0.063,0.303,0.06,0.97,0.578,0.672,0.4,0.1932,0.2362
56,10445.0,4,5/15/2017,12:23,pm,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 56.szv,0.3,5.1,0.036,1.491,0.121,0.292,0.887,0.813,0.016,0.603,0.0,3.0,0.453,0.763,0.8,0.1932,0.2362
57,10446.0,3,5/15/2017,12:23,pm,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 57.szv,56.6,60.0,13.77,14.002,0.243,0.233,0.102,0.111,0.841,0.841,47.61,50.45,,,48.87,0.2488,0.2523
58,10446.0,4,5/15/2017,12:25,pm,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 58.szv,55.7,60.0,13.596,14.605,0.244,0.243,0.116,0.068,0.595,0.617,33.11,36.99,,,34.43,0.2488,0.2523
59,10447.0,3,5/15/2017,12:27,pm,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 59.szv,29.1,32.8,6.302,7.334,0.217,0.224,0.189,0.112,0.661,0.692,19.0,22.45,0.175,0.104,21.13,0.2025,0.2067
60,10447.0,4,5/15/2017,12:28,pm,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 60.szv,54.2,60.0,8.136,9.58,0.15,0.16,0.064,0.04,0.814,0.811,44.12,48.65,,,44.1,0.2025,0.2067
61,10448.0,3,5/15/2017,12:30,pm,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 61.szv,55.9,60.0,13.832,14.77,0.247,0.246,0.056,0.037,0.712,0.699,39.77,41.9,,,40.69,0.1852,0.1843
62,10448.0,4,5/15/2017,12:31,pm,"mzempare, ncarey",CAS12_Water Maze_Young&Middle_05 15 17 videos\Test 62.szv,53.7,60.0,9.045,10.112,0.168,0.169,0.147,0.14,0.932,0.949,50.06,56.95,,,52.86,0.1852,0.1843
