Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,Probe: TTR to 30s; Duration (s),Base; Duration (s),Probe: TTR to 30s; Distance (m),Base; Distance (m),Probe: TTR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe: TTR to 30s; Path efficiency,Base; Path efficiency,Probe: TTR to 30s; Q1 : time (s),Base; Q1 : time (s),Probe: TTR to 30s; Q2 : time (s),Base; Q2 : time (s),Probe: TTR to 30s; Q3 : time (s),Base; Q3 : time (s),Probe: TTR to 30s; Q4 : time (s),Base; Q4 : time (s),Probe: TTR to 30s; Platform : entries,Base; Platform : entries,Probe: TTR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe: TTR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe: TTR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),Probe: TTR to 30s; % time in Goal Quadrant 30s,Base; % time in Goal Quadrant 30s,Probe: TTR to 30s; % time in Goal Quadrant 60s,Base; % time in Goal Quadrant 60s
343,10264,1,10/13/2016,11:58,am,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 343.szv,25.7,60,7.262,16.112,0.283,0.269,0.052,0.086,8.6,18.1,5.7,16,9.3,14.8,2.1,10.1,0,2,0.564,0.595,14.49,35.08,,0.133,32.5,29,60,10,27
344,10265,1,10/13/2016,12:02,pm,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 344.szv,29,60,7.219,12.834,0.249,0.214,0.085,0.072,6.5,22.2,11.5,12.1,5.6,8.8,5,15.4,1,2,0.695,0.508,19.74,29.67,0.991,0.825,29.54,22,74,19,20
345,10266,1,10/13/2016,12:04,pm,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 345.szv,25,60,6.46,14.576,0.258,0.243,0.138,0.105,3.2,18.4,3.5,9.1,7.5,15.5,10.2,15.9,1,2,0.772,0.582,18.86,34.24,0.22,0.207,31.09,11,61,6,15
346,10267,1,10/13/2016,12:05,pm,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 346.szv,23.7,60,5.762,12.159,0.243,0.203,0.175,0.136,6,9.5,5.3,12.2,7.1,26.4,4.6,11.2,1,1,0.688,0.864,15.82,51.21,0.109,0.279,47.17,20,32,9,20
347,10268,1,10/13/2016,12:07,pm,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 347.szv,27,60,6.76,13.934,0.25,0.232,0.073,0.045,6.3,18.4,4.6,12.5,9.4,16.2,6.4,11.8,1,2,0.694,0.605,18.49,35.65,0.804,0.776,34.56,21,61,8,21
348,10269,1,10/13/2016,12:08,pm,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 348.szv,24.8,60,6.488,14.434,0.262,0.241,0.102,0.073,5.6,17.7,8.7,18.5,5.5,11.5,4.1,8.7,1,5,0.532,0.48,12.7,27.09,,0.847,23.78,19,59,14,31
349,10270,1,10/13/2016,12:10,pm,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 349.szv,24.4,60,5.99,13.58,0.245,0.226,0.16,0.036,6.4,7.9,5,7.3,5.2,21.1,7.8,23.7,0,0,0.703,0.82,17.14,49.19,,,45.57,21,26,8,12
350,10271,1,10/13/2016,12:11,pm,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 350.szv,24.9,60,6.424,13.989,0.258,0.233,0.074,0.069,5.8,20.1,2.9,9.2,8.9,12.1,7.1,18.3,1,1,0.7,0.582,17.28,34.81,0.103,0.293,31.71,19,67,5,15
351,10272,1,10/13/2016,12:13,pm,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 351.szv,25.6,60,7.149,15.361,0.279,0.256,0.203,0.077,6.6,11.8,4.1,12.4,5.7,19.6,9.2,15.5,0,1,0.72,0.757,18.43,44.85,,0.108,42.25,22,39,7,21
352,10273,1,10/13/2016,12:14,pm,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 352.szv,24,60,5.375,12.406,0.224,0.207,0.082,0.047,11,35.4,6.8,11,4,6.3,1,4.5,2,5,0.402,0.333,9.18,19.02,0.078,0.858,15.19,37,118,11,18
353,10274,1,10/13/2016,12:15,pm,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 353.szv,24.3,60,5.567,13.52,0.229,0.225,0.042,0.061,12.5,23.5,4.1,8.9,0,9.7,7.5,17.2,1,1,0.432,0.497,10.4,29.49,0.026,0.177,25.84,42,78,7,15
354,10275,1,10/13/2016,12:17,pm,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 354.szv,24.8,60,6.032,14.683,0.243,0.245,0.106,0.1,6.6,18.3,9.5,18.3,5.6,16.2,2,5.7,1,2,0.516,0.547,12.22,32.06,,0.862,28.69,22,61,16,31
355,10276,1,10/13/2016,12:18,pm,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 355.szv,24.3,60,5.571,13.055,0.229,0.218,0.145,0.046,7.1,31.4,4.9,5.6,11.5,16.8,0,5.4,2,2,0.705,0.461,16.59,27.31,0.883,0.6,23.71,24,105,8,9
356,10277,1,10/13/2016,12:20,pm,"mzempare, ncarey",CAS9_Old_10 10 16 videos\Test 356.szv,25.2,60,6.736,15.305,0.267,0.255,0.186,0.065,4.3,13.7,7.7,15,6,15.6,6.8,15.4,1,1,0.71,0.67,17.66,39.97,0.614,0.523,36.97,14,46,13,25
