Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,AQ D3: TTR to End of test; Duration (s),Base; Duration (s),AQ D3: TTR to End of test; Distance (m),Base; Distance (m),AQ D3: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),AQ D3: TTR to End of test; Path efficiency,Base; Path efficiency,AQ D3: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ D3: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ D3: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),AQ D3: TTR to End of test; Avg speed: AQ D3 (m/s),Base; Avg speed: AQ D3 (m/s)
61,10514.0,13,9/13/2017,10:07,am,"mzempare, ncarey",CAS14_WaterMaze_Purple_09 11 17 videos\Test 61.szv,34.9,38.4,9.425,10.526,0.27,0.274,0.133,0.086,0.823,0.843,28.61,32.26,0.133,0.083,30.83,0.2492,0.25
62,10514.0,14,9/13/2017,10:08,am,"mzempare, ncarey",CAS14_WaterMaze_Purple_09 11 17 videos\Test 62.szv,56.0,60.0,13.063,13.99,0.233,0.233,0.085,0.026,0.731,0.732,40.96,43.89,,,41.7,0.2492,0.25
63,10515.0,13,9/13/2017,10:10,am,"mzempare, ncarey",CAS14_WaterMaze_Purple_09 11 17 videos\Test 63.szv,36.7,38.3,9.996,10.491,0.272,0.274,0.027,0.051,0.712,0.693,26.14,26.54,,,26.21,0.234,0.2497
64,10515.0,14,9/13/2017,10:11,am,"mzempare, ncarey",CAS14_WaterMaze_Purple_09 11 17 videos\Test 64.szv,58.0,60.0,11.687,12.075,0.202,0.201,0.05,0.059,0.791,0.785,45.9,47.09,,,46.44,0.234,0.2497
65,10516.0,13,9/13/2017,10:14,am,"mzempare, ncarey",CAS14_WaterMaze_Purple_09 11 17 videos\Test 65.szv,1.3,5.7,0.13,1.476,0.1,0.259,0.637,0.888,0.036,0.486,0.05,2.77,,,0.22,0.2328,0.2592
66,10516.0,14,9/13/2017,10:14,am,"mzempare, ncarey",CAS14_WaterMaze_Purple_09 11 17 videos\Test 66.szv,45.9,50.0,12.122,13.246,0.264,0.265,0.103,0.086,0.751,0.785,34.41,39.21,0.09,0.08,37.04,0.2328,0.2592
67,10517.0,13,9/13/2017,10:16,am,"mzempare, ncarey",CAS14_WaterMaze_Purple_09 11 17 videos\Test 67.szv,6.1,10.2,1.744,2.978,0.288,0.293,0.542,0.392,0.487,0.737,2.95,7.49,0.523,0.377,5.33,0.2577,0.2657
68,10517.0,14,9/13/2017,10:16,am,"mzempare, ncarey",CAS14_WaterMaze_Purple_09 11 17 videos\Test 68.szv,1.1,3.5,0.253,0.935,0.23,0.267,0.947,0.674,0.1,0.353,0.11,1.23,,,0.43,0.2577,0.2657
69,10518.0,13,9/13/2017,10:17,am,"mzempare, ncarey",CAS14_WaterMaze_Purple_09 11 17 videos\Test 69.szv,20.8,21.7,6.769,6.869,0.325,0.317,0.043,0.049,0.698,0.679,14.52,14.73,0.028,0.038,14.66,0.2885,0.2832
70,10518.0,14,9/13/2017,10:18,am,"mzempare, ncarey",CAS14_WaterMaze_Purple_09 11 17 videos\Test 70.szv,33.1,35.3,7.225,7.711,0.218,0.218,0.125,0.094,0.751,0.744,24.86,26.26,0.109,0.08,25.36,0.2885,0.2832
