Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D6: TTR to End of test; Duration (s),Base; Duration (s),V D6: TTR to End of test; Distance (m),Base; Distance (m),V D6: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D6: TTR to End of test; Path efficiency,Base; Path efficiency,V D6: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D6: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D6: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D6: TTR to End of test; Avg speed: V D6 (m/s),Base; Avg speed: V D6 (m/s)
311,10208,7,8/27/2016,9:15,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 311.szv,9.2,11.8,2.518,3.383,0.274,0.287,0.167,0.266,0.604,0.601,5.45,6.98,0.161,0.257,5.65,0.3188,0.3317
312,10209,7,8/27/2016,9:15,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 312.szv,0.7,2.2,0.119,0.547,0.17,0.249,1.097,0.983,0.059,0.265,0.03,0.53,0.612,0.851,0.1,0.2593,0.3233
313,10210,7,8/27/2016,9:15,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 313.szv,0.7,2,0.127,0.493,0.184,0.248,0.925,0.921,0.059,0.232,0.04,0.46,,,0.08,0.289,0.3195
314,10211,7,8/27/2016,9:16,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 314.szv,1,4.7,0.201,1.299,0.201,0.276,0.975,0.876,0.068,0.545,0.06,2.51,0.804,0.819,0.49,0.2622,0.286
315,10212,7,8/27/2016,9:16,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 315.szv,3.2,6.1,0.915,1.696,0.286,0.278,0.922,0.556,0.402,0.637,1.29,3.89,,,2.32,0.2863,0.3155
316,10213,7,8/27/2016,9:17,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 316.szv,1.1,4.2,0.305,1.424,0.288,0.342,0.984,0.777,0.109,0.642,0.12,2.67,,,0.88,0.3342,0.3543
317,10214,7,8/27/2016,9:17,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 317.szv,2.5,6,0.73,1.631,0.292,0.272,0.989,0.677,0.342,0.612,0.82,3.61,0.992,0.669,1.44,0.3308,0.3105
318,10215,7,8/27/2016,9:17,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 318.szv,0.4,1.8,0.055,0.436,0.141,0.244,0.994,0.995,0.021,0.215,0,0.35,0.999,0.993,0.01,0.2045,0.2868
319,10216,7,8/27/2016,9:18,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 319.szv,2.7,6.2,0.679,1.786,0.254,0.289,0.962,0.667,0.255,0.65,0.61,3.84,0.971,0.655,1.58,0.3172,0.3235
320,10217,7,8/27/2016,9:19,am,"mzempare, ncarey",CAS 8_Young-8 22 16 videos\Test 320.szv,3.5,5.9,1.179,2.088,0.339,0.355,0.74,0.451,0.491,0.665,1.63,3.8,0.762,0.427,2.68,0.3268,0.362
