Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,AQ D2: TTR to End of test; Duration (s),Base; Duration (s),AQ D2: TTR to End of test; Distance (m),Base; Distance (m),AQ D2: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),AQ D2: TTR to End of test; Path efficiency,Base; Path efficiency,AQ D2: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ D2: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ D2: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),AQ D2: TTR to End of test; Avg speed: AQ D2 (m/s),Base; Avg speed: AQ D2 (m/s)
37,9837,7,6/23/2015,10:21,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 37.szv,28.2,31.7,7.388,8.469,0.262,0.267,0.18,0.131,0.815,0.846,22.99,26.82,,,25.12,0.2577,0.27
38,9837,8,6/23/2015,10:22,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 38.szv,55.9,60,12.769,13.947,0.228,0.232,0.098,0.022,0.748,0.768,41.81,46.07,,,43.41,0.2577,0.27
39,9838,7,6/23/2015,10:24,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 39.szv,56.5,60,10.221,11.437,0.181,0.191,0.114,0.025,0.97,0.96,54.81,57.6,,,56.3,0.1833,0.2032
40,9838,8,6/23/2015,10:26,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 40.szv,56.4,60,9.813,10.66,0.174,0.178,0.06,0.039,0.864,0.856,48.71,51.32,,,49.75,0.1833,0.2032
41,9839,7,6/23/2015,10:28,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 41.szv,23.6,25.2,4.699,5.082,0.199,0.202,0.061,0.1,0.955,0.914,22.53,23.03,,,22.59,0.2443,0.251
42,9839,8,6/23/2015,10:29,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 42.szv,43.4,47.5,10.635,11.55,0.245,0.243,0.087,0.104,0.657,0.689,28.51,32.7,,,30.42,0.2443,0.251
43,9840,7,6/23/2015,10:31,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 43.szv,58,60,15.966,16.349,0.275,0.273,0.041,0.056,0.742,0.73,43.01,43.78,,,43.31,0.234,0.233
44,9840,8,6/23/2015,10:33,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 44.szv,33.4,38.2,7.455,8.549,0.223,0.224,0.092,0.133,0.629,0.669,21.01,25.56,,,22.75,0.234,0.233
45,9841,7,6/23/2015,10:34,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 45.szv,55.2,60,13.069,14.206,0.237,0.237,0.048,0.098,0.714,0.749,39.39,44.92,,,42.54,0.2118,0.2215
46,9841,8,6/23/2015,10:36,am,"mzempare, ncarey",CAS_June22-2015_Old videos\Test 46.szv,57.9,60,13.686,14.059,0.236,0.234,0.024,0.043,0.688,0.68,39.81,40.79,,,40.33,0.2118,0.2215
