AnyMaze_#,Barnes_ID,Tail_Marking,Experiment,Cohort,Strain,Genotype,Sex,Date_Birth,Date_Received,Date_Start_SpatialWatermaze,Age_mo,Weight_g,Housing,Subsequent_Measures,AnyMaze_File,Notes
1,10248,1 Green,Cognitive Aptitude Study,9,F344,WT,M,6/1/2015,9/28/2016,10/10/2016,16.6,400,single,y,CAS9_Middle _10 10 16.szd,N/A
2,10249,2 Green,Cognitive Aptitude Study,9,F344,WT,M,6/1/2015,9/28/2016,10/10/2016,16.6,441,single,y,CAS9_Middle _10 10 16.szd,N/A
3,10250,3 Green,Cognitive Aptitude Study,9,F344,WT,M,6/1/2015,9/28/2016,10/10/2016,16.6,415,single,y,CAS9_Middle _10 10 16.szd,N/A
4,10251,4 Green,Cognitive Aptitude Study,9,F344,WT,M,6/1/2015,9/28/2016,10/10/2016,16.6,416,single,y,CAS9_Middle _10 10 16.szd,N/A
5,10252,5 Green,Cognitive Aptitude Study,9,F344,WT,M,6/1/2015,9/28/2016,10/10/2016,16.6,415,single,y,CAS9_Middle _10 10 16.szd,N/A
6,10253,6 Green,Cognitive Aptitude Study,9,F344,WT,M,6/1/2015,9/28/2016,10/10/2016,16.6,439,single,y,CAS9_Middle _10 10 16.szd,N/A
7,10254,7 Green,Cognitive Aptitude Study,9,F344,WT,M,6/1/2015,9/28/2016,10/10/2016,16.6,433,single,y,CAS9_Middle _10 10 16.szd,N/A
8,10255,8 Green,Cognitive Aptitude Study,9,F344,WT,M,6/1/2015,9/28/2016,10/10/2016,16.6,406,single,y,CAS9_Middle _10 10 16.szd,N/A
9,10256,9 Green,Cognitive Aptitude Study,9,F344,WT,M,6/1/2015,9/28/2016,10/10/2016,16.6,377,single,y,CAS9_Middle _10 10 16.szd,N/A
10,10257,10 Green,Cognitive Aptitude Study,9,F344,WT,M,6/1/2015,9/28/2016,10/10/2016,16.6,431,single,y,CAS9_Middle _10 10 16.szd,N/A
11,10258,11 Green,Cognitive Aptitude Study,9,F344,WT,M,6/1/2015,9/28/2016,10/10/2016,16.6,447,single,y,CAS9_Middle _10 10 16.szd,N/A
12,10259,12 Green,Cognitive Aptitude Study,9,F344,WT,M,6/1/2015,9/28/2016,10/10/2016,16.6,444,single,y,CAS9_Middle _10 10 16.szd,N/A
13,10260,13 Green,Cognitive Aptitude Study,9,F344,WT,M,6/1/2015,9/28/2016,10/10/2016,16.6,416,single,y,CAS9_Middle _10 10 16.szd,N/A
14,10261,14 Green,Cognitive Aptitude Study,9,F344,WT,M,6/1/2015,9/28/2016,10/10/2016,16.6,415,single,y,CAS9_Middle _10 10 16.szd,N/A
15,10262,15 Green,Cognitive Aptitude Study,9,F344,WT,M,6/1/2015,9/28/2016,10/10/2016,16.6,409,single,y,CAS9_Middle _10 10 16.szd,N/A
