Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D6: TTR to End of test; Duration (s),Base; Duration (s),V D6: TTR to End of test; Distance (m),Base; Distance (m),V D6: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D6: TTR to End of test; Path efficiency,Base; Path efficiency,V D6: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D6: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D6: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D5: TTR to End of test; Avg speed: V D5 (m/s),Base; Avg speed: V D5 (m/s)
311,9965,7,10/17/2015,8:59,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 311.szv,1,3.6,0.146,0.953,0.146,0.265,0.971,0.88,0.053,0.422,0.03,1.34,0.912,0.848,0.29,nan,nan
312,9966,7,10/17/2015,8:59,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 312.szv,4.9,6.7,0.866,1.274,0.177,0.19,0.724,0.45,0.212,0.297,0.98,1.9,0.714,0.397,1.27,nan,nan
313,9967,7,10/17/2015,9:00,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 313.szv,6.4,8.2,0.592,1.003,0.093,0.123,0.48,0.627,0.052,0.128,0.31,1,0.257,0.539,-0.08,nan,nan
314,9968,7,10/17/2015,9:00,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 314.szv,2.4,6,0.65,1.629,0.272,0.272,0.982,0.719,0.218,0.689,0.43,3.85,0.99,0.71,1.6,nan,nan
315,9969,7,10/17/2015,9:00,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 315.szv,0.8,3.3,0.132,0.915,0.17,0.279,0.985,0.899,0.041,0.433,0.01,1.24,0.766,0.896,0.24,nan,nan
316,9970,7,10/17/2015,9:01,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 316.szv,1.3,4.8,0.153,1.182,0.118,0.246,0.673,0.903,0.053,0.423,0.05,1.9,0.509,0.863,-0.04,nan,nan
317,9971,7,10/17/2015,9:01,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 317.szv,1.1,5.4,0.107,1.385,0.098,0.257,0.99,0.854,0.044,0.623,0.04,3.18,0.906,0.837,0.77,nan,nan
318,9972,7,10/17/2015,9:01,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 318.szv,1.8,3.7,0.377,0.829,0.214,0.227,0.958,0.678,0.121,0.319,0.17,1.06,0.934,0.664,0.43,nan,nan
319,9973,7,10/17/2015,9:02,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 319.szv,0.4,3.7,0.083,1.027,0.225,0.28,0.821,0.98,0.017,0.494,0,1.66,,0.98,0.07,nan,nan
320,9974,7,10/17/2015,9:02,am,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 320.szv,1.6,4.4,0.43,1.132,0.269,0.257,0.979,0.731,0.144,0.459,0.22,1.97,0.902,0.721,0.71,nan,nan
