Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D5: TTR to End of test; Duration (s),Base; Duration (s),V D5: TTR to End of test; Distance (m),Base; Distance (m),V D5: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D5: TTR to End of test; Path efficiency,Base; Path efficiency,V D5: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D5: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D5: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D5: TTR to End of test; Avg speed: V D5 (m/s),Base; Avg speed: V D5 (m/s)
291,9975,5,10/16/2015,13:23,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 291.szv,1.3,4.4,0.172,1.139,0.133,0.26,0.879,0.838,0.034,0.379,0.04,1.58,0.339,0.71,0.34,0.2112,0.2577
292,9976,5,10/16/2015,13:23,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 292.szv,4.8,6.8,1.395,1.998,0.292,0.295,0.615,0.368,0.419,0.491,1.9,3.21,0.533,0.294,2.61,0.2417,0.2883
293,9977,5,10/16/2015,13:24,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 293.szv,4.5,7.2,1.432,2.316,0.32,0.323,0.536,0.421,0.446,0.532,1.99,3.82,,,2.78,0.2623,0.2968
294,9978,5,10/16/2015,13:24,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 294.szv,1.5,4.7,0.326,1.172,0.221,0.25,0.986,0.773,0.137,0.495,0.2,2.32,,,0.95,0.2095,0.2557
295,9979,5,10/16/2015,13:25,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 295.szv,8.4,12.5,2.124,3.384,0.253,0.271,0.183,0.32,0.604,0.6,4.95,7.37,0.185,0.312,5.31,0.2385,0.2583
296,9980,5,10/16/2015,13:26,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 296.szv,6.6,8.3,2.124,2.701,0.322,0.325,0.328,0.256,0.504,0.51,3.28,4.18,0.263,0.197,3.73,0.2805,0.3047
297,9981,5,10/16/2015,13:27,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 297.szv,1,3.8,0.246,1.106,0.251,0.293,0.982,0.762,0.099,0.501,0.07,1.77,0.926,0.717,0.75,0.2778,0.2782
298,9982,5,10/16/2015,13:27,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 298.szv,1.5,3.2,0.353,0.864,0.235,0.27,0.769,0.687,0.118,0.252,0.18,0.81,,,0.37,0.2762,0.2727
299,9983,5,10/16/2015,13:28,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 299.szv,2.2,5.9,0.619,1.749,0.281,0.296,0.99,0.659,0.28,0.69,0.57,3.95,0.996,0.637,1.89,0.2818,0.3003
300,9984,5,10/16/2015,13:28,pm,"mzempare, ncarey",CAS_October12-2015_Middle videos\Test 300.szv,3.7,3.7,1.15,1.15,0.311,0.311,0.943,0.943,0.577,0.577,1.99,1.99,0.931,0.931,0.31,0.2573,0.271
