Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,Probe: TTR to 30s; Duration (s),Base; Duration (s),Probe: TTR to 30s; Distance (m),Base; Distance (m),Probe: TTR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe: TTR to 30s; Path efficiency,Base; Path efficiency,Probe: TTR to 30s; Q1 : time (s),Base; Q1 : time (s),Probe: TTR to 30s; Q2 : time (s),Base; Q2 : time (s),Probe: TTR to 30s; Q3 : time (s),Base; Q3 : time (s),Probe: TTR to 30s; Q4 : time (s),Base; Q4 : time (s),Probe: TTR to 30s; Platform : entries,Base; Platform : entries,Probe: TTR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe: TTR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe: TTR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),Probe: TTR to 30s; % time in Goal Quadrant 30s,Base; % time in Goal Quadrant 30s,Probe: TTR to 30s; % time in Goal Quadrant 60s,Base; % time in Goal Quadrant 60s
241,9965.0,1,10/15/2015,14:21,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 241.szv,26.0,60,6.873,17.103,0.264,0.285,0.075,0.086,19.9,31.9,3.9,8.1,0.0,6.5,0.4,11.2,4,5,0.225,0.409,5.46,23.63,0.067,0.574,21.24,66,106,33,53
242,9966.0,1,10/15/2015,14:23,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 242.szv,25.9,60,6.838,17.005,0.264,0.283,0.003,0.007,6.1,10.5,2.6,8.2,3.3,14.4,12.4,23.8,2,4,0.469,0.604,11.43,34.42,0.784,0.689,32.05,20,35,10,18
243,9967.0,1,10/15/2015,14:24,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 243.szv,26.4,60,7.669,17.515,0.291,0.292,0.134,0.051,8.4,13.4,2.1,5.5,4.8,20.1,10.2,19.6,2,3,0.457,0.605,11.64,35.44,0.016,0.906,33.43,28,45,14,22
244,9968.0,1,10/15/2015,14:26,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 244.szv,26.1,60,7.793,18.108,0.299,0.302,0.065,0.047,11.4,20.6,6.1,12.4,3.8,14.3,4.1,12.0,1,1,0.399,0.546,10.14,32.37,0.029,0.16,30.06,38,69,19,34
245,9969.0,1,10/15/2015,14:27,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 245.szv,26.0,60,6.972,16.1,0.268,0.268,0.09,0.059,16.6,26.8,2.8,7.4,3.6,10.5,1.6,12.8,3,4,0.316,0.394,7.74,22.64,0.375,0.46,20.47,55,89,28,45
246,9970.0,1,10/15/2015,14:29,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 246.szv,26.0,60,7.295,15.766,0.281,0.263,0.027,0.031,11.8,25.8,4.8,14.8,5.0,11.5,3.0,5.4,3,6,0.402,0.44,9.89,25.35,,0.879,23.25,39,86,20,43
247,9971.0,1,10/15/2015,14:30,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 247.szv,25.9,60,7.549,17.014,0.291,0.284,0.126,0.085,14.0,30.0,6.9,12.5,2.2,6.4,0.7,8.0,4,6,0.305,0.378,7.27,21.49,0.583,0.716,19.01,47,100,23,50
248,9972.0,1,10/15/2015,14:32,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 248.szv,26.1,60,7.652,17.481,0.293,0.291,0.019,0.075,14.8,31.6,7.9,13.0,0.0,4.8,1.8,8.6,3,5,0.344,0.385,8.41,22.26,,0.758,19.95,49,105,25,53
249,9973.0,1,10/15/2015,14:33,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 249.szv,26.5,60,8.47,18.42,0.32,0.307,0.039,0.058,8.3,19.1,8.6,14.0,6.4,16.7,3.0,9.4,1,2,0.507,0.543,13.31,32.15,0.063,0.189,30.24,28,64,14,32
250,9974.0,1,10/15/2015,14:34,pm,"mzempare, ncarey",CAS_October12-2015_Young videos\Test 250.szv,26.4,60,8.296,19.875,0.314,0.331,0.094,0.078,12.0,22.2,2.8,9.9,4.7,12.4,5.2,13.7,3,3,0.386,0.532,9.52,31.0,0.469,0.693,28.76,40,74,20,37
