Test,Animal,Trial,Date,Time,Time of day,User,Recorded video file,V D5: TTR to End of test; Duration (s),Base; Duration (s),V D5: TTR to End of test; Distance (m),Base; Distance (m),V D5: TTR to End of test; Mean speed (m/s),Base; Mean speed (m/s),V D5: TTR to End of test; Path efficiency,Base; Path efficiency,V D5: TTR to End of test; Platform : mean distance from (m),Base; Platform : mean distance from (m),V D5: TTR to End of test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),V D5: TTR to End of test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s),V D5: TTR to End of test; Avg speed: V D5 (m/s),Base; Avg speed: V D5 (m/s)
281,10392,4,3/31/2017,10:34,am,"mzempare, ncarey",CAS_11_Middle_03.27.17 videos\Test 281.szv,22.3,25.2,5.728,6.542,0.257,0.26,0.076,0.142,0.658,0.65,14.28,15.99,0.054,0.124,14.71,0.2567,0.274
282,10393,4,3/31/2017,10:34,am,"mzempare, ncarey",CAS_11_Middle_03.27.17 videos\Test 282.szv,0.6,4.3,0.116,1.362,0.193,0.317,1.032,0.835,0.035,0.569,0.01,2.32,0.828,0.793,0.57,0.2517,0.2915
283,10394,4,3/31/2017,10:35,am,"mzempare, ncarey",CAS_11_Middle_03.27.17 videos\Test 283.szv,4.6,8.4,1.272,2.403,0.277,0.286,0.78,0.426,0.494,0.608,2.25,5.08,0.745,0.411,3.37,0.263,0.2598
284,10395,4,3/31/2017,10:35,am,"mzempare, ncarey",CAS_11_Middle_03.27.17 videos\Test 284.szv,8.9,11.2,2.369,3.013,0.266,0.269,0.297,0.196,0.439,0.488,3.91,5.46,,,4.8,0.2105,0.2497
285,10396,4,3/31/2017,10:36,am,"mzempare, ncarey",CAS_11_Middle_03.27.17 videos\Test 285.szv,12.1,16.4,3.402,4.847,0.282,0.296,0.065,0.273,0.595,0.614,7.01,9.87,0.029,0.252,7.35,0.2793,0.2817
286,10397,4,3/31/2017,10:36,am,"mzempare, ncarey",CAS_11_Middle_03.27.17 videos\Test 286.szv,14.9,18.7,4.263,5.438,0.286,0.291,0.261,0.176,0.523,0.635,7.7,11.76,0.244,0.174,10.2,0.2518,0.2498
287,10398,4,3/31/2017,10:37,am,"mzempare, ncarey",CAS_11_Middle_03.27.17 videos\Test 287.szv,0.9,2.4,0.12,0.521,0.133,0.217,0.529,0.844,0.064,0.184,0.05,0.43,0.585,0.773,0.06,0.2423,0.2623
288,10399,4,3/31/2017,10:37,am,"mzempare, ncarey",CAS_11_Middle_03.27.17 videos\Test 288.szv,16.7,21.2,4.045,5.476,0.242,0.258,0.238,0.225,0.668,0.715,9.9,13.81,0.238,0.222,11.2,0.225,0.265
289,10400,4,3/31/2017,10:38,am,"mzempare, ncarey",CAS_11_Middle_03.27.17 videos\Test 289.szv,13.1,15.7,3.417,3.885,0.261,0.247,0.238,0.203,0.437,0.474,5.51,7.22,0.215,0.18,6.22,0.2372,0.2657
290,10401,4,3/31/2017,10:39,am,"mzempare, ncarey",CAS_11_Middle_03.27.17 videos\Test 290.szv,10.3,11.8,2.719,3.215,0.264,0.272,0.064,0.142,0.429,0.413,4.27,4.73,0.044,0.129,4.4,0.2675,0.2755
