AnyMaze_#,Barnes_ID,Tail_Marking,Experiment,Cohort,Strain,Genotype,Sex,Date_Birth,Date_Received,Date_Start_SpatialWatermaze,Age_mo,Weight_g,Housing,Subsequent_Measures,AnyMaze_File,Notes
1,10494,1 Black,Cognitive Aptitude Study,14,F344,WT,M,3/1/2017,8/30/2017,9/11/2017,6.5,340,single,y,CAS14_WaterMaze_Black&Red_09 11 17.szd,N/A
2,10495,2 Black,Cognitive Aptitude Study,14,F344,WT,M,3/1/2017,8/30/2017,9/11/2017,6.5,367,single,y,CAS14_WaterMaze_Black&Red_09 11 17.szd,N/A
3,10496,3 Black,Cognitive Aptitude Study,14,F344,WT,M,3/1/2017,8/30/2017,9/11/2017,6.5,363,single,y,CAS14_WaterMaze_Black&Red_09 11 17.szd,N/A
4,10497,4 Black,Cognitive Aptitude Study,14,F344,WT,M,3/1/2017,8/30/2017,9/11/2017,6.5,349,single,y,CAS14_WaterMaze_Black&Red_09 11 17.szd,N/A
5,10498,5 Black,Cognitive Aptitude Study,14,F344,WT,M,3/1/2017,8/30/2017,9/11/2017,6.5,336,single,y,CAS14_WaterMaze_Black&Red_09 11 17.szd,N/A
6,10499,6 Black,Cognitive Aptitude Study,14,F344,WT,M,3/1/2017,8/30/2017,9/11/2017,6.5,323,single,y,CAS14_WaterMaze_Black&Red_09 11 17.szd,N/A
7,10500,7 Black,Cognitive Aptitude Study,14,F344,WT,M,3/1/2017,8/30/2017,9/11/2017,6.5,341,single,y,CAS14_WaterMaze_Black&Red_09 11 17.szd,N/A
8,10501,8 Black,Cognitive Aptitude Study,14,F344,WT,M,3/1/2017,8/30/2017,9/11/2017,6.5,336,single,y,CAS14_WaterMaze_Black&Red_09 11 17.szd,N/A
9,10502,1 Red,Cognitive Aptitude Study,14,F344,WT,M,10/1/2015,8/30/2017,9/11/2017,23.7,387,single,y,CAS14_WaterMaze_Black&Red_09 11 17.szd,N/A
10,10503,2 Red,Cognitive Aptitude Study,14,F344,WT,M,10/1/2015,8/30/2017,9/11/2017,23.7,393,single,y,CAS14_WaterMaze_Black&Red_09 11 17.szd,N/A
