Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Platform : mean distance from (m),Platform : cumulative distance (m·s),Platform : path efficiency to entry,Platform : CIPL (m·s)
1,1742,Cue,1,8/29/2017,9:56:,am,starneshm,Cohort 70 Cue videos\Test 1.szv,30.0,5.616,0.187,0.226,0.698,20.93,,
2,1742,Cue,2,8/29/2017,9:58:,am,starneshm,Cohort 70 Cue videos\Test 2.szv,25.7,4.500,0.175,0.125,0.616,15.62,0.108,14.91
3,1742,Cue,3,8/29/2017,9:59:,am,starneshm,Cohort 70 Cue videos\Test 3.szv,21.4,3.581,0.168,0.181,0.735,15.71,,
4,1742,Cue,4,8/29/2017,10:00,am,starneshm,Cohort 70 Cue videos\Test 4.szv,6.1,1.002,0.164,0.997,0.635,3.87,,
5,1742,Cue,5,8/29/2017,10:01,am,starneshm,Cohort 70 Cue videos\Test 5.szv,10.1,1.086,0.107,0.940,0.488,4.93,,
6,1742,Cue,6,8/29/2017,10:02,am,starneshm,Cohort 70 Cue videos\Test 6.szv,7.9,1.031,0.130,0.896,0.640,5.07,,
7,1743,Cue,1,8/29/2017,10:05,am,starneshm,Cohort 70 Cue videos\Test 7.szv,12.0,1.925,0.160,0.533,0.523,6.29,,
8,1743,Cue,2,8/29/2017,10:07,am,starneshm,Cohort 70 Cue videos\Test 8.szv,4.1,0.518,0.127,0.988,0.322,1.31,,
9,1743,Cue,3,8/29/2017,10:08,am,starneshm,Cohort 70 Cue videos\Test 9.szv,29.8,5.326,0.179,0.094,0.593,17.66,,
10,1743,Cue,4,8/29/2017,10:09,am,starneshm,Cohort 70 Cue videos\Test 10.szv,8.5,1.141,0.135,0.954,0.476,3.94,0.959,0.60
11,1743,Cue,5,8/29/2017,10:10,am,starneshm,Cohort 70 Cue videos\Test 11.szv,7.0,1.134,0.163,0.949,0.641,4.47,,
12,1743,Cue,6,8/29/2017,10:12,am,starneshm,Cohort 70 Cue videos\Test 12.szv,30.0,4.248,0.142,0.121,0.557,16.70,,
13,1746,Cue,1,8/29/2017,10:15,am,starneshm,Cohort 70 Cue videos\Test 13.szv,6.2,1.270,0.204,0.803,0.690,4.29,,
14,1746,Cue,2,8/29/2017,10:15,am,starneshm,Cohort 70 Cue videos\Test 14.szv,11.9,2.669,0.224,0.317,0.667,7.96,,
15,1746,Cue,3,8/29/2017,10:16,am,starneshm,Cohort 70 Cue videos\Test 15.szv,3.1,0.310,0.100,0.999,0.309,0.95,,
16,1746,Cue,4,8/29/2017,10:17,am,starneshm,Cohort 70 Cue videos\Test 16.szv,9.8,1.774,0.181,0.733,0.710,6.97,,
17,1746,Cue,5,8/29/2017,10:18,am,starneshm,Cohort 70 Cue videos\Test 17.szv,8.3,1.468,0.177,0.823,0.675,5.61,,
18,1746,Cue,6,8/29/2017,10:19,am,starneshm,Cohort 70 Cue videos\Test 18.szv,14.7,2.955,0.201,0.450,0.846,12.42,,
19,1748,Cue,1,8/29/2017,10:24,am,starneshm,Cohort 70 Cue videos\Test 19.szv,9.8,1.639,0.166,0.769,0.534,5.26,,
20,1748,Cue,2,8/29/2017,10:25,am,starneshm,Cohort 70 Cue videos\Test 20.szv,14.7,2.711,0.184,0.259,0.521,7.67,,
21,1748,Cue,3,8/29/2017,10:25,am,starneshm,Cohort 70 Cue videos\Test 21.szv,4.2,0.467,0.112,0.993,0.343,1.43,,
22,1748,Cue,4,8/29/2017,10:26,am,starneshm,Cohort 70 Cue videos\Test 22.szv,15.4,2.572,0.167,0.517,0.788,12.13,,
23,1748,Cue,5,8/29/2017,10:28,am,starneshm,Cohort 70 Cue videos\Test 23.szv,17.8,4.005,0.225,0.313,0.746,13.28,,
24,1748,Cue,6,8/29/2017,10:29,am,starneshm,Cohort 70 Cue videos\Test 24.szv,13.3,2.045,0.153,0.489,0.814,10.84,,
25,1749,Cue,1,8/29/2017,10:32,am,starneshm,Cohort 70 Cue videos\Test 25.szv,5.9,1.334,0.228,0.884,0.656,3.85,,
26,1749,Cue,2,8/29/2017,10:33,am,starneshm,Cohort 70 Cue videos\Test 26.szv,14.0,3.674,0.262,0.155,0.759,10.36,0.144,9.83
27,1749,Cue,3,8/29/2017,10:33,am,starneshm,Cohort 70 Cue videos\Test 27.szv,7.7,1.212,0.156,0.472,0.236,1.83,,
28,1749,Cue,4,8/29/2017,10:34,am,starneshm,Cohort 70 Cue videos\Test 28.szv,22.4,4.930,0.220,0.128,0.695,15.57,,
29,1749,Cue,5,8/29/2017,10:35,am,starneshm,Cohort 70 Cue videos\Test 29.szv,16.2,3.599,0.222,0.325,0.617,10.01,,
30,1749,Cue,6,8/29/2017,10:36,am,starneshm,Cohort 70 Cue videos\Test 30.szv,13.4,3.018,0.226,0.433,0.710,9.48,,
31,1751,Cue,1,8/29/2017,10:39,am,starneshm,Cohort 70 Cue videos\Test 31.szv,12.3,1.939,0.158,0.540,0.657,7.83,0.538,4.41
32,1751,Cue,2,8/29/2017,10:40,am,starneshm,Cohort 70 Cue videos\Test 32.szv,4.6,0.540,0.118,0.955,0.301,1.35,0.914,0.22
33,1751,Cue,3,8/29/2017,10:40,am,starneshm,Cohort 70 Cue videos\Test 33.szv,5.4,0.585,0.108,0.727,0.239,1.30,,
34,1751,Cue,4,8/29/2017,10:41,am,starneshm,Cohort 70 Cue videos\Test 34.szv,11.7,1.869,0.160,0.553,0.646,7.54,,
35,1751,Cue,5,8/29/2017,10:42,am,starneshm,Cohort 70 Cue videos\Test 35.szv,19.5,0.308,0.016,0.877,1.044,20.32,,
36,1751,Cue,6,8/29/2017,10:43,am,starneshm,Cohort 70 Cue videos\Test 36.szv,14.9,2.365,0.159,0.426,0.768,11.42,,
37,1752,Cue,1,8/29/2017,10:46,am,starneshm,Cohort 70 Cue videos\Test 37.szv,10.5,2.130,0.203,0.517,0.606,6.34,,
38,1752,Cue,2,8/29/2017,10:47,am,starneshm,Cohort 70 Cue videos\Test 38.szv,30.0,6.674,0.223,0.040,0.795,23.83,,
39,1752,Cue,3,8/29/2017,10:49,am,starneshm,Cohort 70 Cue videos\Test 39.szv,30.0,5.868,0.196,0.255,0.674,20.22,,
40,1752,Cue,4,8/29/2017,10:50,am,starneshm,Cohort 70 Cue videos\Test 40.szv,30.0,6.158,0.205,0.233,0.771,23.12,,
41,1752,Cue,5,8/29/2017,10:52,am,starneshm,Cohort 70 Cue videos\Test 41.szv,30.0,4.362,0.145,0.024,0.813,24.39,,
42,1752,Cue,6,8/29/2017,10:53,am,starneshm,Cohort 70 Cue videos\Test 42.szv,30.0,5.058,0.169,0.005,0.949,28.45,,
43,1753,Cue,1,8/29/2017,10:57,am,starneshm,Cohort 70 Cue videos\Test 43.szv,11.7,2.450,0.210,0.542,0.706,8.24,,
44,1753,Cue,2,8/29/2017,10:58,am,starneshm,Cohort 70 Cue videos\Test 44.szv,11.9,2.885,0.242,0.239,0.545,6.49,,
45,1753,Cue,3,8/29/2017,10:58,am,starneshm,Cohort 70 Cue videos\Test 45.szv,21.7,3.912,0.180,0.114,0.833,18.07,,
