Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Platform : mean distance from (m),Platform : cumulative distance (m·s),Platform : path efficiency to entry,Platform : CIPL (m·s)
1,2292,Cue,1,3/12/2019,11:14,am,Ali,Cue 90 videos\Test 1.szv,16.7,2.345,0.140,0.432,0.519,8.54,0.392,5.81
2,2292,Cue,2,3/12/2019,11:16,am,Ali,Cue 90 videos\Test 2.szv,4.7,0.221,0.047,0.766,0.031,0.13,0.545,0.03
3,2292,Cue,3,3/12/2019,11:17,am,Ali,Cue 90 videos\Test 3.szv,3.0,0.296,0.098,0.822,0.192,0.58,,
4,2292,Cue,4,3/12/2019,11:18,am,Ali,Cue 90 videos\Test 4.szv,7.7,1.563,0.202,0.804,0.508,3.93,,
5,2292,Cue,5,3/12/2019,11:19,am,Ali,Cue 90 videos\Test 5.szv,22.6,4.793,0.212,0.266,0.748,16.93,,
6,2292,Cue,6,3/12/2019,11:20,am,Ali,Cue 90 videos\Test 6.szv,5.7,0.957,0.169,0.842,0.205,1.17,,
7,2296,Cue,1,3/12/2019,11:22,am,Ali,Cue 90 videos\Test 7.szv,5.4,0.381,0.071,0.886,0.075,0.40,,
8,2296,Cue,2,3/12/2019,11:23,am,Ali,Cue 90 videos\Test 8.szv,30.0,4.819,0.161,0.123,0.668,20.05,,
9,2296,Cue,3,3/12/2019,11:24,am,Ali,Cue 90 videos\Test 9.szv,30.0,5.835,0.194,0.221,0.659,19.78,,
10,2296,Cue,4,3/12/2019,11:26,am,Ali,Cue 90 videos\Test 10.szv,30.0,5.419,0.181,0.147,0.755,22.64,,
11,2296,Cue,5,3/12/2019,11:28,am,Ali,Cue 90 videos\Test 11.szv,30.0,5.854,0.195,0.202,0.669,20.07,,
12,2296,Cue,6,3/12/2019,11:30,am,Ali,Cue 90 videos\Test 12.szv,30.0,5.531,0.184,0.195,0.675,20.26,,
13,2299,Cue,1,3/12/2019,11:32,am,Ali,Cue 90 videos\Test 13.szv,4.7,0.739,0.158,0.735,0.319,1.38,0.733,0.50
14,2299,Cue,2,3/12/2019,11:33,am,Ali,Cue 90 videos\Test 14.szv,4.0,0.305,0.076,0.978,0.087,0.35,,
15,2299,Cue,3,3/12/2019,11:33,am,Ali,Cue 90 videos\Test 15.szv,1.8,0.151,0.082,0.935,0.126,0.23,,
16,2299,Cue,4,3/12/2019,11:34,am,Ali,Cue 90 videos\Test 16.szv,4.6,1.041,0.226,0.746,0.461,2.12,,
17,2299,Cue,5,3/12/2019,11:35,am,Ali,Cue 90 videos\Test 17.szv,3.3,0.889,0.274,0.938,0.488,1.59,,
18,2299,Cue,6,3/12/2019,11:36,am,Ali,Cue 90 videos\Test 18.szv,3.1,0.761,0.247,0.893,0.337,0.92,0.902,0.15
19,2300,Cue,1,3/12/2019,11:38,am,Ali,Cue 90 videos\Test 19.szv,26.0,3.944,0.152,0.178,0.479,12.44,,
