Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Platform : mean distance from (m),Platform : cumulative distance (m·s),Platform : path efficiency to entry,Platform : CIPL (m·s)
1,Y875,Cue,1,7/13/2022,11:02,am,Liam,Cue - Cohort 130 videos\Test 1.szv,11.9,1.246,0.104,0.891,0.542,6.47,,
2,Y875,Cue,2,7/13/2022,11:03,am,Liam,Cue - Cohort 130 videos\Test 2.szv,5.3,0.530,0.100,0.869,0.265,1.41,,
3,Y875,Cue,3,7/13/2022,11:03,am,Liam,Cue - Cohort 130 videos\Test 3.szv,23.1,3.913,0.169,0.148,0.617,14.02,0.126,13.29
4,Y875,Cue,4,7/13/2022,11:05,am,Liam,Cue - Cohort 130 videos\Test 4.szv,10.2,1.827,0.180,0.608,0.640,6.30,0.591,3.10
5,Y875,Cue,5,7/13/2022,11:06,am,Liam,Cue - Cohort 130 videos\Test 5.szv,5.5,1.101,0.201,0.973,0.560,2.89,0.964,0.39
6,Y875,Cue,6,7/13/2022,11:07,am,Liam,Cue - Cohort 130 videos\Test 6.szv,7.4,1.117,0.151,0.942,0.695,4.91,0.946,1.50
7,Y876,Cue,1,7/13/2022,11:10,am,Liam,Cue - Cohort 130 videos\Test 7.szv,6.6,1.029,0.156,0.869,0.625,4.11,,
8,Y876,Cue,2,7/13/2022,11:11,am,Liam,Cue - Cohort 130 videos\Test 8.szv,4.6,0.502,0.110,0.950,0.204,0.86,0.951,-0.11
9,Y876,Cue,3,7/13/2022,11:11,am,Liam,Cue - Cohort 130 videos\Test 9.szv,4.9,0.836,0.170,0.767,0.396,1.81,0.739,0.80
10,Y876,Cue,4,7/13/2022,11:14,am,Liam,Cue - Cohort 130 videos\Test 10.szv,5.7,1.270,0.224,0.938,0.663,3.54,0.928,0.74
11,Y876,Cue,5,7/13/2022,11:15,am,Liam,Cue - Cohort 130 videos\Test 11.szv,10.5,2.249,0.215,0.474,0.692,7.00,0.459,4.53
12,Y876,Cue,6,7/13/2022,11:17,am,Liam,Cue - Cohort 130 videos\Test 12.szv,5.3,1.137,0.213,0.971,0.665,3.33,0.969,0.66
13,Y877,Cue,1,7/13/2022,11:19,am,Liam,Cue - Cohort 130 videos\Test 13.szv,11.0,0.982,0.089,0.954,0.447,4.91,,
14,Y877,Cue,2,7/13/2022,11:21,am,Liam,Cue - Cohort 130 videos\Test 14.szv,5.3,0.607,0.115,0.810,0.293,1.44,0.806,0.42
15,Y877,Cue,3,7/13/2022,11:21,am,Liam,Cue - Cohort 130 videos\Test 15.szv,3.5,0.517,0.147,0.977,0.287,0.92,0.975,0.10
16,Y877,Cue,4,7/13/2022,11:22,am,Liam,Cue - Cohort 130 videos\Test 16.szv,9.1,1.365,0.150,0.859,0.621,5.46,0.845,1.27
17,Y877,Cue,5,7/13/2022,11:24,am,Liam,Cue - Cohort 130 videos\Test 17.szv,7.7,1.235,0.161,0.883,0.656,4.82,0.877,1.37
18,Y877,Cue,6,7/13/2022,11:25,am,Liam,Cue - Cohort 130 videos\Test 18.szv,6.1,1.174,0.194,0.910,0.646,3.70,0.898,0.92
19,3304,Cue,1,7/13/2022,11:29,am,Liam,Cue - Cohort 130 videos\Test 19.szv,30.0,7.203,0.240,0.130,0.706,21.17,,
20,3304,Cue,2,7/13/2022,11:31,am,Liam,Cue - Cohort 130 videos\Test 20.szv,26.3,7.241,0.275,0.085,0.704,18.28,0.076,17.71
21,3304,Cue,3,7/13/2022,11:32,am,Liam,Cue - Cohort 130 videos\Test 21.szv,17.5,4.793,0.274,0.123,0.596,10.23,0.109,9.71
22,3304,Cue,4,7/13/2022,11:33,am,Liam,Cue - Cohort 130 videos\Test 22.szv,21.1,4.695,0.223,0.243,0.646,13.38,0.228,10.83
23,3304,Cue,5,7/13/2022,11:35,am,Liam,Cue - Cohort 130 videos\Test 23.szv,18.3,4.279,0.234,0.253,0.504,9.06,0.242,6.78
