Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Platform : mean distance from (m),Platform : cumulative distance (m·s),Platform : path efficiency to entry,Platform : CIPL (m·s)
1,Y836,Cue,1,1/18/2022,11:00,am,Liam,Cue Cohort 126 videos\Test 1.szv,5.5,1.019,0.186,0.955,0.450,2.32,0.944,-0.03
2,Y836,Cue,2,1/18/2022,11:01,am,Liam,Cue Cohort 126 videos\Test 2.szv,5.6,1.206,0.214,0.433,0.364,1.93,0.388,1.42
3,Y836,Cue,3,1/18/2022,11:02,am,Liam,Cue Cohort 126 videos\Test 3.szv,2.5,0.506,0.202,0.917,0.261,0.57,0.947,0.06
4,Y836,Cue,4,1/18/2022,11:03,am,Liam,Cue Cohort 126 videos\Test 4.szv,5.2,1.388,0.266,0.805,0.617,3.02,0.775,1.00
5,Y836,Cue,5,1/18/2022,11:04,am,Liam,Cue Cohort 126 videos\Test 5.szv,8.7,2.106,0.241,0.485,0.708,5.96,0.464,4.03
6,Y836,Cue,6,1/18/2022,11:05,am,Liam,Cue Cohort 126 videos\Test 6.szv,8.7,2.038,0.235,0.553,0.823,6.84,0.542,4.35
7,Y837,Cue,1,1/18/2022,11:08,am,Liam,Cue Cohort 126 videos\Test 7.szv,5.6,1.088,0.195,0.962,0.528,2.75,0.962,0.22
8,Y837,Cue,2,1/18/2022,11:09,am,Liam,Cue Cohort 126 videos\Test 8.szv,11.8,1.835,0.156,0.297,0.523,5.98,0.271,5.18
9,Y837,Cue,3,1/18/2022,11:10,am,Liam,Cue Cohort 126 videos\Test 9.szv,6.6,0.577,0.088,0.888,0.275,1.71,0.887,0.29
10,Y837,Cue,4,1/18/2022,11:11,am,Liam,Cue Cohort 126 videos\Test 10.szv,7.0,1.365,0.195,0.838,0.674,4.49,0.829,1.42
11,Y837,Cue,5,1/18/2022,11:12,am,Liam,Cue Cohort 126 videos\Test 11.szv,11.7,2.294,0.195,0.483,0.772,8.81,0.452,6.15
12,Y837,Cue,6,1/18/2022,11:13,am,Liam,Cue Cohort 126 videos\Test 12.szv,9.6,2.154,0.224,0.497,0.773,7.16,0.479,4.82
13,Y838,Cue,1,1/18/2022,11:16,am,Liam,Cue Cohort 126 videos\Test 13.szv,6.6,1.164,0.175,0.844,0.440,2.78,0.809,0.31
14,Y838,Cue,2,1/18/2022,11:17,am,Liam,Cue Cohort 126 videos\Test 14.szv,2.5,0.385,0.155,0.969,0.214,0.46,0.965,0.03
15,Y838,Cue,3,1/18/2022,11:17,am,Liam,Cue Cohort 126 videos\Test 15.szv,5.6,1.191,0.212,0.486,0.363,1.90,0.431,1.29
16,Y838,Cue,4,1/18/2022,11:18,am,Liam,Cue Cohort 126 videos\Test 16.szv,4.3,1.118,0.262,0.932,0.581,2.28,0.912,0.35
17,Y838,Cue,5,1/18/2022,11:20,am,Liam,Cue Cohort 126 videos\Test 17.szv,3.7,1.048,0.280,0.932,0.517,1.76,0.920,0.26
18,Y838,Cue,6,1/18/2022,11:21,am,Liam,Cue Cohort 126 videos\Test 18.szv,3.5,0.939,0.272,0.998,0.496,1.55,0.999,0.04
19,3235,Cue,1,1/18/2022,11:24,am,Liam,Cue Cohort 126 videos\Test 19.szv,18.3,1.196,0.065,0.790,0.456,8.33,,
20,3235,Cue,2,1/18/2022,11:24,am,Liam,Cue Cohort 126 videos\Test 20.szv,10.1,0.942,0.094,0.573,0.178,1.79,,
21,3235,Cue,3,1/18/2022,11:25,am,Liam,Cue Cohort 126 videos\Test 21.szv,4.7,0.570,0.122,0.769,0.277,1.19,0.715,0.48
22,3235,Cue,4,1/18/2022,11:26,am,Liam,Cue Cohort 126 videos\Test 22.szv,16.9,1.794,0.106,0.604,0.590,9.79,0.569,5.55
23,3235,Cue,5,1/18/2022,11:29,am,Liam,Cue Cohort 126 videos\Test 23.szv,5.0,0.761,0.152,0.983,0.359,1.79,,
24,3235,Cue,6,1/18/2022,11:31,am,Liam,Cue Cohort 126 videos\Test 24.szv,5.9,0.918,0.155,0.972,0.374,2.03,0.877,-0.09
25,3237,Cue,1,1/18/2022,11:34,am,Liam,Cue Cohort 126 videos\Test 25.szv,5.4,1.018,0.189,0.937,0.470,2.37,0.941,-0.01
26,3237,Cue,2,1/18/2022,11:35,am,Liam,Cue Cohort 126 videos\Test 26.szv,2.9,0.402,0.140,0.965,0.245,0.62,0.941,0.07
27,3237,Cue,3,1/18/2022,11:36,am,Liam,Cue Cohort 126 videos\Test 27.szv,4.5,1.057,0.233,0.546,0.374,1.57,0.499,0.99
28,3237,Cue,4,1/18/2022,11:36,am,Liam,Cue Cohort 126 videos\Test 28.szv,4.4,1.063,0.240,0.933,0.493,2.02,0.921,0.18
29,3237,Cue,5,1/18/2022,11:37,am,Liam,Cue Cohort 126 videos\Test 29.szv,3.6,0.784,0.215,0.990,0.424,1.40,0.987,0.09
30,3237,Cue,6,1/18/2022,11:38,am,Liam,Cue Cohort 126 videos\Test 30.szv,3.7,0.953,0.259,0.976,0.510,1.70,0.977,0.12
31,3238,Cue,1,1/18/2022,11:45,am,Liam,Cue Cohort 126 videos\Test 31.szv,12.3,1.415,0.115,0.654,0.502,6.17,,
32,3238,Cue,2,1/18/2022,11:47,am,Liam,Cue Cohort 126 videos\Test 32.szv,6.1,0.889,0.145,0.624,0.364,2.11,0.596,1.23
33,3238,Cue,3,1/18/2022,11:47,am,Liam,Cue Cohort 126 videos\Test 33.szv,3.2,0.526,0.162,0.793,0.184,0.53,0.741,0.15
34,3238,Cue,4,1/18/2022,11:48,am,Liam,Cue Cohort 126 videos\Test 34.szv,5.2,1.049,0.200,0.958,0.491,2.40,0.955,-0.01
35,3238,Cue,5,1/18/2022,11:49,am,Liam,Cue Cohort 126 videos\Test 35.szv,4.5,1.012,0.226,0.986,0.526,2.17,0.976,0.24
