Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Platform : mean distance from (m),Platform : cumulative distance (m·s),Platform : path efficiency to entry,Platform : CIPL (m·s)
41,3279,Cue,5,5/10/2022,10:27,am,Raul,Cue Cohort 128 videos\Test 16436.szv,4.9,1.097,0.222,0.944,0.552,2.54,0.943,0.30
42,3279,Cue,6,5/10/2022,10:28,am,Raul,Cue Cohort 128 videos\Test 16437.szv,4.3,0.957,0.224,0.984,0.539,2.11,0.981,0.19
43,3280,Cue,1,5/10/2022,10:29,am,Raul,Cue Cohort 128 videos\Test 16438.szv,13.5,2.886,0.214,0.316,0.488,6.60,,
44,3280,Cue,2,5/10/2022,10:30,am,Raul,Cue Cohort 128 videos\Test 16439.szv,7.7,1.638,0.212,0.281,0.345,2.56,0.265,2.10
45,3280,Cue,3,5/10/2022,10:31,am,Raul,Cue Cohort 128 videos\Test 16440.szv,3.6,0.516,0.144,0.922,0.264,0.95,,
46,3280,Cue,4,5/10/2022,10:32,am,Raul,Cue Cohort 128 videos\Test 16441.szv,12.1,2.970,0.245,0.372,0.651,7.89,,
47,3280,Cue,5,5/10/2022,10:32,am,Raul,Cue Cohort 128 videos\Test 16442.szv,13.4,3.107,0.232,0.386,0.677,9.06,,
48,3280,Cue,6,5/10/2022,10:33,am,Raul,Cue Cohort 128 videos\Test 16443.szv,11.8,2.661,0.226,0.398,0.717,8.44,,
49,Y863,Cue,1,5/10/2022,10:35,am,Raul,Cue Cohort 128 videos\Test 16444.szv,6.8,1.053,0.154,0.909,0.550,3.75,,
50,Y863,Cue,2,5/10/2022,10:36,am,Raul,Cue Cohort 128 videos\Test 16445.szv,14.2,2.397,0.168,0.284,0.547,7.79,,
51,Y863,Cue,3,5/10/2022,10:37,am,Raul,Cue Cohort 128 videos\Test 16446.szv,16.9,3.865,0.229,0.123,0.509,8.60,,
52,Y863,Cue,4,5/10/2022,10:38,am,Raul,Cue Cohort 128 videos\Test 16447.szv,7.7,1.707,0.223,0.645,0.711,5.45,,
53,Y863,Cue,5,5/10/2022,10:39,am,Raul,Cue Cohort 128 videos\Test 16448.szv,7.7,1.756,0.228,0.617,0.599,4.40,0.593,2.05
54,Y863,Cue,6,5/10/2022,10:40,am,Raul,Cue Cohort 128 videos\Test 16449.szv,7.0,1.657,0.237,0.699,0.657,4.36,0.683,1.81
55,Y864,Cue,1,5/10/2022,10:41,am,Raul,Cue Cohort 128 videos\Test 16450.szv,6.5,1.015,0.157,0.945,0.405,2.63,,
56,Y864,Cue,2,5/10/2022,10:42,am,Raul,Cue Cohort 128 videos\Test 16451.szv,4.6,0.625,0.137,0.776,0.290,1.33,,
57,Y864,Cue,3,5/10/2022,10:43,am,Raul,Cue Cohort 128 videos\Test 16452.szv,3.4,0.386,0.113,0.985,0.286,0.98,,
58,Y864,Cue,4,5/10/2022,10:43,am,Raul,Cue Cohort 128 videos\Test 16453.szv,6.4,1.120,0.176,0.996,0.568,3.45,0.975,0.27
59,Y864,Cue,5,5/10/2022,10:46,am,Raul,Cue Cohort 128 videos\Test 16454.szv,5.9,1.113,0.190,0.946,0.458,2.55,0.952,0.12
60,Y864,Cue,6,5/10/2022,10:46,am,Raul,Cue Cohort 128 videos\Test 16455.szv,6.0,1.136,0.190,0.955,0.640,3.61,0.953,0.68
61,Y865,Cue,1,5/10/2022,10:49,am,Raul,Cue Cohort 128 videos\Test 16456.szv,17.0,2.047,0.121,0.422,0.606,10.28,,
62,Y865,Cue,2,5/10/2022,10:50,am,Raul,Cue Cohort 128 videos\Test 16457.szv,4.1,0.618,0.151,0.861,0.278,1.03,0.787,0.31
63,Y865,Cue,3,5/10/2022,10:50,am,Raul,Cue Cohort 128 videos\Test 16458.szv,5.8,0.888,0.153,0.643,0.321,1.79,0.620,0.87
64,Y865,Cue,4,5/10/2022,10:51,am,Raul,Cue Cohort 128 videos\Test 16459.szv,8.1,1.635,0.201,0.709,0.666,5.18,0.698,2.08
65,Y865,Cue,5,5/10/2022,10:51,am,Raul,Cue Cohort 128 videos\Test 16460.szv,6.6,1.297,0.197,0.839,0.656,4.10,0.833,1.27
66,Y865,Cue,6,5/10/2022,10:52,am,Raul,Cue Cohort 128 videos\Test 16461.szv,6.5,1.166,0.178,0.945,0.616,3.82,0.941,0.71
67,3282,Cue,1,5/10/2022,10:54,am,Raul,Cue Cohort 128 videos\Test 16462.szv,4.6,1.091,0.237,0.975,0.586,2.70,,
68,3282,Cue,2,5/10/2022,10:54,am,Raul,Cue Cohort 128 videos\Test 16463.szv,3.2,0.495,0.154,0.991,0.311,0.90,0.986,0.23
69,3282,Cue,3,5/10/2022,10:55,am,Raul,Cue Cohort 128 videos\Test 16464.szv,3.4,0.669,0.194,0.841,0.297,0.92,0.832,0.25
70,3282,Cue,4,5/10/2022,10:55,am,Raul,Cue Cohort 128 videos\Test 16465.szv,4.6,1.087,0.235,0.996,0.618,2.65,0.994,0.33
71,3282,Cue,5,5/10/2022,10:56,am,Raul,Cue Cohort 128 videos\Test 16466.szv,4.5,1.050,0.235,0.940,0.551,2.27,0.946,0.27
72,3282,Cue,6,5/10/2022,10:57,am,Raul,Cue Cohort 128 videos\Test 16467.szv,4.9,1.060,0.215,0.982,0.605,2.77,0.978,0.38
73,3284,Cue,1,5/10/2022,10:58,am,Raul,Cue Cohort 128 videos\Test 16468.szv,4.2,0.996,0.236,0.918,0.525,2.04,0.919,0.28
74,3284,Cue,2,5/10/2022,10:59,am,Raul,Cue Cohort 128 videos\Test 16469.szv,5.8,1.216,0.211,0.478,0.365,1.98,0.416,1.38
75,3284,Cue,3,5/10/2022,10:59,am,Raul,Cue Cohort 128 videos\Test 16470.szv,3.2,0.575,0.179,0.906,0.303,0.87,0.918,0.17
76,3284,Cue,4,5/10/2022,11:00,am,Raul,Cue Cohort 128 videos\Test 16471.szv,5.9,1.482,0.251,0.719,0.707,4.18,,
77,3284,Cue,5,5/10/2022,11:00,am,Raul,Cue Cohort 128 videos\Test 16472.szv,5.4,1.399,0.258,0.770,0.625,3.18,0.736,1.18
78,3284,Cue,6,5/10/2022,11:01,am,Raul,Cue Cohort 128 videos\Test 16473.szv,7.2,1.620,0.225,0.668,0.779,5.33,0.662,2.78
79,3285,Cue,1,5/10/2022,11:03,am,Raul,Cue Cohort 128 videos\Test 16474.szv,27.2,7.301,0.268,0.146,0.835,22.73,,
80,3285,Cue,2,5/10/2022,11:04,am,Raul,Cue Cohort 128 videos\Test 16475.szv,30.0,7.213,0.240,0.222,0.692,20.76,,
81,3285,Cue,3,5/10/2022,11:05,am,Raul,Cue Cohort 128 videos\Test 16476.szv,29.0,4.804,0.165,0.103,0.725,21.04,,
82,3285,Cue,4,5/10/2022,11:06,am,Raul,Cue Cohort 128 videos\Test 16477.szv,13.5,2.625,0.194,0.488,0.928,12.54,,
83,3285,Cue,5,5/10/2022,11:07,am,Raul,Cue Cohort 128 videos\Test 16478.szv,30.0,4.553,0.152,0.111,0.981,29.42,,
84,3285,Cue,6,5/10/2022,11:08,am,Raul,Cue Cohort 128 videos\Test 16479.szv,13.7,2.562,0.187,0.502,0.894,12.25,,
85,3286,Cue,1,5/10/2022,11:10,am,Raul,Cue Cohort 128 videos\Test 16480.szv,5.0,0.870,0.175,0.987,0.475,2.37,,
86,3286,Cue,2,5/10/2022,11:10,am,Raul,Cue Cohort 128 videos\Test 16481.szv,19.4,2.621,0.135,0.214,0.679,12.92,0.184,12.04
87,3286,Cue,3,5/10/2022,11:11,am,Raul,Cue Cohort 128 videos\Test 16482.szv,3.8,0.441,0.116,0.976,0.248,0.86,0.950,0.09
88,3286,Cue,4,5/10/2022,11:12,am,Raul,Cue Cohort 128 videos\Test 16483.szv,9.3,1.183,0.128,0.911,0.735,6.55,0.904,2.02
89,3286,Cue,5,5/10/2022,11:12,am,Raul,Cue Cohort 128 videos\Test 16484.szv,14.7,3.092,0.210,0.363,0.582,8.58,,
90,3286,Cue,6,5/10/2022,11:13,am,Raul,Cue Cohort 128 videos\Test 16485.szv,12.8,2.368,0.186,0.466,0.937,11.96,,
91,3288,Cue,1,5/10/2022,11:15,am,Raul,Cue Cohort 128 videos\Test 16486.szv,5.8,1.388,0.238,0.804,0.474,2.77,,
92,3288,Cue,2,5/10/2022,11:15,am,Raul,Cue Cohort 128 videos\Test 16487.szv,3.0,0.457,0.151,0.997,0.264,0.71,0.990,0.08
93,3288,Cue,3,5/10/2022,11:16,am,Raul,Cue Cohort 128 videos\Test 16488.szv,4.6,0.830,0.180,0.729,0.402,1.72,0.718,0.80
94,3288,Cue,4,5/10/2022,11:16,am,Raul,Cue Cohort 128 videos\Test 16489.szv,6.3,1.451,0.232,0.803,0.590,3.48,0.761,0.91
95,3288,Cue,5,5/10/2022,11:17,am,Raul,Cue Cohort 128 videos\Test 16490.szv,4.6,1.039,0.226,0.991,0.592,2.52,0.989,0.24
96,3288,Cue,6,5/10/2022,11:17,am,Raul,Cue Cohort 128 videos\Test 16491.szv,5.5,1.085,0.199,0.979,0.600,3.06,0.986,0.41
