Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,AQ TRR to End of Test; Duration (s),Base; Duration (s),AQ TRR to End of Test; Distance (m),Base; Distance (m),AQ TRR to End of Test; Mean speed (m/s),Base; Mean speed (m/s),AQ TRR to End of Test; Path efficiency,Base; Path efficiency,AQ TRR to End of Test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ TRR to End of Test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ TRR to End of Test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s)
1,1742,AQ (Day1),1,8/21/2017,10:35,am,starneshm,Cohort 70 videos\Test 1.szv,82.5,30,12.176,3.595,0.148,0.12,0.114,0.317,0.748,0.829,61.71,24.86,,,
2,1742,AQ (Day1),2,8/21/2017,10:39,am,starneshm,Cohort 70 videos\Test 2.szv,82.4,30,11.702,4.881,0.142,0.163,0.082,0.282,0.713,0.865,58.74,25.94,,,
3,1742,AQ (Day1),3,8/21/2017,10:43,am,starneshm,Cohort 70 videos\Test 3.szv,85.7,30,11.436,4.523,0.133,0.151,0.022,0.026,0.814,0.751,69.76,22.53,,,
4,1743,AQ (Day1),1,8/21/2017,10:49,am,starneshm,Cohort 70 videos\Test 4.szv,83.7,30,16.966,7.291,0.203,0.243,0.072,0.223,0.836,0.754,69.93,22.62,,,
5,1743,AQ (Day1),2,8/21/2017,10:52,am,starneshm,Cohort 70 videos\Test 5.szv,83.4,30,12.711,5.849,0.152,0.195,0.12,0.129,0.771,0.857,64.33,25.71,,,
6,1743,AQ (Day1),3,8/21/2017,10:56,am,starneshm,Cohort 70 videos\Test 6.szv,86.5,30,14.683,5.554,0.17,0.185,0.081,0.136,0.712,0.709,61.58,21.28,,,
7,1746,AQ (Day1),1,8/21/2017,11:02,am,starneshm,Cohort 70 videos\Test 7.szv,83.3,30,16.561,6.656,0.199,0.222,0.082,0.243,0.811,0.723,67.58,21.7,,,
8,1746,AQ (Day1),2,8/21/2017,11:06,am,starneshm,Cohort 70 videos\Test 8.szv,83,30,13.002,4.285,0.157,0.143,0.086,0.156,0.711,0.733,58.98,22,,,
9,1746,AQ (Day1),3,8/21/2017,11:11,am,starneshm,Cohort 70 videos\Test 9.szv,17,20.5,1.912,2.152,0.113,0.105,0.265,0.32,0.265,0.302,4.5,6.19,,,
10,1748,AQ (Day1),1,8/21/2017,11:15,am,starneshm,Cohort 70 videos\Test 10.szv,83.1,30,15.559,6.463,0.187,0.215,0.087,0.239,0.709,0.759,58.94,22.76,,,
11,1748,AQ (Day1),2,8/21/2017,11:19,am,starneshm,Cohort 70 videos\Test 11.szv,82.7,30,15.662,5.437,0.189,0.181,0.05,0.222,0.782,0.848,64.66,25.43,,,
12,1748,AQ (Day1),3,8/21/2017,11:22,am,starneshm,Cohort 70 videos\Test 12.szv,86.4,30,13.464,5.014,0.156,0.167,0.026,0.218,0.622,0.354,53.75,10.62,,,
13,1749,AQ (Day1),1,8/21/2017,11:30,am,starneshm,Cohort 70 videos\Test 13.szv,83.7,30,16.007,5.257,0.191,0.175,0.046,0.231,0.715,0.644,59.82,19.33,,,
14,1749,AQ (Day1),2,8/21/2017,11:33,am,starneshm,Cohort 70 videos\Test 14.szv,83.1,30,12.414,6.191,0.149,0.206,0.1,0.242,0.736,0.623,61.12,18.68,,,
15,1749,AQ (Day1),3,8/21/2017,11:35,am,starneshm,Cohort 70 videos\Test 15.szv,86.4,30,10.927,3.964,0.126,0.132,0.049,0.059,0.587,0.829,50.71,24.86,,,
16,1751,AQ (Day1),1,8/21/2017,11:41,am,starneshm,Cohort 70 videos\Test 16.szv,85.4,30,20.11,8.804,0.236,0.293,0.07,0.133,0.8,0.786,68.27,23.59,,,
