Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,AQ TRR to End of Test; Duration (s),Base; Duration (s),AQ TRR to End of Test; Distance (m),Base; Distance (m),AQ TRR to End of Test; Mean speed (m/s),Base; Mean speed (m/s),AQ TRR to End of Test; Path efficiency,Base; Path efficiency,AQ TRR to End of Test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ TRR to End of Test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ TRR to End of Test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s)
1,Y860,AQ (Day1),1,5/2/2022,9:53,am,Raul,MWM Cohort 128 videos\Test 1.szv,84,30,15.993,7.641,0.19,0.255,0.017,0.213,0.738,0.792,61.99,23.75,,,65.12
2,Y860,AQ (Day1),2,5/2/2022,9:56,am,Raul,MWM Cohort 128 videos\Test 16386.szv,4.2,4.9,0.516,0.617,0.124,0.127,0.513,0.304,0.207,0.198,0.79,0.9,0.463,0.199,0.83
3,Y860,AQ (Day1),3,5/2/2022,9:57,am,Raul,MWM Cohort 128 videos\Test 16387.szv,8.1,13.6,1.999,3.226,0.247,0.237,0.405,0.353,0.512,0.639,3.97,8.47,0.37,0.329,6.11
4,Y861,AQ (Day1),1,5/2/2022,9:59,am,Raul,MWM Cohort 128 videos\Test 16388.szv,83.4,30,16.226,5.562,0.195,0.185,0.045,0.119,0.791,0.894,65.93,26.82,,,69.77
5,Y861,AQ (Day1),2,5/2/2022,10:02,am,Raul,MWM Cohort 128 videos\Test 16389.szv,84.4,30,12.219,6.631,0.145,0.221,0.05,0.121,0.833,0.834,70.33,25.02,,,73.44
6,Y861,AQ (Day1),3,5/2/2022,10:04,am,Raul,MWM Cohort 128 videos\Test 16390.szv,84.1,30,11.494,4.71,0.137,0.157,0.061,0.119,0.689,0.685,57.97,20.56,,,58.93
7,Y862,AQ (Day1),1,5/2/2022,10:08,am,Raul,MWM Cohort 128 videos\Test 16391.szv,8.1,13.5,1.394,2.927,0.172,0.216,0.093,0.395,0.302,0.519,2.35,6.84,0.061,0.378,4.01
8,Y862,AQ (Day1),2,5/2/2022,10:09,am,Raul,MWM Cohort 128 videos\Test 16392.szv,28.5,30,7.969,8.263,0.28,0.275,0.02,0.025,0.782,0.764,22.03,22.93,0.02,,22.5
9,Y862,AQ (Day1),3,5/2/2022,10:10,am,Raul,MWM Cohort 128 videos\Test 16393.szv,85,30,16.566,5.726,0.195,0.191,0.086,0.186,0.789,0.931,67.05,27.94,,,68.96
10,3274,AQ (Day1),1,5/2/2022,10:15,am,Raul,MWM Cohort 128 videos\Test 16394.szv,83.6,30,8.998,2.056,0.108,0.069,0.163,0.53,0.804,1.036,67.22,31.07,,,68.18
11,3274,AQ (Day1),2,5/2/2022,10:18,am,Raul,MWM Cohort 128 videos\Test 16395.szv,86.5,30,16.542,5.012,0.191,0.167,0.065,0.02,0.833,0.742,72.01,22.25,,,73.01
12,3274,AQ (Day1),3,5/2/2022,10:20,am,Raul,MWM Cohort 128 videos\Test 16396.szv,83.6,30,15.06,4.948,0.18,0.165,0.01,0.107,0.787,0.777,65.79,23.3,,,68.42
13,3275,AQ (Day1),1,5/2/2022,10:25,am,Raul,MWM Cohort 128 videos\Test 16397.szv,84.4,30,14.16,5.712,0.168,0.19,0.106,0.069,0.72,0.721,60.76,21.62,,,62.36
14,3275,AQ (Day1),2,5/2/2022,10:28,am,Raul,MWM Cohort 128 videos\Test 16398.szv,86.9,30,13.785,6.604,0.159,0.22,0.095,0.133,0.709,0.757,61.64,22.71,,,62.18
15,3275,AQ (Day1),3,5/2/2022,10:31,am,Raul,MWM Cohort 128 videos\Test 16399.szv,16.7,22,2.754,3.932,0.165,0.179,0.465,0.279,0.51,0.658,8.33,14.25,0.418,0.258,11.33
16,3278,AQ (Day1),1,5/2/2022,10:34,am,Raul,MWM Cohort 128 videos\Test 16400.szv,82.7,30,13.627,5.315,0.165,0.177,0.031,0.068,0.701,0.797,58,23.91,,,61.42
17,3278,AQ (Day1),2,5/2/2022,10:37,am,Raul,MWM Cohort 128 videos\Test 16401.szv,86.4,30,14.541,5.178,0.168,0.173,0.047,0.18,0.662,0.592,57.23,17.76,,,58.08
18,3278,AQ (Day1),3,5/2/2022,10:39,am,Raul,MWM Cohort 128 videos\Test 16402.szv,43.4,30,7.039,4.491,0.162,0.15,0.115,0.059,0.745,0.664,32.02,19.91,0.106,,34.65
19,3279,AQ (Day1),1,5/2/2022,10:44,am,Raul,MWM Cohort 128 videos\Test 16403.szv,10.1,15.9,2.173,3.179,0.215,0.2,0.335,0.362,0.402,0.598,3.92,9.3,0.291,0.336,6.4
20,3279,AQ (Day1),2,5/2/2022,10:45,am,Raul,MWM Cohort 128 videos\Test 16404.szv,86.8,30,16.927,6.339,0.195,0.211,0.033,0.092,0.746,0.833,64.78,24.98,,,65.21
21,3279,AQ (Day1),3,5/2/2022,10:47,am,Raul,MWM Cohort 128 videos\Test 16405.szv,84.3,30,13.782,5.502,0.163,0.183,0.096,0.008,0.71,0.781,59.87,23.43,,,62.01
22,3280,AQ (Day1),1,5/2/2022,10:53,am,Raul,MWM Cohort 128 videos\Test 16406.szv,48.8,30,12.209,6.495,0.25,0.217,0.098,0.161,0.68,0.855,32.95,25.65,0.096,,35.11
23,3280,AQ (Day1),2,5/2/2022,10:55,am,Raul,MWM Cohort 128 videos\Test 16407.szv,87.6,30,16.248,7.036,0.185,0.235,0.056,0.058,0.79,0.789,69.24,23.68,,,69.51
24,3280,AQ (Day1),3,5/2/2022,10:58,am,Raul,MWM Cohort 128 videos\Test 16408.szv,85.5,30,16.571,6.671,0.194,0.222,0.072,0.153,0.68,0.827,58.1,24.81,,,59.47
25,Y863,AQ (Day1),1,5/2/2022,11:02,am,Raul,MWM Cohort 128 videos\Test 16409.szv,41,30,9.659,7.661,0.236,0.255,0.093,0.132,0.695,0.781,28.22,23.42,0.088,,30.58
26,Y863,AQ (Day1),2,5/2/2022,11:04,am,Raul,MWM Cohort 128 videos\Test 16410.szv,13.2,15.8,3.509,4.031,0.267,0.256,0.175,0.166,0.321,0.374,4.06,5.71,0.186,0.19,4.95
27,Y863,AQ (Day1),3,5/2/2022,11:05,am,Raul,MWM Cohort 128 videos\Test 16411.szv,85.7,30,18.183,7.974,0.212,0.266,0.068,0.057,0.769,0.64,65.94,19.19,,,66.62
28,Y864,AQ (Day1),1,5/2/2022,11:09,am,Raul,MWM Cohort 128 videos\Test 16412.szv,84.7,30,23.171,8.058,0.274,0.269,0.04,0.029,0.774,0.723,65.59,21.69,,,69.16
29,Y864,AQ (Day1),2,5/2/2022,11:12,am,Raul,MWM Cohort 128 videos\Test 16413.szv,87.3,30,15.951,7.46,0.183,0.249,0.067,0.197,0.786,0.666,68.62,19.98,,,68.09
30,Y864,AQ (Day1),3,5/2/2022,11:15,am,Raul,MWM Cohort 128 videos\Test 16414.szv,85.2,30,16.674,7.706,0.196,0.257,0.035,0.098,0.744,0.717,63.39,21.52,,,65.35
31,Y865,AQ (Day1),1,5/2/2022,11:19,am,Raul,MWM Cohort 128 videos\Test 16415.szv,72,30,18.318,9.122,0.254,0.304,0.049,0.097,0.734,0.773,52.56,23.18,0.044,,55.52
32,Y865,AQ (Day1),2,5/2/2022,11:21,am,Raul,MWM Cohort 128 videos\Test 16416.szv,26,28.5,6.563,6.637,0.253,0.233,0.09,0.097,0.637,0.63,16.35,17.76,0.077,0.086,17.03
