Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,Probe TRR to 30s; Duration (s),Base; Duration (s),Probe TRR to 30s; Distance (m),Base; Distance (m),Probe TRR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe TRR to 30s; Path efficiency,Base; Path efficiency,Probe TRR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe TRR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe TRR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s)
51,Y860,Probe1 (Day2),1,5/3/2022,9:48,am,Raul,MWM Cohort 128 videos\Test 16477.szv,27.8,30,6.113,6.375,0.22,0.213,0.189,0.225,0.794,0.764,22.08,22.91,,,25.68
54,Y861,Probe1 (Day2),1,5/3/2022,9:55,am,Raul,MWM Cohort 128 videos\Test 16480.szv,26.8,30,4.284,4.538,0.16,0.151,0.008,0.05,0.54,0.525,14.48,15.75,,,57.43
57,Y862,Probe1 (Day2),1,5/3/2022,10:02,am,Raul,MWM Cohort 128 videos\Test 16483.szv,28,30,6.366,6.981,0.227,0.233,0.124,0.114,0.738,0.703,20.65,21.1,,,65.02
60,3274,Probe1 (Day2),1,5/3/2022,10:11,am,Raul,MWM Cohort 128 videos\Test 16486.szv,27.5,30,5.347,5.575,0.194,0.186,0.13,0.153,0.586,0.568,15.83,16.76,0.805,0.936,61.78
63,3275,Probe1 (Day2),1,5/3/2022,10:18,am,Raul,MWM Cohort 128 videos\Test 16489.szv,27.6,30,6.725,7.174,0.244,0.239,0.128,0.183,0.7,0.669,19.32,20.08,,,65.55
66,3278,Probe1 (Day2),1,5/3/2022,10:27,am,Raul,MWM Cohort 128 videos\Test 16492.szv,27.2,30,5.264,5.365,0.194,0.179,0.218,0.247,0.6,0.581,16.32,17.42,,,61.13
69,3279,Probe1 (Day2),1,5/3/2022,10:35,am,Raul,MWM Cohort 128 videos\Test 16495.szv,27.1,30,4.938,5.352,0.182,0.178,0.049,0.059,0.604,0.582,16.37,17.46,,,45.55
72,3280,Probe1 (Day2),1,5/3/2022,10:44,am,Raul,MWM Cohort 128 videos\Test 16498.szv,28,30,7.212,7.538,0.258,0.251,0.093,0.058,0.639,0.628,17.9,18.83,,,60.56
75,Y863,Probe1 (Day2),1,5/3/2022,10:50,am,Raul,MWM Cohort 128 videos\Test 16501.szv,28.5,30,7.394,7.784,0.259,0.259,0.084,0.13,0.717,0.695,20.31,20.61,,0.999,57.29
78,Y864,Probe1 (Day2),1,5/3/2022,10:57,am,Raul,MWM Cohort 128 videos\Test 16504.szv,28.1,30,7.312,7.578,0.26,0.253,0.062,0.095,0.66,0.64,18.54,19.21,,,18.93
81,Y865,Probe1 (Day2),1,5/3/2022,11:04,am,Raul,MWM Cohort 128 videos\Test 16507.szv,27.3,30,3.955,4.189,0.145,0.14,0.134,0.1,0.764,0.728,20.85,21.85,,,57.86
84,3282,Probe1 (Day2),1,5/3/2022,11:10,am,Raul,MWM Cohort 128 videos\Test 16510.szv,27.7,30,8.628,8.742,0.311,0.291,0.101,0.096,0.615,0.6,16.62,17.61,0.828,0.875,46.28
87,3284,Probe1 (Day2),1,5/3/2022,11:19,am,Raul,MWM Cohort 128 videos\Test 16513.szv,26,30,5.182,6.022,0.199,0.201,0.056,0.173,0.833,0.813,21.66,24.39,,,90.58
90,3285,Probe1 (Day2),1,5/3/2022,11:27,am,Raul,MWM Cohort 128 videos\Test 16516.szv,26.6,30,4.709,5.294,0.177,0.176,0.202,0.306,0.612,0.582,16.21,17.41,0.173,0.174,59.88
93,3286,Probe1 (Day2),1,5/3/2022,11:35,am,Raul,MWM Cohort 128 videos\Test 16519.szv,27.5,30,5.769,5.964,0.21,0.199,0.238,0.261,0.591,0.574,15.99,16.97,0.059,0.106,61.35
