Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,Probe TRR to 30s; Duration (s),Base; Duration (s),Probe TRR to 30s; Distance (m),Base; Distance (m),Probe TRR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe TRR to 30s; Path efficiency,Base; Path efficiency,Probe TRR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe TRR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe TRR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s)
75,1742,Probe1 (Day2),1,8/22/2017,10:05,am,starneshm,Cohort 70 videos\Test 75.szv,23.2,30.0,3.402,4.441,0.147,0.148,0.156,0.317,0.655,0.748,15.00,22.21,0.631,0.412,12.25
78,1743,Probe1 (Day2),1,8/22/2017,10:14,am,starneshm,Cohort 70 videos\Test 78.szv,21.1,30.0,2.615,4.014,0.124,0.134,0.593,0.376,0.600,0.689,12.66,20.68,,,
81,1746,Probe1 (Day2),1,8/22/2017,10:25,am,starneshm,Cohort 70 videos\Test 81.szv,24.5,30.0,4.502,7.127,0.184,0.238,0.096,0.117,0.708,0.738,17.34,22.15,,,
84,1748,Probe1 (Day2),1,8/22/2017,10:34,am,starneshm,Cohort 70 videos\Test 84.szv,23.6,30.0,4.185,4.743,0.177,0.158,0.138,0.045,0.744,0.802,17.56,24.07,,,54.07
87,1749,Probe1 (Day2),1,8/22/2017,10:45,am,starneshm,Cohort 70 videos\Test 87.szv,22.1,30.0,2.903,7.009,0.131,0.234,0.263,0.166,0.308,0.494,6.60,14.47,0.590,0.192,8.81
90,1751,Probe1 (Day2),1,8/22/2017,10:54,am,starneshm,Cohort 70 videos\Test 90.szv,25.2,30.0,5.097,9.045,0.202,0.302,0.096,0.100,0.647,0.675,16.30,20.25,,,18.31
93,1752,Probe1 (Day2),1,8/22/2017,11:03,am,starneshm,Cohort 70 videos\Test 93.szv,25.7,30.0,5.574,6.020,0.217,0.201,0.133,0.200,0.769,0.800,19.76,23.99,,,
96,1753,Probe1 (Day2),1,8/22/2017,11:13,am,starneshm,Cohort 70 videos\Test 96.szv,24.8,30.0,5.477,6.452,0.221,0.215,0.096,0.029,0.758,0.753,18.80,22.60,,,
99,1755,Probe1 (Day2),1,8/22/2017,11:23,am,starneshm,Cohort 70 videos\Test 99.szv,24.4,30.0,4.562,8.080,0.187,0.269,0.088,0.061,0.719,0.780,17.55,23.39,,,
102,Y500,Probe1 (Day2),1,8/22/2017,11:31,am,starneshm,Cohort 70 videos\Test 102.szv,26.1,30.0,7.126,8.196,0.273,0.273,0.134,0.175,0.551,0.604,14.39,18.12,,,24.19
105,Y501,Probe1 (Day2),1,8/22/2017,11:40,am,starneshm,Cohort 70 videos\Test 105.szv,25.1,30.0,6.583,7.798,0.262,0.260,0.071,0.195,0.522,0.605,13.11,18.14,,,26.43
108,Y502,Probe1 (Day2),1,8/22/2017,11:45,am,starneshm,Cohort 70 videos\Test 108.szv,25.3,30.0,5.843,6.955,0.231,0.232,0.127,0.117,0.603,0.633,15.27,18.99,,,20.46
