Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,AQ TRR to End of Test; Duration (s),Base; Duration (s),AQ TRR to End of Test; Distance (m),Base; Distance (m),AQ TRR to End of Test; Mean speed (m/s),Base; Mean speed (m/s),AQ TRR to End of Test; Path efficiency,Base; Path efficiency,AQ TRR to End of Test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ TRR to End of Test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ TRR to End of Test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s)
395,291,AQ (Day6),2,2/12/2022,11:33,am,Raul,MWM Cohort 127 videos\Test 16870.szv,1.9,6.4,0.268,1.028,0.143,0.161,0.909,0.908,0.11,0.544,0.17,3.29,0.745,0.875,0.7
397,292,AQ (Day6),1,2/12/2022,11:39,am,Raul,MWM Cohort 127 videos\Test 16872.szv,53.2,30,11.512,7.02,0.216,0.234,0.027,0.084,0.763,0.635,40.32,19.06,0.023,,40.47
398,292,AQ (Day6),2,2/12/2022,11:41,am,Raul,MWM Cohort 127 videos\Test 16873.szv,5.9,10.5,1.472,2.587,0.249,0.246,0.453,0.433,0.453,0.635,2.52,6.46,0.439,0.405,4.25
400,293,AQ (Day6),1,2/12/2022,11:44,am,Raul,MWM Cohort 127 videos\Test 16875.szv,16.5,21.2,4.256,4.977,0.258,0.235,0.1,0.222,0.578,0.627,9.33,13.06,0.072,0.205,10.8
401,293,AQ (Day6),2,2/12/2022,11:45,am,Raul,MWM Cohort 127 videos\Test 16876.szv,48.2,30,12.984,8.298,0.269,0.277,0.024,0.06,0.655,0.632,31.37,18.96,0.016,,32.54
403,294,AQ (Day6),1,2/12/2022,11:50,am,Raul,MWM Cohort 127 videos\Test 16878.szv,85.4,30,18.488,6.392,0.216,0.213,0.052,0.022,0.702,0.688,59.95,20.65,,,60.86
404,294,AQ (Day6),2,2/12/2022,11:52,am,Raul,MWM Cohort 127 videos\Test 16879.szv,30.2,30,7.484,7.221,0.248,0.241,0.058,0.04,0.545,0.571,16.26,17.12,0.049,,17.53
406,295,AQ (Day6),1,2/12/2022,11:57,am,Raul,MWM Cohort 127 videos\Test 16881.szv,45.7,30,8.542,4.663,0.187,0.155,0.074,0.181,0.523,0.512,23.72,15.37,0.064,,24.6
407,295,AQ (Day6),2,2/12/2022,11:59,am,Raul,MWM Cohort 127 videos\Test 16882.szv,24.4,29.4,5.564,6.304,0.228,0.214,0.103,0.164,0.672,0.689,16.2,20.06,0.087,0.152,17.88
409,3268,AQ (Day6),1,2/12/2022,12:04,pm,Raul,MWM Cohort 127 videos\Test 16884.szv,58.7,30,15.746,8.613,0.268,0.287,0.01,0.025,0.695,0.672,40.54,20.17,0.004,,42.08
410,3268,AQ (Day6),2,2/12/2022,12:05,pm,Raul,MWM Cohort 127 videos\Test 16885.szv,51.8,30,11.421,7.094,0.221,0.236,0.043,0.022,0.666,0.732,34.22,21.96,0.04,,34.9
412,3270,AQ (Day6),1,2/12/2022,12:10,pm,Raul,MWM Cohort 127 videos\Test 16887.szv,2.3,10.3,0.326,1.523,0.142,0.147,1.161,0.73,0.159,0.717,0.32,7.17,0.858,0.728,3.09
413,3270,AQ (Day6),2,2/12/2022,12:11,pm,Raul,MWM Cohort 127 videos\Test 16888.szv,82.5,30,13.234,5.428,0.16,0.181,0.031,0.282,0.736,0.73,60.74,21.89,,,62.44
415,3272,AQ (Day6),1,2/12/2022,12:18,pm,Raul,MWM Cohort 127 videos\Test 16890.szv,34,30,7.4,6.729,0.218,0.224,0.084,0.081,0.459,0.528,15.6,15.84,,,16.58
416,3272,AQ (Day6),2,2/12/2022,12:19,pm,Raul,MWM Cohort 127 videos\Test 16891.szv,85.3,30,16.876,6.809,0.198,0.227,0.019,0.174,0.698,0.752,59.52,22.55,,,60.26
418,3273,AQ (Day6),1,2/12/2022,12:25,pm,Raul,MWM Cohort 127 videos\Test 16893.szv,76.2,30,18.076,8.24,0.237,0.275,0.034,0.13,0.71,0.804,53.82,24.13,0.031,,54.02
419,3273,AQ (Day6),2,2/12/2022,12:27,pm,Raul,MWM Cohort 127 videos\Test 16894.szv,36.2,30,8.335,7.068,0.23,0.236,0.054,0.085,0.709,0.654,25.41,19.63,0.046,,25.92
421,690,AQ (Day6),1,2/12/2022,12:32,pm,Raul,MWM Cohort 127 videos\Test 16896.szv,8.8,14,1.191,2.492,0.135,0.178,0.308,0.442,0.304,0.424,2.59,5.82,0.268,0.429,2.58
422,690,AQ (Day6),2,2/12/2022,12:33,pm,Raul,MWM Cohort 127 videos\Test 16897.szv,39.9,30,10.573,7.737,0.265,0.258,0.091,0.081,0.675,0.714,26.69,21.43,0.083,,28.86
424,691,AQ (Day6),1,2/12/2022,12:37,pm,Raul,MWM Cohort 127 videos\Test 16899.szv,29,30,9.509,9.566,0.328,0.319,0.078,0.102,0.581,0.616,16.65,18.48,0.068,,17.61
