Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,AQ TRR to End of Test; Duration (s),Base; Duration (s),AQ TRR to End of Test; Distance (m),Base; Distance (m),AQ TRR to End of Test; Mean speed (m/s),Base; Mean speed (m/s),AQ TRR to End of Test; Path efficiency,Base; Path efficiency,AQ TRR to End of Test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ TRR to End of Test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ TRR to End of Test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s)
1,Y836,AQ (Day1),1,1/10/2022,10:34,am,Liam,MWM Cohort 126 videos\Test 1.szv,85.7,30,23.075,7.74,0.269,0.258,0.003,0.016,0.757,0.922,64.9,27.65,,,67.33
2,Y836,AQ (Day1),2,1/10/2022,10:37,am,Liam,MWM Cohort 126 videos\Test 2.szv,85.8,30,19.432,6.584,0.226,0.219,0.015,0.19,0.655,0.776,56.21,23.29,,,57.71
3,Y836,AQ (Day1),3,1/10/2022,10:40,am,Liam,MWM Cohort 126 videos\Test 3.szv,35.2,30,6.7,5.316,0.19,0.177,0.053,0.156,0.424,0.393,14.78,11.8,0.049,,14.94
4,Y837,AQ (Day1),1,1/10/2022,10:46,am,Liam,MWM Cohort 126 videos\Test 4.szv,73.3,30,16.66,5.74,0.227,0.191,0.075,0.101,0.789,0.88,57.55,26.41,0.068,,59.78
5,Y837,AQ (Day1),2,1/10/2022,10:49,am,Liam,MWM Cohort 126 videos\Test 5.szv,28.4,30,7.17,7.179,0.252,0.239,0.081,0.207,0.679,0.756,19.08,22.67,0.063,,20.78
6,Y837,AQ (Day1),3,1/10/2022,10:51,am,Liam,MWM Cohort 126 videos\Test 6.szv,1.1,3.3,0.17,0.621,0.157,0.189,0.844,0.767,0.066,0.309,0.05,0.91,0.646,0.785,0.27
7,Y838,AQ (Day1),1,1/10/2022,10:55,am,Liam,MWM Cohort 126 videos\Test 7.szv,86.4,30,26.422,8.591,0.306,0.286,0.037,0.098,0.692,0.738,59.75,22.13,,,61.42
8,Y838,AQ (Day1),2,1/10/2022,10:59,am,Liam,MWM Cohort 126 videos\Test 8.szv,86.4,30,25.483,10.551,0.295,0.352,0.016,0.116,0.755,0.769,65.25,23.08,,,66.92
9,Y838,AQ (Day1),3,1/10/2022,11:02,am,Liam,MWM Cohort 126 videos\Test 9.szv,88.7,30,25.597,8.774,0.289,0.292,0.005,0.067,0.759,0.726,67.29,21.77,,,67.52
10,3235,AQ (Day1),1,1/10/2022,11:11,am,Liam,MWM Cohort 126 videos\Test 10.szv,70.6,30,11.689,3.84,0.166,0.128,0.096,0.341,0.654,0.635,46.01,19.06,0.09,,48.55
11,3235,AQ (Day1),2,1/10/2022,11:14,am,Liam,MWM Cohort 126 videos\Test 11.szv,62.2,30,9.026,3.003,0.145,0.1,0.129,0.072,0.764,0.885,47.3,26.54,0.119,,49.73
12,3235,AQ (Day1),3,1/10/2022,11:16,am,Liam,MWM Cohort 126 videos\Test 12.szv,87.4,30,14.043,5.194,0.161,0.173,0.109,0.058,0.724,0.713,63.26,21.38,,,63.93
13,3237,AQ (Day1),1,1/10/2022,11:24,am,Liam,MWM Cohort 126 videos\Test 13.szv,85.5,30,19.065,8.787,0.223,0.293,0.028,0.148,0.669,0.829,57.23,24.86,,,59.09
14,3237,AQ (Day1),2,1/10/2022,11:28,am,Liam,MWM Cohort 126 videos\Test 14.szv,85.4,30,17.034,6.366,0.199,0.212,0.052,0.224,0.666,0.619,56.88,18.58,,,58.05
15,3237,AQ (Day1),3,1/10/2022,11:31,am,Liam,MWM Cohort 126 videos\Test 15.szv,88.2,30,17.443,6.367,0.198,0.212,0.079,0.214,0.757,0.724,66.75,21.71,,,66.98
16,3238,AQ (Day1),1,1/10/2022,11:39,am,Liam,MWM Cohort 126 videos\Test 16.szv,13.7,18.3,2.716,2.799,0.199,0.153,0.391,0.388,0.948,0.973,12.6,17.41,0.385,0.384,13.65
17,3238,AQ (Day1),2,1/10/2022,11:41,am,Liam,MWM Cohort 126 videos\Test 17.szv,18.9,23.6,4.847,5.686,0.256,0.241,0.153,0.205,0.529,0.616,9.85,14.35,0.135,0.193,11.82
18,3238,AQ (Day1),3,1/10/2022,11:42,am,Liam,MWM Cohort 126 videos\Test 18.szv,16.3,18.3,4.925,5.383,0.303,0.295,0.04,0.091,0.764,0.716,12.18,12.86,0.036,0.087,12.47
19,3239,AQ (Day1),1,1/10/2022,11:58,am,Liam,MWM Cohort 126 videos\Test 19.szv,24.2,30,4.725,5.489,0.196,0.183,0.142,0.202,0.661,0.694,15.76,20.64,0.131,0.183,17.78
20,3239,AQ (Day1),2,1/10/2022,12:01,pm,Liam,MWM Cohort 126 videos\Test 20.szv,83.8,30,11.883,5.321,0.142,0.177,0.026,0.103,0.751,0.791,62.89,23.74,,,64.18
21,3239,AQ (Day1),3,1/10/2022,12:03,pm,Liam,MWM Cohort 126 videos\Test 21.szv,6,9.2,1.034,1.339,0.172,0.145,0.349,0.502,0.237,0.309,1.35,2.75,0.235,0.408,1.7
22,3240,AQ (Day1),1,1/10/2022,12:08,pm,Liam,MWM Cohort 126 videos\Test 22.szv,82.8,30,10.026,3.968,0.121,0.132,0.117,0.373,0.706,0.632,58.43,18.97,,,60.81
23,3240,AQ (Day1),2,1/10/2022,12:12,pm,Liam,MWM Cohort 126 videos\Test 23.szv,38.1,30,3.225,2.92,0.085,0.097,0.366,0.054,0.916,1.003,34.63,30.08,0.35,,36.96
24,3240,AQ (Day1),3,1/10/2022,12:14,pm,Liam,MWM Cohort 126 videos\Test 24.szv,16.5,20.1,2.123,2.333,0.129,0.116,0.327,0.231,0.777,0.746,12.54,14.72,0.295,0.203,13.74
25,3241,AQ (Day1),1,1/10/2022,12:19,pm,Liam,MWM Cohort 126 videos\Test 25.szv,85.2,30,19.637,5.506,0.23,0.184,0.079,0.139,0.761,0.789,64.85,23.68,,,67.24
26,3241,AQ (Day1),2,1/10/2022,12:24,pm,Liam,MWM Cohort 126 videos\Test 26.szv,7.4,12.3,1.643,2.461,0.223,0.201,0.521,0.449,0.5,0.722,3.52,8.62,0.492,0.424,5.77
27,3241,AQ (Day1),3,1/10/2022,12:25,pm,Liam,MWM Cohort 126 videos\Test 27.szv,87.7,30,15.03,7.246,0.171,0.242,0.04,0.183,0.646,0.723,56.62,21.7,,,57.08
