Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Platform : mean distance from (m),Platform : cumulative distance (m·s),Platform : path efficiency to entry,Platform : CIPL (m·s)
1,Y842,Cue,1,2/15/2022,11:12,am,Raul,Cue Cohort 127 videos\Test 1.szv,5.2,1.128,0.218,0.874,0.531,2.57,0.863,0.50
2,Y842,Cue,2,2/15/2022,11:14,am,Raul,Cue Cohort 127 videos\Test 16397.szv,9.9,2.377,0.239,0.253,0.463,4.45,0.205,3.94
3,Y842,Cue,3,2/15/2022,11:14,am,Raul,Cue Cohort 127 videos\Test 16398.szv,3.2,1.449,0.459,0.649,0.373,1.05,0.601,0.22
4,Y842,Cue,4,2/15/2022,11:15,am,Raul,Cue Cohort 127 videos\Test 16399.szv,7.1,2.476,0.347,0.073,0.542,3.69,0.056,3.81
5,Y842,Cue,5,2/15/2022,11:15,am,Raul,Cue Cohort 127 videos\Test 16400.szv,8.1,1.723,0.213,0.590,0.677,5.25,0.565,3.10
6,Y842,Cue,6,2/15/2022,11:16,am,Raul,Cue Cohort 127 videos\Test 16401.szv,5.9,2.206,0.371,0.311,0.601,3.37,0.285,2.90
7,Y843,Cue,1,2/15/2022,11:18,am,Raul,Cue Cohort 127 videos\Test 16402.szv,7.6,0.946,0.125,0.987,0.483,3.51,0.995,0.19
8,Y843,Cue,2,2/15/2022,11:19,am,Raul,Cue Cohort 127 videos\Test 16403.szv,5.7,0.611,0.108,0.811,0.386,2.05,0.803,0.99
9,Y843,Cue,3,2/15/2022,11:19,am,Raul,Cue Cohort 127 videos\Test 16404.szv,3.4,0.448,0.133,0.951,0.283,0.86,0.944,0.23
10,Y843,Cue,4,2/15/2022,11:20,am,Raul,Cue Cohort 127 videos\Test 16405.szv,0.3,0.000,0.000,,0.000,0.00,,
11,Y843,Cue,5,2/15/2022,11:21,am,Raul,Cue Cohort 127 videos\Test 16406.szv,5.7,1.100,0.193,0.937,0.600,3.22,0.904,0.74
