Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,Probe TRR to 30s; Duration (s),Base; Duration (s),Probe TRR to 30s; Distance (m),Base; Distance (m),Probe TRR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe TRR to 30s; Path efficiency,Base; Path efficiency,Probe TRR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe TRR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe TRR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s)
75,Y842,Probe1 (Day2),1,2/8/2022,10:04,am,Raul,MWM Cohort 127 videos\Test 16477.szv,25.7,30,6.623,7.587,0.258,0.253,0.025,0.095,0.431,0.484,11.08,14.53,,,12.96
78,Y843,Probe1 (Day2),1,2/8/2022,10:12,am,Raul,MWM Cohort 127 videos\Test 16480.szv,25.4,30,7.437,8.014,0.293,0.267,0.2,0.172,0.688,0.717,17.47,21.52,,,64.73
81,Y844,Probe1 (Day2),1,2/8/2022,10:17,am,Raul,MWM Cohort 127 videos\Test 16483.szv,26.4,30,7.971,9.254,0.302,0.308,0.051,0.053,0.489,0.527,12.67,15.55,0.164,0.352,59.15
84,Y845,Probe1 (Day2),1,2/8/2022,10:24,am,Raul,MWM Cohort 127 videos\Test 16486.szv,26.5,30,7.515,8.386,0.284,0.28,0.096,0.097,0.735,0.714,19.49,21.42,,,20.59
87,Y846,Probe1 (Day2),1,2/8/2022,10:33,am,Raul,MWM Cohort 127 videos\Test 87.szv,23.3,30,3.626,4.828,0.156,0.161,0.294,0.035,0.72,0.741,16.78,22.22,,,68.81
90,3261,Probe1 (Day2),1,2/8/2022,10:42,am,Raul,MWM Cohort 127 videos\Test 16492.szv,26.2,30,7.535,8.19,0.288,0.273,0.172,0.103,0.675,0.726,17.68,21.78,,,34.88
93,3262,Probe1 (Day2),1,2/8/2022,10:49,am,Raul,MWM Cohort 127 videos\Test 16495.szv,24.4,30,5.025,5.889,0.206,0.196,0.078,0.198,0.604,0.619,14.73,18.56,,,53.61
96,3264,Probe1 (Day2),1,2/8/2022,10:56,am,Raul,MWM Cohort 127 videos\Test 16498.szv,25.8,30,6.912,7.856,0.268,0.262,0.151,0.195,0.64,0.646,16.51,19.39,,,67.45
99,3265,Probe1 (Day2),1,2/8/2022,11:05,am,Raul,MWM Cohort 127 videos\Test 16501.szv,24.1,30,4.233,5.061,0.176,0.169,0.124,0.196,0.782,0.781,18.84,23.44,,,61.22
102,3266,Probe1 (Day2),1,2/8/2022,11:12,am,Raul,MWM Cohort 127 videos\Test 16504.szv,25.8,30,5.377,5.996,0.208,0.2,0.106,0.141,0.637,0.645,16.44,19.36,,,62.53
