Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,AQ TRR to End of Test; Duration (s),Base; Duration (s),AQ TRR to End of Test; Distance (m),Base; Distance (m),AQ TRR to End of Test; Mean speed (m/s),Base; Mean speed (m/s),AQ TRR to End of Test; Path efficiency,Base; Path efficiency,AQ TRR to End of Test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ TRR to End of Test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ TRR to End of Test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s)
1,Y875,AQ (Day1),1,7/5/2022,10:15,am,Liam,MWM - Cohort 130 videos\Test 1.szv,39.8,30,8.804,6.376,0.221,0.213,0.127,0.205,0.795,0.902,31.38,27.07,0.123,,34.18
2,Y875,AQ (Day1),2,7/5/2022,10:17,am,Liam,MWM - Cohort 130 videos\Test 2.szv,69.3,30,14.321,5.799,0.207,0.193,0.038,0.243,0.772,0.76,53.2,22.79,0.033,,54.03
3,Y875,AQ (Day1),3,7/5/2022,10:20,am,Liam,MWM - Cohort 130 videos\Test 3.szv,84.4,30,18.039,6.882,0.214,0.229,0.057,0.234,0.719,0.602,60.69,18.06,,,
4,Y876,AQ (Day1),1,7/5/2022,10:29,am,Liam,MWM - Cohort 130 videos\Test 4.szv,85.1,30,17.703,6.917,0.208,0.231,0.09,0.184,0.792,0.868,67.37,26.05,,,
5,Y876,AQ (Day1),2,7/5/2022,10:32,am,Liam,MWM - Cohort 130 videos\Test 5.szv,1.4,3.9,0.34,0.59,0.246,0.152,0.916,0.894,0.168,0.374,0.17,1.32,0.814,0.889,0.46
6,Y876,AQ (Day1),3,7/5/2022,10:33,am,Liam,MWM - Cohort 130 videos\Test 6.szv,84.9,30,20.233,7.493,0.238,0.25,0.06,0.015,0.756,0.657,64.2,19.71,,,
7,Y877,AQ (Day1),1,7/5/2022,10:38,am,Liam,MWM - Cohort 130 videos\Test 7.szv,84.7,30,21.144,5.623,0.25,0.187,0.067,0.192,0.753,0.849,63.81,25.47,,,
8,Y877,AQ (Day1),2,7/5/2022,10:42,am,Liam,MWM - Cohort 130 videos\Test 8.szv,58.3,30,12.046,5.858,0.207,0.195,0.035,0.184,0.699,0.719,40.49,21.56,0.03,,41.05
9,Y877,AQ (Day1),3,7/5/2022,10:44,am,Liam,MWM - Cohort 130 videos\Test 9.szv,0.9,6.5,0.281,1.106,0.313,0.169,0.816,0.977,0.1,0.773,0.06,4.77,0.999,0.977,1.46
10,3304,AQ (Day1),1,7/5/2022,10:55,am,Liam,MWM - Cohort 130 videos\Test 10.szv,56.1,30,11.269,5.94,0.201,0.198,0.079,0.253,0.674,0.839,37.61,25.16,0.067,,39.4
11,3304,AQ (Day1),2,7/5/2022,10:58,am,Liam,MWM - Cohort 130 videos\Test 11.szv,87.6,30,14.481,5.587,0.165,0.186,0.039,0.221,0.811,0.6,71,17.99,,,
12,3304,AQ (Day1),3,7/5/2022,11:01,am,Liam,MWM - Cohort 130 videos\Test 12.szv,85.1,30,20.79,6.313,0.244,0.21,0.046,0.136,0.783,0.89,66.62,26.69,,,
13,3307,AQ (Day1),1,7/5/2022,11:08,am,Liam,MWM - Cohort 130 videos\Test 13.szv,84.8,30,14.782,6.441,0.174,0.215,0.068,0.153,0.76,0.761,64.43,22.82,,,
14,3307,AQ (Day1),2,7/5/2022,11:11,am,Liam,MWM - Cohort 130 videos\Test 14.szv,36.1,30,6.13,5.242,0.17,0.175,0.055,0.113,0.794,0.876,28.36,26.28,0.035,,28.59
15,3307,AQ (Day1),3,7/5/2022,11:13,am,Liam,MWM - Cohort 130 videos\Test 15.szv,84.8,30,15.13,5.261,0.178,0.175,0.071,0.17,0.749,0.786,63.55,23.57,,,
16,3309,AQ (Day1),1,7/5/2022,11:28,am,Liam,MWM - Cohort 130 videos\Test 16.szv,50.3,30,11.291,7.759,0.225,0.259,0.101,0.198,0.717,0.803,35.82,24.08,0.095,,39.35
17,3309,AQ (Day1),2,7/5/2022,11:32,am,Liam,MWM - Cohort 130 videos\Test 17.szv,87.1,30,15.114,7.065,0.174,0.236,0.018,0.224,0.685,0.684,59.66,20.52,,,
18,3309,AQ (Day1),3,7/5/2022,11:34,am,Liam,MWM - Cohort 130 videos\Test 18.szv,84.5,30,14.418,5.741,0.171,0.191,0.058,0.232,0.704,0.793,59.52,23.8,,,
19,3310,AQ (Day1),1,7/5/2022,11:40,am,Liam,MWM - Cohort 130 videos\Test 19.szv,19.9,25.1,5.349,6.019,0.269,0.24,0.161,0.189,0.636,0.707,12.46,17.53,0.15,0.174,15.24
20,3310,AQ (Day1),2,7/5/2022,11:42,am,Liam,MWM - Cohort 130 videos\Test 20.szv,78.2,30,15.291,7.288,0.196,0.243,0.023,0.085,0.794,0.721,61.79,21.64,0.015,,62.21
21,3310,AQ (Day1),3,7/5/2022,11:45,am,Liam,MWM - Cohort 130 videos\Test 21.szv,19.2,24.5,3.606,4.455,0.188,0.182,0.235,0.267,0.629,0.669,11.75,16.05,0.205,0.238,13.21
22,Y878,AQ (Day1),1,7/5/2022,11:53,am,Liam,MWM - Cohort 130 videos\Test 22.szv,86.1,30,25.254,10.269,0.293,0.342,0.012,0.148,0.767,0.738,66,22.13,,,
23,Y878,AQ (Day1),2,7/5/2022,11:57,am,Liam,MWM - Cohort 130 videos\Test 23.szv,37.1,30,9.043,8.041,0.244,0.268,0.062,0.05,0.696,0.776,25.61,23.27,0.057,,25.91
24,Y878,AQ (Day1),3,7/5/2022,11:58,am,Liam,MWM - Cohort 130 videos\Test 24.szv,71,30,19.253,7.865,0.271,0.262,0.039,0.018,0.728,0.687,51.41,20.62,0.035,,53.38
25,Y879,AQ (Day1),1,7/5/2022,12:03,pm,Liam,MWM - Cohort 130 videos\Test 25.szv,85.3,30,18.431,6.805,0.216,0.227,0.034,0.104,0.828,0.832,70.67,24.95,,,
26,Y879,AQ (Day1),2,7/5/2022,12:06,pm,Liam,MWM - Cohort 130 videos\Test 26.szv,87.5,30,18.795,7.02,0.215,0.234,0.011,0.229,0.721,0.63,63.12,18.91,,,
27,Y879,AQ (Day1),3,7/5/2022,12:09,pm,Liam,MWM - Cohort 130 videos\Test 27.szv,77.6,30,12.465,3.427,0.161,0.114,0.081,0.163,0.748,0.767,57.73,23.01,0.073,,58.99
28,Y880,AQ (Day1),1,7/5/2022,12:17,pm,Liam,MWM - Cohort 130 videos\Test 28.szv,85.6,30,23.071,10.072,0.27,0.336,0.063,0.142,0.745,0.744,63.77,22.32,,,
29,Y880,AQ (Day1),2,7/5/2022,12:21,pm,Liam,MWM - Cohort 130 videos\Test 29.szv,4.6,7,0.65,0.881,0.142,0.126,0.509,0.601,0.363,0.39,1.52,2.57,0.491,0.588,1.5
30,Y880,AQ (Day1),3,7/5/2022,12:22,pm,Liam,MWM - Cohort 130 videos\Test 30.szv,4,8.7,0.929,2.134,0.232,0.245,0.698,0.529,0.339,0.608,1.24,5.08,0.603,0.496,2.82
31,3316,AQ (Day1),1,7/5/2022,12:26,pm,Liam,MWM - Cohort 130 videos\Test 31.szv,85,30,19.112,7.916,0.225,0.264,0.041,0.203,0.776,0.682,65.93,20.46,,,
32,3316,AQ (Day1),2,7/5/2022,12:29,pm,Liam,MWM - Cohort 130 videos\Test 32.szv,2.6,5.3,0.556,0.998,0.214,0.189,0.685,0.655,0.115,0.308,0.26,1.53,0.463,0.544,0.75
33,3316,AQ (Day1),3,7/5/2022,12:30,pm,Liam,MWM - Cohort 130 videos\Test 33.szv,85,30,15.029,6.332,0.177,0.211,0.086,0.228,0.668,0.622,56.77,18.67,,,
34,3317,AQ (Day1),1,7/5/2022,12:39,pm,Liam,MWM - Cohort 130 videos\Test 34.szv,84.3,30,15.588,6.503,0.185,0.217,0.06,0.033,0.691,0.743,58.23,22.29,,,
35,3317,AQ (Day1),2,7/5/2022,12:42,pm,Liam,MWM - Cohort 130 videos\Test 35.szv,87,30,16.541,6.337,0.19,0.211,0.066,0.188,0.763,0.783,66.41,23.49,,,
36,3317,AQ (Day1),3,7/5/2022,12:45,pm,Liam,MWM - Cohort 130 videos\Test 36.szv,84,30,12.868,5.298,0.153,0.177,0.067,0.242,0.707,0.677,59.37,20.3,,,
37,3318,AQ (Day1),1,7/5/2022,12:52,pm,Liam,MWM - Cohort 130 videos\Test 37.szv,85.1,30,20.596,8.583,0.242,0.286,0.057,0.008,0.701,0.683,59.64,20.48,,,
38,3318,AQ (Day1),2,7/5/2022,12:56,pm,Liam,MWM - Cohort 130 videos\Test 38.szv,87.6,30,15.541,5.611,0.177,0.187,0.064,0.141,0.744,0.72,65.18,21.61,,,
39,3318,AQ (Day1),3,7/5/2022,12:59,pm,Liam,MWM - Cohort 130 videos\Test 39.szv,84.8,30,21.497,6.447,0.254,0.215,0.044,0.246,0.699,0.83,59.28,24.89,,,
40,Y875,AQ (Day2),1,7/6/2022,10:27,am,Liam,MWM - Cohort 130 videos\Test 40.szv,87.4,30,13.592,2.873,0.156,0.096,0.098,0.5,0.755,0.5,66.03,15,,,
41,Y875,AQ (Day2),2,7/6/2022,10:30,am,Liam,MWM - Cohort 130 videos\Test 41.szv,84.6,30,16.186,5.113,0.191,0.17,0.072,0.143,0.647,0.543,54.71,16.29,,,
43,Y876,AQ (Day2),1,7/6/2022,10:37,am,Liam,MWM - Cohort 130 videos\Test 43.szv,34.7,30,7.768,6.311,0.224,0.21,0.07,0.209,0.692,0.661,23.77,19.82,0.055,,24.27
44,Y876,AQ (Day2),2,7/6/2022,10:39,am,Liam,MWM - Cohort 130 videos\Test 44.szv,85.1,30,22.519,7.07,0.265,0.236,0.064,0.191,0.683,0.579,58.08,17.36,,,
46,Y877,AQ (Day2),1,7/6/2022,10:46,am,Liam,MWM - Cohort 130 videos\Test 46.szv,87.5,30,16.869,6.017,0.193,0.201,0.087,0.244,0.743,0.624,65.01,18.73,,,
47,Y877,AQ (Day2),2,7/6/2022,10:49,am,Liam,MWM - Cohort 130 videos\Test 47.szv,1.5,7.1,0.382,1.171,0.256,0.165,0.767,0.949,0.084,0.711,0.1,4.81,0.808,0.907,1.47
49,3304,AQ (Day2),1,7/6/2022,10:55,am,Liam,MWM - Cohort 130 videos\Test 49.szv,87.9,30,21.696,8.156,0.247,0.272,0.011,0.17,0.792,0.722,69.62,21.67,,,
50,3304,AQ (Day2),2,7/6/2022,10:58,am,Liam,MWM - Cohort 130 videos\Test 50.szv,34.3,30,9.347,8.127,0.273,0.271,0.087,0.026,0.737,0.763,25.05,22.89,0.074,,27.7
52,3307,AQ (Day2),1,7/6/2022,11:04,am,Liam,MWM - Cohort 130 videos\Test 52.szv,50.4,30,13.021,8.355,0.258,0.278,0.033,0.054,0.72,0.701,36.08,21.03,0.024,,36.76
53,3307,AQ (Day2),2,7/6/2022,11:06,am,Liam,MWM - Cohort 130 videos\Test 53.szv,3.9,9.3,0.756,1.871,0.194,0.2,0.867,0.611,0.264,0.611,0.95,5.51,0.712,0.558,2.84
55,3309,AQ (Day2),1,7/6/2022,11:12,am,Liam,MWM - Cohort 130 videos\Test 55.szv,87.3,30,19.805,8.772,0.227,0.292,0.066,0.077,0.629,0.781,54.89,23.43,,,
56,3309,AQ (Day2),2,7/6/2022,11:15,am,Liam,MWM - Cohort 130 videos\Test 56.szv,84.4,30,12.414,6.157,0.147,0.205,0.102,0.243,0.704,0.824,59.41,24.72,,,
58,3310,AQ (Day2),1,7/6/2022,11:23,am,Liam,MWM - Cohort 130 videos\Test 58.szv,87.1,30,17.137,6.821,0.197,0.227,0.094,0.168,0.742,0.721,64.62,21.62,,,
59,3310,AQ (Day2),2,7/6/2022,11:26,am,Liam,MWM - Cohort 130 videos\Test 59.szv,52.3,30,9.372,5.524,0.179,0.184,0.045,0.268,0.678,0.665,35.22,19.95,0.035,,35.58
61,Y878,AQ (Day2),1,7/6/2022,11:33,am,Liam,MWM - Cohort 130 videos\Test 61.szv,88.1,30,21.326,8.412,0.242,0.28,0.014,0.162,0.642,0.614,56.53,18.42,,,
62,Y878,AQ (Day2),2,7/6/2022,11:36,am,Liam,MWM - Cohort 130 videos\Test 62.szv,50.1,30,12.997,7.342,0.26,0.245,0.054,0.037,0.64,0.696,31.86,20.87,0.048,,33.02
64,Y879,AQ (Day2),1,7/6/2022,11:44,am,Liam,MWM - Cohort 130 videos\Test 64.szv,35.2,30,8.483,6.774,0.241,0.226,0.062,0.181,0.679,0.669,23.65,20.07,0.05,,24.2
65,Y879,AQ (Day2),2,7/6/2022,11:45,am,Liam,MWM - Cohort 130 videos\Test 65.szv,43.4,30,11.022,8.366,0.254,0.279,0.08,0.087,0.672,0.84,28.93,25.19,0.077,,31.7
67,Y880,AQ (Day2),1,7/6/2022,12:05,pm,Liam,MWM - Cohort 130 videos\Test 67.szv,52.3,30,12.576,6.473,0.241,0.216,0.025,0.233,0.698,0.711,36.23,21.32,0.017,,36.5
