Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,Probe TRR to 30s; Duration (s),Base; Duration (s),Probe TRR to 30s; Distance (m),Base; Distance (m),Probe TRR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe TRR to 30s; Path efficiency,Base; Path efficiency,Probe TRR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe TRR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe TRR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s)
60,2292,Probe1 (Day2),1,3/5/2019,10:01,am,Ali,Cohort 90 videos\Test 60.szv,28.6,30,5.803,6.145,0.203,0.205,0.115,0.165,0.602,0.588,17.23,17.64,,,
63,2296,Probe1 (Day2),1,3/5/2019,10:11,am,Ali,Cohort 90 videos\Test 63.szv,28.6,30,4.759,5.101,0.166,0.17,0.138,0.168,0.626,0.607,17.9,18.22,,,
66,2299,Probe1 (Day2),1,3/5/2019,10:20,am,Ali,Cohort 90 videos\Test 66.szv,27.8,30,6.776,7.213,0.244,0.24,0.21,0.212,0.763,0.742,21.21,22.27,,,
69,2300,Probe1 (Day2),1,3/5/2019,10:31,am,Ali,Cohort 90 videos\Test 69.szv,27.7,30,5.712,6.212,0.206,0.207,0.051,0.126,0.612,0.599,16.95,17.98,,,
72,2301,Probe1 (Day2),1,3/5/2019,10:42,am,Ali,Cohort 90 videos\Test 72.szv,26.2,30,3.284,3.767,0.125,0.126,0.463,0.352,0.86,0.807,22.54,24.22,,,52.12
75,2302,Probe1 (Day2),1,3/5/2019,10:51,am,Ali,Cohort 90 videos\Test 75.szv,28,30,4.747,5.117,0.17,0.171,0.053,0.076,0.691,0.682,19.36,20.45,,,
78,Y620,Probe1 (Day2),1,3/5/2019,11:11,am,Ali,Cohort 90 videos\Test 78.szv,28.4,30,7.107,7.373,0.25,0.246,0.055,0.089,0.612,0.602,17.12,17.81,0.256,0.17,3.38
81,Y621,Probe1 (Day2),1,3/5/2019,11:18,am,Ali,Cohort 90 videos\Test 81.szv,28.4,30,5.122,5.338,0.18,0.178,0.101,0.067,0.327,0.328,9.1,9.63,0.126,0.109,6.18
84,Y622,Probe1 (Day2),1,3/5/2019,11:26,am,Ali,Cohort 90 videos\Test 84.szv,28.6,30,7.055,7.175,0.247,0.239,0.103,0.122,0.504,0.495,14.41,14.86,,,
87,2303,Probe1 (Day2),1,3/5/2019,11:38,am,Ali,Cohort 90 videos\Test 87.szv,28.9,30,5.73,5.866,0.198,0.196,0.18,0.165,0.574,0.562,16.59,16.87,,,
