Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,Probe TRR to 30s; Duration (s),Base; Duration (s),Probe TRR to 30s; Distance (m),Base; Distance (m),Probe TRR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe TRR to 30s; Path efficiency,Base; Path efficiency,Probe TRR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe TRR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe TRR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s)
72,Y836,Probe1 (Day2),1,1/11/2022,10:35,am,Liam,MWM Cohort 126 videos\Test 72.szv,25.7,30,7.369,8.48,0.287,0.283,0.054,0.147,0.687,0.688,17.07,20.06,0.234,0.479,52.53
75,Y837,Probe1 (Day2),1,1/11/2022,10:42,am,Liam,MWM Cohort 126 videos\Test 75.szv,25.1,30,6.115,7.564,0.244,0.252,0.129,0.063,0.477,0.54,11.97,16.2,,,60.2
78,Y838,Probe1 (Day2),1,1/11/2022,10:53,am,Liam,MWM Cohort 126 videos\Test 78.szv,25.9,30,7.524,8.515,0.291,0.284,0.101,0.119,0.643,0.648,16.41,19.17,0.178,0.433,17.99
81,3235,Probe1 (Day2),1,1/11/2022,11:03,am,Liam,MWM Cohort 126 videos\Test 81.szv,22.7,30,3.242,4.171,0.143,0.139,0.442,0.34,0.669,0.766,15.18,22.97,,,55.67
84,3237,Probe1 (Day2),1,1/11/2022,11:15,am,Liam,MWM Cohort 126 videos\Test 84.szv,25.2,30,6.666,7.696,0.265,0.257,0.218,0.197,0.681,0.72,17.16,21.6,,,58.26
87,3238,Probe1 (Day2),1,1/11/2022,11:27,am,Liam,MWM Cohort 126 videos\Test 87.szv,23.8,30,4.68,5.968,0.197,0.199,0.055,0.167,0.551,0.597,13.12,17.91,,,54.64
90,3239,Probe1 (Day2),1,1/11/2022,11:38,am,Liam,MWM Cohort 126 videos\Test 90.szv,23.5,30,4.727,6.103,0.201,0.203,0.166,0.022,0.704,0.743,16.29,22.02,0.354,0.231,62.12
93,3240,Probe1 (Day2),1,1/11/2022,11:47,am,Liam,MWM Cohort 126 videos\Test 93.szv,22.5,30,3.139,3.978,0.14,0.133,0.268,0.286,0.695,0.749,15.34,22.15,0.36,0.326,48.14
96,3241,Probe1 (Day2),1,1/11/2022,11:59,am,Liam,MWM Cohort 126 videos\Test 96.szv,25.4,30,6.707,7.974,0.264,0.266,0.138,0.144,0.532,0.547,13.24,16.13,0.047,0.148,14.84
99,3242,Probe1 (Day2),1,1/11/2022,12:07,pm,Liam,MWM Cohort 126 videos\Test 99.szv,23.9,30,4.82,4.928,0.202,0.164,0.075,0.088,0.705,0.775,16.69,23.06,0.291,0.316,70.2
102,3243,Probe1 (Day2),1,1/11/2022,12:18,pm,Liam,MWM Cohort 126 videos\Test 102.szv,26,30,7.366,8.502,0.283,0.283,0.212,0.128,0.709,0.748,18.44,22.44,,,65.32
105,3247,Probe1 (Day2),1,1/11/2022,12:29,pm,Liam,MWM Cohort 126 videos\Test 105.szv,26.2,30,8.019,9.111,0.306,0.304,0.013,0.11,0.659,0.667,17.26,20.02,,,27.12
108,Y839,Probe1 (Day2),1,1/11/2022,12:39,pm,Liam,MWM Cohort 126 videos\Test 108.szv,25.1,30,7.142,8.447,0.285,0.282,0.162,0.025,0.622,0.641,15.41,19.03,0.031,0.165,44.74
111,Y840,Probe1 (Day2),1,1/11/2022,12:48,pm,Liam,MWM Cohort 126 videos\Test 111.szv,25.8,30,8.055,8.217,0.312,0.274,0.068,0.089,0.611,0.671,15.67,20,0.149,0.171,58.6
114,Y841,Probe1 (Day2),1,1/11/2022,13:04,pm,Liam,MWM Cohort 126 videos\Test 114.szv,26,30,7.538,8.28,0.29,0.276,0.014,0.067,0.636,0.674,16.54,20.21,,,61.78
117,3249,Probe1 (Day2),1,1/11/2022,13:15,pm,Liam,MWM Cohort 126 videos\Test 117.szv,24,30,4.223,4.933,0.176,0.164,0.137,0.152,0.646,0.71,15.51,21.29,,,55.95
120,3251,Probe1 (Day2),1,1/11/2022,13:25,pm,Liam,MWM Cohort 126 videos\Test 120.szv,25.1,30,5.41,6.727,0.216,0.224,0.099,0.216,0.705,0.664,17.69,19.92,,,58.85
123,3253,Probe1 (Day2),1,1/11/2022,13:37,pm,Liam,MWM Cohort 126 videos\Test 123.szv,25.9,30,6.656,7.928,0.257,0.264,0.163,0.172,0.758,0.749,19.63,22.47,,,59.65
126,3254,Probe1 (Day2),1,1/11/2022,13:48,pm,Liam,MWM Cohort 126 videos\Test 126.szv,24.2,30,4.778,5.931,0.197,0.198,0.304,0.184,0.654,0.666,15.83,19.98,,,21.49
129,3255,Probe1 (Day2),1,1/11/2022,13:57,pm,Liam,MWM Cohort 126 videos\Test 129.szv,25.5,30,6.434,7.777,0.252,0.259,0.119,0.09,0.601,0.627,15.33,18.81,,,35.33
132,3256,Probe1 (Day2),1,1/11/2022,14:08,pm,Liam,MWM Cohort 126 videos\Test 132.szv,22.7,30,4.072,4.297,0.179,0.143,0.142,0.062,0.671,0.772,15.24,23.17,,,58.22
135,3257,Probe1 (Day2),1,1/11/2022,14:18,pm,Liam,MWM Cohort 126 videos\Test 135.szv,23.5,30,3.845,4.835,0.164,0.161,0.256,0.123,0.525,0.611,12.34,18.34,,,24.54
138,3259,Probe1 (Day2),1,1/11/2022,14:27,pm,Liam,MWM Cohort 126 videos\Test 138.szv,23.6,30,4.808,5.62,0.204,0.187,0.186,0.248,0.667,0.726,15.75,21.78,,,66.48
210,Y836,Probe2 (Day4),1,1/13/2022,11:06,am,Liam,MWM Cohort 126 videos\Test 210.szv,27.7,30,6.483,6.93,0.234,0.231,0.143,0.155,0.7,0.672,19.39,20.17,,,52.84
213,Y837,Probe2 (Day4),1,1/13/2022,11:16,am,Liam,MWM Cohort 126 videos\Test 213.szv,27.7,30,4.857,5.213,0.175,0.174,0.044,0.041,0.411,0.403,10.99,11.68,0.051,0.264,48.17
216,Y838,Probe2 (Day4),1,1/13/2022,11:24,am,Liam,MWM Cohort 126 videos\Test 216.szv,27.6,30,7.034,7.502,0.255,0.25,0.101,0.07,0.784,0.751,21.64,22.52,,,23.22
219,3235,Probe2 (Day4),1,1/13/2022,11:31,am,Liam,MWM Cohort 126 videos\Test 219.szv,26.8,30,3.684,4.014,0.137,0.134,0.096,0.176,0.432,0.429,11.59,12.87,,,58.95
222,3237,Probe2 (Day4),1,1/13/2022,11:43,am,Liam,MWM Cohort 126 videos\Test 222.szv,27.3,30,5.391,5.912,0.197,0.197,0.057,0.099,0.725,0.691,19.78,20.74,,,64.25
