GROUP,RAT,SLI,GROUP.RAT
RWM16,18,250.7069483,RWM16.18
RWM16,19,182.5017567,RWM16.19
RWM16,2,125.1119378,RWM16.2
RWM16,20,221.3608565,RWM16.20
RWM16,21,169.9178747,RWM16.21
RWM16,22,176.0175959,RWM16.22
RWM16,23,229.6123809,RWM16.23
RWM16,24,199.4737483,RWM16.24
RWM16,25,244.0884926,RWM16.25
RWM16,26,266.9753833,RWM16.26
RWM16,27,109.4990582,RWM16.27
RWM16,28,275.6429068,RWM16.28
RWM16,4,252.4739437,RWM16.4
RWM16,5,184.0128686,RWM16.5
RWM16,6,132.9862358,RWM16.6
RWM16,7,177.8954252,RWM16.7
RWM16,8,116.0643021,RWM16.8
RWM16,9,218.8767598,RWM16.9
RWM17,1,230.8194371,RWM17.1
RWM17,10,258.0112132,RWM17.10
RWM17,11,235.8941761,RWM17.11
RWM17,12,156.7776535,RWM17.12
RWM17,13,247.2730289,RWM17.13
RWM17,14,140.3223018,RWM17.14
RWM17,15,173.0335445,RWM17.15
RWM17,16,216.6936405,RWM17.16
RWM17,17,186.5274568,RWM17.17
RWM17,18,181.910781,RWM17.18
RWM17,19,230.2817222,RWM17.19
RWM17,2,138.703188,RWM17.2
RWM17,20,179.4939543,RWM17.20
RWM17,21,206.4846665,RWM17.21
RWM17,22,102.4925102,RWM17.22
RWM17,23,181.6395956,RWM17.23
RWM17,24,228.354139,RWM17.24
RWM17,25,158.6986618,RWM17.25
RWM17,26,262.235588,RWM17.26
RWM17,27,180.4383387,RWM17.27
RWM17,28,218.9238736,RWM17.28
RWM17,29,100.0977835,RWM17.29
RWM17,3,219.2911115,RWM17.3
RWM17,30,246.0523427,RWM17.30
RWM17,4,241.674983,RWM17.4
RWM17,5,229.6061949,RWM17.5
RWM17,6,147.2915118,RWM17.6
RWM17,7,289.5023994,RWM17.7
RWM17,8,129.7156744,RWM17.8
RWM17,9,212.8296336,RWM17.9
RWM18,1,188.5732727,RWM18.1
RWM18,10,228.0332778,RWM18.10
RWM18,12,113.3451343,RWM18.12
RWM18,15,158.02816,RWM18.15
RWM18,16,232.1895879,RWM18.16
RWM18,17,109.9985631,RWM18.17
RWM18,18,255.8393189,RWM18.18
RWM18,2,130.546371,RWM18.2
RWM18,20,177.3493378,RWM18.20
RWM18,22,132.3695784,RWM18.22
RWM18,23,273.8894196,RWM18.23
RWM18,26,177.2536292,RWM18.26
RWM18,27,109.4123467,RWM18.27
RWM18,29,120.1675138,RWM18.29
RWM18,30,154.5804842,RWM18.30
RWM18,4,153.6876033,RWM18.4
RWM18,5,200.4756057,RWM18.5
RWM18,8,130.062994,RWM18.8
RWM19,1,177.4599993,RWM19.1
RWM19,10,144.5911508,RWM19.10
