GROUP,RAT,AGE,BLOCK,DAY,TRIAL,TYPE,START,LAT,PATH,CMDS,MNDS,Q1TM,Q2TM,Q3TM,Q4TM,PLTCRS,SPEED,GROUP.RAT,,
RWM09,55,6,Block3,Day05,Trial3,Train,W,16.82,438.46,8698.97,51.47,,,,,,26.07,RWM09.55,,
RWM09,55,6,Block3,Day06,Trial1,Train,W,34.03,847.02,24226.03,71.04,,,,,,24.89,RWM09.55,,
RWM09,55,6,Block3,Day06,Trial2,Train,S,15.62,384.37,6167.47,39.28,,,,,,24.61,RWM09.55,,
RWM09,55,6,Block3,Day06,Trial3,Probe,E,29.93,815.77,13889.66,46.3,5.61,,11.41,,1,27.26,RWM09.55,,
RWM09,55,6,Block4,Day07,Trial1,Train,E,7.41,157.82,2652.28,35.36,,,,,,21.31,RWM09.55,,
RWM09,55,6,Block4,Day07,Trial2,Train,W,14.31,173.75,7109.98,49.37,,,,,,12.14,RWM09.55,,
RWM09,55,6,Block4,Day07,Trial3,Train,S,4.8,63.25,1043.95,21.31,,,,,,13.16,RWM09.55,,
RWM09,55,6,Block4,Day08,Trial1,Train,N,12.81,144.51,7574.39,58.72,,,,,,11.28,RWM09.55,,
RWM09,55,6,Block4,Day08,Trial2,Train,E,24.12,261.37,8667.36,35.82,,,,,,10.83,RWM09.55,,
RWM09,55,6,Block4,Day08,Trial3,Probe,W,29.93,612.92,12045.74,40.15,3,,14.81,,2,20.48,RWM09.55,,
RWM09,55,6,Block6,Day09,Trial1,Cue,W,8.31,698.05,3617.68,43.59,,,,,,85.04,RWM09.55,,
RWM09,55,6,Block6,Day09,Trial2,Cue,S,2.6,66.44,721.85,27.76,,,,,,26.55,RWM09.55,,
RWM09,55,6,Block6,Day09,Trial3,Cue,E,3,68.18,682.93,22.76,,,,,,23.49,RWM09.55,,
RWM09,55,6,Block6,Day09,Trial4,Cue,N,3.4,107.09,1196.35,35.19,,,,,,32.42,RWM09.55,,
RWM09,55,6,Block6,Day09,Trial5,Cue,W,3.1,102.13,957.13,30.88,,,,,,34.01,RWM09.55,,
RWM09,55,6,Block6,Day09,Trial6,Cue,S,7.61,198.93,4728.19,62.21,,,,,,26.5,RWM09.55,,
RWM09,56,6,Block1,Day01,Trial1,Train,S,90.09,1764.59,59485.5,66.02,,,,,,19.59,RWM09.56,,
RWM09,56,6,Block1,Day01,Trial2,Train,E,90.09,1965.77,50792.81,56.37,,,,,,21.82,RWM09.56,,
RWM09,56,6,Block1,Day01,Trial3,Train,N,14.21,206.75,11515.23,80.53,,,,,,14.55,RWM09.56,,
RWM09,56,6,Block1,Day02,Trial1,Train,W,30.03,663.16,18321.33,60.87,,,,,,22.08,RWM09.56,,
RWM09,56,6,Block1,Day02,Trial2,Train,N,90.09,2102.7,67928.8,75.39,,,,,,23.34,RWM09.56,,
RWM09,56,6,Block1,Day02,Trial3,Probe,E,30.03,636.29,16115.7,53.54,3.7,,9.61,,1,21.19,RWM09.56,,
RWM09,56,6,Block2,Day03,Trial1,Train,N,74.97,1744.01,54075.99,72.1,,,,,,23.26,RWM09.56,,
RWM09,56,6,Block2,Day03,Trial2,Train,W,14.41,334.33,6509.78,44.9,,,,,,23.19,RWM09.56,,
RWM09,56,6,Block2,Day03,Trial3,Train,S,4.9,66.5,1554.98,31.1,,,,,,13.56,RWM09.56,,
RWM09,56,6,Block2,Day04,Trial1,Train,E,11.31,220.01,4639.14,40.69,,,,,,19.45,RWM09.56,,
RWM09,56,6,Block2,Day04,Trial2,Train,S,4.8,50.82,1299.08,26.51,,,,,,10.58,RWM09.56,,
