TRIALISx,TXPNAMEx,RUNDATEx,RUNTIMEx,STARTPTx,SUBJECTx,DESCRIPT,MAXTIMsc,LATENTsc,PATHISmt,SPEEDmts,xTIMEFLT,HEADGdeg,THGTIMEx,THGPATHx,SLICEISx,SLCxONsc,SLCxGOsc,QUAD1xsc,QUAD2xsc,QUAD3xsc,QUAD4xsc,QUAD1xmt,QUAD2xmt,QUAD3xmt,QUAD4xmt,PROXIMmt,PROXmt01,PROXmt02,PROXmt03,PROXmt04,GALCUMms,CUMUms01,CUMUms02,CUMUms03,CUMUms04
001CW10192,BurkeCW101,10/19/2023,10:35:33,W,1810,swim01,90,24.4,5.57,0.23,3.5,-37,46.7,36.2,ok,0,90,13.5,10.2,51.2,25,15.1,7.8,52.4,24.5,0.63,0.85,1.26,0.82,0.63,15.42,20.72,30.68,20.03,15.42
002CW10192,BurkeCW101,10/19/2023,10:36:35,SE,1810,swim02,90,19.6,4.42,0.23,0.9,19.9,21.9,13.6,ok,0,90,16.3,71.9,11.7,0,16.8,75.5,7.6,0,0.66,1.3,0.93,0.39,0.66,12.99,25.49,18.26,7.58,12.99
003CW10192,BurkeCW101,10/19/2023,10:39:22,N,1810,swim03,90,90,13.75,0.15,13.9,36.6,62.1,59.7,ok,0,90,7.1,27,34.8,31,9.2,23.4,38.2,29,-1,0.95,1.22,0.81,0.74,-1,85.94,110.19,73.1,66.47
004CW10192,BurkeCW101,10/19/2023,10:42:18,W,1811,swim01,90,64.2,16.16,0.25,9.4,-1.4,78.3,84.1,ok,0,90,11.6,18.5,58.8,10.9,17.4,21.6,43,17.8,0.66,1.17,1.31,0.78,0.66,42.09,74.87,84.32,50.33,42.09
005CW10192,BurkeCW101,10/19/2023,10:43:37,SE,1811,swim02,90,29.9,7.37,0.25,3.5,104.7,57.5,47.9,ok,0,90,34.4,22.4,11,32.1,45.1,16.4,8,30.2,1.06,0.93,0.79,0.97,1.06,31.69,27.66,23.73,28.89,31.69
006CW10192,BurkeCW101,10/19/2023,10:46:08,N,1811,swim03,90,90,19.87,0.22,0.3,71.1,44.1,39.6,ok,0,90,24.1,37.1,28.8,9.8,22.3,34.9,30.5,12.1,-1,1.15,0.95,0.69,0.79,-1,103.69,85.55,61.89,70.66
007CW10192,BurkeCW101,10/19/2023,10:49:48,W,1838,swim01,90,7.4,1.45,0.2,1.2,-35.1,20.3,18.4,ok,0,90,0,0,66.2,33.7,0,0,63.8,36.1,0.49,0.71,1.37,0.83,0.49,3.59,5.27,10.14,6.17,3.59
008CW10192,BurkeCW101,10/19/2023,10:51:29,SE,1838,swim02,90,59,20.16,0.34,0.4,15.2,68,65.5,ok,0,90,33.2,27.4,15.7,23.5,33.7,24.9,14.7,26.5,0.99,1.05,0.88,0.88,0.99,58.63,62.11,51.93,52.16,58.63
009CW10192,BurkeCW101,10/19/2023,10:54:27,N,1838,swim03,90,90,26.46,0.29,0.2,-29.4,32.9,26.9,ok,0,90,12.7,26.4,35.7,25,13.4,26.5,35,24.9,-1,0.92,1.12,0.73,0.67,-1,82.39,100.76,65.25,60.59
010CW10192,BurkeCW101,10/19/2023,10:56:25,W,1839,swim01,90,7.3,1.51,0.21,1.2,-0.7,30.1,27.4,ok,0,90,0,0,91.7,8.2,0,0,94.2,5.7,0.41,0.84,1.42,0.78,0.41,2.97,6.13,10.36,5.66,2.97
011CW10192,BurkeCW101,10/19/2023,10:57:23,SE,1839,swim02,90,15.8,5.01,0.32,4.3,87.9,53.8,47.8,ok,0,90,23.4,17,49.3,10.1,28,17.7,38.7,15.5,0.79,1.03,1.07,0.87,0.79,12.41,16.22,16.83,13.7,12.41
012CW10192,BurkeCW101,10/19/2023,11:00:35,N,1839,swim03,90,90,24.2,0.27,0.4,-1,31.1,28.1,ok,0,90,17.2,10.5,40.7,31.4,15.6,11.2,41,32,-1,0.8,1.08,0.82,0.71,-1,72.04,97.34,74.19,63.9
013CW10192,BurkeCW101,10/19/2023,11:04:21,W,1840,swim01,90,90,27.36,0.3,1,-154.1,98.6,98,ok,0,90,20.1,23.5,26.4,29.8,20.9,23.8,26.6,28.4,0.98,1.03,1.16,1,0.98,88.29,92.42,104.75,90.21,88.29
014CW10192,BurkeCW101,10/19/2023,11:06:52,SE,1840,swim02,90,90,21.07,0.23,0,92.4,52.1,52.1,ok,0,90,23,45.5,16.5,14.8,21.6,44.1,17.6,16.5,0.87,1.18,0.95,0.71,0.87,78.19,106.12,85.36,63.52,78.19
015CW10192,BurkeCW101,10/19/2023,11:09:55,N,1840,swim03,90,90,19.63,0.22,0.2,-19.9,72.9,70.6,ok,0,90,25.8,22.3,19.8,31.8,24.8,20.8,20.9,33.2,-1,0.95,1.02,0.92,0.94,-1,85.95,92.07,82.47,84.29
016CW10192,BurkeCW101,10/19/2023,11:13:30,W,1841,swim01,90,33.1,9.56,0.29,1.4,23.1,40.5,31.4,ok,0,90,26.8,6,45.6,21.4,29.9,6.3,37.5,26,0.76,0.85,1.05,0.86,0.76,25,28.29,34.7,28.62,25
017CW10192,BurkeCW101,10/19/2023,11:14:29,SE,1841,swim02,90,19.5,4.87,0.25,2.4,19.6,22.1,17.8,ok,0,90,0,44.6,45.6,9.7,0,38.6,50.1,11.2,0.49,1.17,1.2,0.44,0.49,9.51,22.72,23.42,8.6,9.51
018CW10192,BurkeCW101,10/19/2023,11:17:03,N,1841,swim03,90,90,20.76,0.23,0.3,19.5,19.9,17.1,ok,0,90,13.3,26.6,36.4,23.5,11.9,24.5,38.7,24.8,-1,0.89,1.04,0.65,0.64,-1,80.44,93.5,58.59,57.25
019CW10192,BurkeCW101,10/19/2023,11:26:22,W,1812,swim01,90,60.3,17.15,0.28,2.8,-2,72.3,72.5,ok,0,90,21.5,17.5,39.8,21,25.4,20.6,31.7,22.1,0.87,0.99,1.12,0.93,0.87,52.33,59.84,67.62,56.18,52.33
020CW10192,BurkeCW101,10/19/2023,11:28:48,SE,1812,swim02,90,90,19.19,0.21,0.3,-38.5,36.4,36.9,ok,0,90,10.7,54.1,20.6,14.4,11,46.6,24,18.3,0.72,1.2,1.03,0.55,0.72,65.11,107.75,92.44,49.53,65.11
021CW10192,BurkeCW101,10/19/2023,11:31:18,N,1812,swim03,90,90,15.6,0.17,4.3,77.9,55.6,54.3,ok,0,90,11.1,38.5,32.7,17.5,11.4,31.1,34.8,22.5,-1,1.09,1.14,0.68,0.72,-1,98.19,102.46,61.29,65.04
022CW10192,BurkeCW101,10/19/2023,11:35:28,W,1813,swim01,90,71.1,19.1,0.27,1.1,-169.3,58.8,55.8,ok,0,90,31.9,17.1,16.3,34.5,30.5,19.5,17.9,31.9,1,0.9,0.91,0.97,1,70.79,64.08,65.01,68.89,70.79
023CW10192,BurkeCW101,10/19/2023,11:36:57,SE,1813,swim02,90,42.3,8.79,0.21,3.9,-30.9,70.4,70.2,ok,0,90,26.9,28.8,30.4,13.7,27.8,30.4,23.9,17.7,0.86,1.14,0.98,0.8,0.86,36.32,48.4,41.65,33.77,36.32
024CW10192,BurkeCW101,10/19/2023,11:39:36,N,1813,swim03,90,90,18.01,0.2,1.6,31.2,20.1,15.3,ok,0,90,8.6,29.5,26.5,35.2,7.9,27.5,28.1,36.2,-1,0.88,1.06,0.68,0.66,-1,79.59,95.81,61.13,59.71
025CW10192,BurkeCW101,10/19/2023,11:42:49,W,1814,swim01,90,52.5,14.42,0.27,4.2,-92.1,88.2,92,ok,0,90,22.8,18.6,31.2,27.2,23.1,19.4,24.2,33.1,0.99,0.97,1.12,1.05,0.99,51.96,50.96,59.03,54.99,51.96
026CW10192,BurkeCW101,10/19/2023,11:45:07,SE,1814,swim02,90,90,20.98,0.23,5.6,141.8,94.3,93.6,ok,0,90,16.7,48.4,25.4,9.3,16.7,47.5,25.8,9.8,0.9,1.38,1.12,0.77,0.9,81.11,124.1,100.86,69.47,81.11
027CW10192,BurkeCW101,10/19/2023,11:47:21,N,1814,swim03,90,90,18.43,0.2,4.2,83.8,97.8,96.8,ok,0,90,45.5,23.3,12.3,18.7,44.1,21.7,14.9,19.1,-1,1.15,0.81,1.07,1.21,-1,103.57,73.27,96.5,108.78
028CW10192,BurkeCW101,10/19/2023,11:51:24,W,1815,swim01,90,6.5,0.97,0.15,27.5,-4,24.6,31.8,ok,0,90,0,0,100,0,0,0,99.9,0,0.23,1,1.42,0.64,0.23,1.51,6.49,9.23,4.15,1.51
029CW10192,BurkeCW101,10/19/2023,11:52:33,SE,1815,swim02,90,26.6,7.88,0.3,2.9,8.1,36.5,30.6,ok,0,90,17.2,34.5,42.8,5.2,21.7,32.5,40.5,5.2,0.65,1.1,1.07,0.64,0.65,17.4,29.23,28.48,17.15,17.4
030CW10192,BurkeCW101,10/19/2023,11:55:27,N,1815,swim03,90,90,24.04,0.27,0.5,-48.9,44.1,35.3,ok,0,90,30.5,16.8,39,13.5,31,17.3,35.3,16.2,-1,1.05,1.01,0.77,0.75,-1,94.92,90.64,68.92,67.64
031CW10192,BurkeCW101,10/19/2023,11:59:09,W,1816,swim01,90,90,22.98,0.26,4.5,-48.3,66.7,52.1,ok,0,90,37.4,25.3,14.7,22.4,37.8,23.4,14.6,24,1.01,1.04,0.86,0.91,1.01,91.18,93.23,77.53,81.64,91.18
032CW10192,BurkeCW101,10/19/2023,12:00:26,SE,1816,swim02,90,19.8,4.47,0.23,2.4,83.4,33.8,22.7,ok,0,90,5,49.4,15.1,30.3,8,43.9,12.6,35.4,0.83,1.04,0.93,0.68,0.83,16.46,20.53,18.44,13.42,16.46
033CW10192,BurkeCW101,10/19/2023,12:03:09,N,1816,swim03,90,90,18.39,0.2,1.1,-1.1,56.2,43.2,ok,0,90,15.7,16.2,41.8,26.1,19.1,16.1,38.5,26.1,-1,0.93,1.16,0.83,0.75,-1,83.39,104.49,75.01,67.24
034CW10192,BurkeCW101,10/19/2023,12:05:23,W,1817,swim01,90,59.7,14.44,0.24,5.5,-74.9,73.2,66.4,ok,0,90,25.4,31.9,23.6,18.9,26.1,27.4,22.5,23.9,0.91,1.14,1.01,0.85,0.91,54.56,68.12,60.01,50.55,54.56
035CW10192,BurkeCW101,10/19/2023,12:06:25,SE,1817,swim02,90,20,5.33,0.27,1.9,104.4,43,40.1,ok,0,90,29.5,58.5,12,0,30.1,60.8,8.9,0,0.92,1.36,0.7,0.62,0.92,18.32,27.17,14.1,12.33,18.32
036CW10192,BurkeCW101,10/19/2023,12:08:54,N,1817,swim03,90,90,21.25,0.24,0.6,-20.7,16.8,11.9,ok,0,90,35.8,15,31.7,17.3,32.2,15,33.3,19.3,-1,0.94,0.89,0.7,0.72,-1,84.51,80.25,62.59,65.14
037CW10192,BurkeCW101,10/19/2023,12:12:14,W,1842,swim01,90,90,28.36,0.32,0.9,-138.4,84.3,84.8,ok,0,90,24.3,24.6,28.7,22.2,22.7,25.8,29.5,21.8,0.94,1.08,1.09,0.93,0.94,84.34,96.93,98.36,83.75,84.34
038CW10192,BurkeCW101,10/19/2023,12:13:05,SE,1842,swim02,90,10.8,1.33,0.12,35,-9.4,13,24.2,ok,0,90,0,21.2,78.7,0,0,43.3,56.6,0,0.17,1.22,1.33,0.41,0.17,1.86,13.14,14.4,4.45,1.86
039CW10192,BurkeCW101,10/19/2023,12:15:30,N,1842,swim03,90,90,22.75,0.25,0.1,59.6,68.3,65.1,ok,0,90,17.6,26.7,28.8,26.6,17.1,24.9,30.2,27.7,-1,1.01,1.11,0.86,0.85,-1,90.81,99.57,76.99,76.85
040CW10192,BurkeCW101,10/19/2023,12:20:07,W,1843,swim01,90,77.7,29.58,0.38,0,-68.3,81.7,80.2,ok,0,90,19.5,27.6,27.5,25.2,19.7,26.7,28,25.4,0.88,1.06,1.12,0.88,0.88,68.67,82.25,87.15,68.11,68.67
041CW10192,BurkeCW101,10/19/2023,12:21:11,SE,1843,swim02,90,9.8,3.15,0.32,0.9,24.3,23.5,22.3,ok,0,90,16.3,62.2,21.4,0,17.8,69.6,12.4,0,0.64,1.32,0.97,0.42,0.64,6.23,12.92,9.5,4.09,6.23
042CW10192,BurkeCW101,10/19/2023,12:23:45,N,1843,swim03,90,90,29.34,0.33,0,4,19.2,16.7,ok,0,90,19,21.4,38.8,20.6,17.7,22.1,38.9,21.1,-1,0.91,1.05,0.69,0.64,-1,81.65,94.07,62.01,57.86
043CW10192,BurkeCW101,10/19/2023,12:27:22,W,1844,swim01,90,90,24.09,0.27,0,-107.8,95.8,95.5,ok,0,90,19.7,24.2,26.1,29.8,20.7,24.1,24.5,30.6,0.98,1.06,1.16,0.99,0.98,88.19,95.48,104.3,88.88,88.19
044CW10192,BurkeCW101,10/19/2023,12:29:36,SE,1844,swim02,90,90,23,0.26,0,-36.3,100,100,ok,0,90,24.7,27.1,24.5,23.5,24.5,24.7,25.5,25.1,1.01,1.12,1.08,0.97,1.01,90.7,100.57,97.59,87.32,90.7
045CW10192,BurkeCW101,10/19/2023,12:32:21,N,1844,swim03,90,90,20.21,0.22,0,-26.6,94.7,94.4,ok,0,90,27.4,29.5,20.2,22.7,27.4,27.4,21.7,23.3,-1,1.12,1.03,0.96,1.02,-1,100.77,92.4,85.96,92.06
